,realtime_start,realtime_end,date,value
0,2021-07-19,2021-07-19,1993-01-01,89.4
1,2021-07-19,2021-07-19,1993-02-01,89.7
2,2021-07-19,2021-07-19,1993-03-01,90.1
3,2021-07-19,2021-07-19,1993-04-01,90.5
4,2021-07-19,2021-07-19,1993-05-01,90.2
5,2021-07-19,2021-07-19,1993-06-01,90.6
6,2021-07-19,2021-07-19,1993-07-01,90.5
7,2021-07-19,2021-07-19,1993-08-01,90.9
8,2021-07-19,2021-07-19,1993-09-01,91.1
9,2021-07-19,2021-07-19,1993-10-01,91.5
10,2021-07-19,2021-07-19,1993-11-01,91.8
11,2021-07-19,2021-07-19,1993-12-01,91.8
12,2021-07-19,2021-07-19,1994-01-01,92.3
13,2021-07-19,2021-07-19,1994-02-01,92.6
14,2021-07-19,2021-07-19,1994-03-01,92.7
15,2021-07-19,2021-07-19,1994-04-01,92.9
16,2021-07-19,2021-07-19,1994-05-01,93.0
17,2021-07-19,2021-07-19,1994-06-01,92.8
18,2021-07-19,2021-07-19,1994-07-01,92.8
19,2021-07-19,2021-07-19,1994-08-01,92.7
20,2021-07-19,2021-07-19,1994-09-01,93.0
21,2021-07-19,2021-07-19,1994-10-01,93.1
22,2021-07-19,2021-07-19,1994-11-01,93.4
23,2021-07-19,2021-07-19,1994-12-01,93.4
24,2021-07-19,2021-07-19,1995-01-01,94.0
25,2021-07-19,2021-07-19,1995-02-01,94.3
26,2021-07-19,2021-07-19,1995-03-01,94.5
27,2021-07-19,2021-07-19,1995-04-01,95.0
28,2021-07-19,2021-07-19,1995-05-01,95.1
29,2021-07-19,2021-07-19,1995-06-01,94.8
30,2021-07-19,2021-07-19,1995-07-01,94.9
31,2021-07-19,2021-07-19,1995-08-01,95.2
32,2021-07-19,2021-07-19,1995-09-01,95.7
33,2021-07-19,2021-07-19,1995-10-01,95.9
34,2021-07-19,2021-07-19,1995-11-01,96.4
35,2021-07-19,2021-07-19,1995-12-01,96.5
36,2021-07-19,2021-07-19,1996-01-01,96.9
37,2021-07-19,2021-07-19,1996-02-01,97.7
38,2021-07-19,2021-07-19,1996-03-01,97.7
39,2021-07-19,2021-07-19,1996-04-01,97.8
40,2021-07-19,2021-07-19,1996-05-01,97.8
41,2021-07-19,2021-07-19,1996-06-01,98.0
42,2021-07-19,2021-07-19,1996-07-01,98.2
43,2021-07-19,2021-07-19,1996-08-01,98.2
44,2021-07-19,2021-07-19,1996-09-01,98.5
45,2021-07-19,2021-07-19,1996-10-01,98.5
46,2021-07-19,2021-07-19,1996-11-01,98.7
47,2021-07-19,2021-07-19,1996-12-01,98.7
48,2021-07-19,2021-07-19,1997-01-01,99.1
49,2021-07-19,2021-07-19,1997-02-01,99.5
50,2021-07-19,2021-07-19,1997-03-01,99.7
51,2021-07-19,2021-07-19,1997-04-01,99.7
52,2021-07-19,2021-07-19,1997-05-01,99.8
53,2021-07-19,2021-07-19,1997-06-01,100.0
54,2021-07-19,2021-07-19,1997-07-01,100.0
55,2021-07-19,2021-07-19,1997-08-01,100.0
56,2021-07-19,2021-07-19,1997-09-01,100.0
57,2021-07-19,2021-07-19,1997-10-01,100.2
58,2021-07-19,2021-07-19,1997-11-01,100.1
59,2021-07-19,2021-07-19,1997-12-01,100.0
60,2021-07-19,2021-07-19,1998-01-01,100.5
61,2021-07-19,2021-07-19,1998-02-01,101.1
62,2021-07-19,2021-07-19,1998-03-01,101.5
63,2021-07-19,2021-07-19,1998-04-01,101.7
64,2021-07-19,2021-07-19,1998-05-01,101.6
65,2021-07-19,2021-07-19,1998-06-01,101.9
66,2021-07-19,2021-07-19,1998-07-01,101.9
67,2021-07-19,2021-07-19,1998-08-01,102.2
68,2021-07-19,2021-07-19,1998-09-01,102.3
69,2021-07-19,2021-07-19,1998-10-01,102.1
70,2021-07-19,2021-07-19,1998-11-01,102.5
71,2021-07-19,2021-07-19,1998-12-01,102.5
72,2021-07-19,2021-07-19,1999-01-01,102.9
73,2021-07-19,2021-07-19,1999-02-01,103.2
74,2021-07-19,2021-07-19,1999-03-01,103.1
75,2021-07-19,2021-07-19,1999-04-01,103.5
76,2021-07-19,2021-07-19,1999-05-01,103.6
77,2021-07-19,2021-07-19,1999-06-01,103.4
78,2021-07-19,2021-07-19,1999-07-01,103.4
79,2021-07-19,2021-07-19,1999-08-01,103.5
80,2021-07-19,2021-07-19,1999-09-01,103.0
81,2021-07-19,2021-07-19,1999-10-01,103.1
82,2021-07-19,2021-07-19,1999-11-01,103.6
83,2021-07-19,2021-07-19,1999-12-01,103.8
84,2021-07-19,2021-07-19,2000-01-01,104.3
85,2021-07-19,2021-07-19,2000-02-01,104.7
86,2021-07-19,2021-07-19,2000-03-01,105.1
87,2021-07-19,2021-07-19,2000-04-01,105.1
88,2021-07-19,2021-07-19,2000-05-01,105.2
89,2021-07-19,2021-07-19,2000-06-01,105.6
90,2021-07-19,2021-07-19,2000-07-01,106.0
91,2021-07-19,2021-07-19,2000-08-01,106.2
92,2021-07-19,2021-07-19,2000-09-01,106.1
93,2021-07-19,2021-07-19,2000-10-01,106.1
94,2021-07-19,2021-07-19,2000-11-01,106.1
95,2021-07-19,2021-07-19,2000-12-01,106.1
96,2021-07-19,2021-07-19,2001-01-01,106.7
97,2021-07-19,2021-07-19,2001-02-01,106.9
98,2021-07-19,2021-07-19,2001-03-01,107.0
99,2021-07-19,2021-07-19,2001-04-01,107.9
100,2021-07-19,2021-07-19,2001-05-01,107.8
101,2021-07-19,2021-07-19,2001-06-01,107.2
102,2021-07-19,2021-07-19,2001-07-01,107.4
103,2021-07-19,2021-07-19,2001-08-01,107.6
104,2021-07-19,2021-07-19,2001-09-01,107.8
105,2021-07-19,2021-07-19,2001-10-01,107.8
106,2021-07-19,2021-07-19,2001-11-01,108.4
107,2021-07-19,2021-07-19,2001-12-01,108.3
108,2021-07-19,2021-07-19,2002-01-01,108.8
109,2021-07-19,2021-07-19,2002-02-01,109.2
110,2021-07-19,2021-07-19,2002-03-01,109.5
111,2021-07-19,2021-07-19,2002-04-01,109.8
112,2021-07-19,2021-07-19,2002-05-01,109.7
113,2021-07-19,2021-07-19,2002-06-01,109.5
114,2021-07-19,2021-07-19,2002-07-01,109.7
115,2021-07-19,2021-07-19,2002-08-01,109.7
116,2021-07-19,2021-07-19,2002-09-01,109.7
117,2021-07-19,2021-07-19,2002-10-01,110.0
118,2021-07-19,2021-07-19,2002-11-01,110.0
119,2021-07-19,2021-07-19,2002-12-01,110.1
120,2021-07-19,2021-07-19,2003-01-01,110.5
121,2021-07-19,2021-07-19,2003-02-01,110.9
122,2021-07-19,2021-07-19,2003-03-01,111.2
123,2021-07-19,2021-07-19,2003-04-01,111.3
124,2021-07-19,2021-07-19,2003-05-01,111.4
125,2021-07-19,2021-07-19,2003-06-01,111.5
126,2021-07-19,2021-07-19,2003-07-01,111.7
127,2021-07-19,2021-07-19,2003-08-01,111.7
128,2021-07-19,2021-07-19,2003-09-01,111.8
129,2021-07-19,2021-07-19,2003-10-01,111.8
130,2021-07-19,2021-07-19,2003-11-01,111.9
131,2021-07-19,2021-07-19,2003-12-01,111.8
132,2021-07-19,2021-07-19,2004-01-01,112.3
133,2021-07-19,2021-07-19,2004-02-01,112.9
134,2021-07-19,2021-07-19,2004-03-01,113.3
135,2021-07-19,2021-07-19,2004-04-01,113.6
136,2021-07-19,2021-07-19,2004-05-01,113.4
137,2021-07-19,2021-07-19,2004-06-01,113.5
138,2021-07-19,2021-07-19,2004-07-01,113.5
139,2021-07-19,2021-07-19,2004-08-01,113.4
140,2021-07-19,2021-07-19,2004-09-01,113.5
141,2021-07-19,2021-07-19,2004-10-01,113.7
142,2021-07-19,2021-07-19,2004-11-01,113.7
143,2021-07-19,2021-07-19,2004-12-01,113.5
144,2021-07-19,2021-07-19,2005-01-01,113.9
145,2021-07-19,2021-07-19,2005-02-01,114.1
146,2021-07-19,2021-07-19,2005-03-01,114.3
147,2021-07-19,2021-07-19,2005-04-01,114.7
148,2021-07-19,2021-07-19,2005-05-01,114.9
149,2021-07-19,2021-07-19,2005-06-01,114.5
150,2021-07-19,2021-07-19,2005-07-01,114.4
151,2021-07-19,2021-07-19,2005-08-01,114.8
152,2021-07-19,2021-07-19,2005-09-01,115.2
153,2021-07-19,2021-07-19,2005-10-01,115.4
154,2021-07-19,2021-07-19,2005-11-01,115.3
155,2021-07-19,2021-07-19,2005-12-01,115.3
156,2021-07-19,2021-07-19,2006-01-01,115.6
157,2021-07-19,2021-07-19,2006-02-01,116.0
158,2021-07-19,2021-07-19,2006-03-01,116.6
159,2021-07-19,2021-07-19,2006-04-01,117.0
160,2021-07-19,2021-07-19,2006-05-01,117.2
161,2021-07-19,2021-07-19,2006-06-01,117.2
162,2021-07-19,2021-07-19,2006-07-01,117.4
163,2021-07-19,2021-07-19,2006-08-01,117.4
164,2021-07-19,2021-07-19,2006-09-01,117.3
165,2021-07-19,2021-07-19,2006-10-01,117.3
166,2021-07-19,2021-07-19,2006-11-01,117.2
167,2021-07-19,2021-07-19,2006-12-01,116.8
168,2021-07-19,2021-07-19,2007-01-01,117.171
169,2021-07-19,2021-07-19,2007-02-01,117.172
170,2021-07-19,2021-07-19,2007-03-01,117.278
171,2021-07-19,2021-07-19,2007-04-01,117.565
172,2021-07-19,2021-07-19,2007-05-01,117.684
173,2021-07-19,2021-07-19,2007-06-01,117.611
174,2021-07-19,2021-07-19,2007-07-01,117.440
175,2021-07-19,2021-07-19,2007-08-01,117.277
176,2021-07-19,2021-07-19,2007-09-01,117.576
177,2021-07-19,2021-07-19,2007-10-01,117.898
178,2021-07-19,2021-07-19,2007-11-01,118.231
179,2021-07-19,2021-07-19,2007-12-01,118.112
180,2021-07-19,2021-07-19,2008-01-01,118.564
181,2021-07-19,2021-07-19,2008-02-01,118.934
182,2021-07-19,2021-07-19,2008-03-01,119.266
183,2021-07-19,2021-07-19,2008-04-01,119.542
184,2021-07-19,2021-07-19,2008-05-01,119.602
185,2021-07-19,2021-07-19,2008-06-01,119.609
186,2021-07-19,2021-07-19,2008-07-01,119.881
187,2021-07-19,2021-07-19,2008-08-01,120.521
188,2021-07-19,2021-07-19,2008-09-01,120.866
189,2021-07-19,2021-07-19,2008-10-01,121.034
190,2021-07-19,2021-07-19,2008-11-01,120.945
191,2021-07-19,2021-07-19,2008-12-01,120.526
192,2021-07-19,2021-07-19,2009-01-01,120.667
193,2021-07-19,2021-07-19,2009-02-01,121.467
194,2021-07-19,2021-07-19,2009-03-01,121.800
195,2021-07-19,2021-07-19,2009-04-01,121.466
196,2021-07-19,2021-07-19,2009-05-01,121.628
197,2021-07-19,2021-07-19,2009-06-01,122.044
198,2021-07-19,2021-07-19,2009-07-01,122.132
199,2021-07-19,2021-07-19,2009-08-01,122.354
200,2021-07-19,2021-07-19,2009-09-01,122.164
201,2021-07-19,2021-07-19,2009-10-01,121.708
202,2021-07-19,2021-07-19,2009-11-01,121.562
203,2021-07-19,2021-07-19,2009-12-01,121.066
204,2021-07-19,2021-07-19,2010-01-01,121.258
205,2021-07-19,2021-07-19,2010-02-01,121.405
206,2021-07-19,2021-07-19,2010-03-01,121.418
207,2021-07-19,2021-07-19,2010-04-01,122.121
208,2021-07-19,2021-07-19,2010-05-01,121.927
209,2021-07-19,2021-07-19,2010-06-01,122.122
210,2021-07-19,2021-07-19,2010-07-01,121.987
211,2021-07-19,2021-07-19,2010-08-01,121.784
212,2021-07-19,2021-07-19,2010-09-01,121.096
213,2021-07-19,2021-07-19,2010-10-01,121.115
214,2021-07-19,2021-07-19,2010-11-01,121.017
215,2021-07-19,2021-07-19,2010-12-01,120.582
216,2021-07-19,2021-07-19,2011-01-01,120.998
217,2021-07-19,2021-07-19,2011-02-01,121.717
218,2021-07-19,2021-07-19,2011-03-01,121.778
219,2021-07-19,2021-07-19,2011-04-01,121.736
220,2021-07-19,2021-07-19,2011-05-01,122.147
221,2021-07-19,2021-07-19,2011-06-01,122.145
222,2021-07-19,2021-07-19,2011-07-01,121.888
223,2021-07-19,2021-07-19,2011-08-01,122.110
224,2021-07-19,2021-07-19,2011-09-01,122.206
225,2021-07-19,2021-07-19,2011-10-01,121.963
226,2021-07-19,2021-07-19,2011-11-01,122.172
227,2021-07-19,2021-07-19,2011-12-01,122.549
228,2021-07-19,2021-07-19,2012-01-01,123.299
229,2021-07-19,2021-07-19,2012-02-01,123.447
230,2021-07-19,2021-07-19,2012-03-01,123.974
231,2021-07-19,2021-07-19,2012-04-01,124.160
232,2021-07-19,2021-07-19,2012-05-01,124.217
233,2021-07-19,2021-07-19,2012-06-01,124.964
234,2021-07-19,2021-07-19,2012-07-01,124.910
235,2021-07-19,2021-07-19,2012-08-01,124.930
236,2021-07-19,2021-07-19,2012-09-01,125.021
237,2021-07-19,2021-07-19,2012-10-01,124.565
238,2021-07-19,2021-07-19,2012-11-01,124.562
239,2021-07-19,2021-07-19,2012-12-01,124.328
240,2021-07-19,2021-07-19,2013-01-01,124.852
241,2021-07-19,2021-07-19,2013-02-01,125.524
242,2021-07-19,2021-07-19,2013-03-01,125.718
243,2021-07-19,2021-07-19,2013-04-01,125.780
244,2021-07-19,2021-07-19,2013-05-01,126.083
245,2021-07-19,2021-07-19,2013-06-01,125.831
246,2021-07-19,2021-07-19,2013-07-01,125.770
247,2021-07-19,2021-07-19,2013-08-01,125.750
248,2021-07-19,2021-07-19,2013-09-01,125.692
249,2021-07-19,2021-07-19,2013-10-01,125.676
250,2021-07-19,2021-07-19,2013-11-01,125.700
251,2021-07-19,2021-07-19,2013-12-01,125.442
252,2021-07-19,2021-07-19,2014-01-01,126.040
253,2021-07-19,2021-07-19,2014-02-01,126.445
254,2021-07-19,2021-07-19,2014-03-01,126.654
255,2021-07-19,2021-07-19,2014-04-01,126.994
256,2021-07-19,2021-07-19,2014-05-01,127.130
257,2021-07-19,2021-07-19,2014-06-01,127.156
258,2021-07-19,2021-07-19,2014-07-01,126.959
259,2021-07-19,2021-07-19,2014-08-01,126.421
260,2021-07-19,2021-07-19,2014-09-01,126.385
261,2021-07-19,2021-07-19,2014-10-01,126.642
262,2021-07-19,2021-07-19,2014-11-01,126.350
263,2021-07-19,2021-07-19,2014-12-01,126.246
264,2021-07-19,2021-07-19,2015-01-01,126.572
265,2021-07-19,2021-07-19,2015-02-01,127.017
266,2021-07-19,2021-07-19,2015-03-01,127.344
267,2021-07-19,2021-07-19,2015-04-01,127.678
268,2021-07-19,2021-07-19,2015-05-01,127.691
269,2021-07-19,2021-07-19,2015-06-01,127.956
270,2021-07-19,2021-07-19,2015-07-01,127.926
271,2021-07-19,2021-07-19,2015-08-01,127.594
272,2021-07-19,2021-07-19,2015-09-01,127.478
273,2021-07-19,2021-07-19,2015-10-01,127.571
274,2021-07-19,2021-07-19,2015-11-01,127.357
275,2021-07-19,2021-07-19,2015-12-01,127.240
276,2021-07-19,2021-07-19,2016-01-01,127.728
277,2021-07-19,2021-07-19,2016-02-01,128.457
278,2021-07-19,2021-07-19,2016-03-01,129.03
279,2021-07-19,2021-07-19,2016-04-01,129.536
280,2021-07-19,2021-07-19,2016-05-01,129.602
281,2021-07-19,2021-07-19,2016-06-01,129.624
282,2021-07-19,2021-07-19,2016-07-01,129.5
283,2021-07-19,2021-07-19,2016-08-01,129.397
284,2021-07-19,2021-07-19,2016-09-01,129.229
285,2021-07-19,2021-07-19,2016-10-01,128.951
286,2021-07-19,2021-07-19,2016-11-01,129.189
287,2021-07-19,2021-07-19,2016-12-01,129.044
288,2021-07-19,2021-07-19,2017-01-01,129.784
289,2021-07-19,2021-07-19,2017-02-01,130.928
290,2021-07-19,2021-07-19,2017-03-01,131.248
291,2021-07-19,2021-07-19,2017-04-01,131.404
292,2021-07-19,2021-07-19,2017-05-01,131.439
