,realtime_start,realtime_end,date,value
0,2021-07-19,2021-07-19,1967-01-01,0.193180000
1,2021-07-19,2021-07-19,1967-02-01,0.302120000
2,2021-07-19,2021-07-19,1967-03-01,0.231120000
3,2021-07-19,2021-07-19,1967-04-01,0.302470000
4,2021-07-19,2021-07-19,1967-05-01,0.250330000
5,2021-07-19,2021-07-19,1967-06-01,0.260170000
6,2021-07-19,2021-07-19,1967-07-01,0.330590000
7,2021-07-19,2021-07-19,1967-08-01,0.271760000
8,2021-07-19,2021-07-19,1967-09-01,0.361710000
9,2021-07-19,2021-07-19,1967-10-01,0.373820000
10,2021-07-19,2021-07-19,1967-11-01,0.418600000
11,2021-07-19,2021-07-19,1967-12-01,0.302680000
12,2021-07-19,2021-07-19,1968-01-01,0.529710000
13,2021-07-19,2021-07-19,1968-02-01,0.347220000
14,2021-07-19,2021-07-19,1968-03-01,0.523910000
15,2021-07-19,2021-07-19,1968-04-01,0.284860000
16,2021-07-19,2021-07-19,1968-05-01,0.384290000
17,2021-07-19,2021-07-19,1968-06-01,0.357970000
18,2021-07-19,2021-07-19,1968-07-01,0.248360000
19,2021-07-19,2021-07-19,1968-08-01,0.388880000
20,2021-07-19,2021-07-19,1968-09-01,0.358060000
21,2021-07-19,2021-07-19,1968-10-01,0.551170000
22,2021-07-19,2021-07-19,1968-11-01,0.499680000
23,2021-07-19,2021-07-19,1968-12-01,0.546310000
24,2021-07-19,2021-07-19,1969-01-01,0.377830000
25,2021-07-19,2021-07-19,1969-02-01,0.358510000
26,2021-07-19,2021-07-19,1969-03-01,0.496100000
27,2021-07-19,2021-07-19,1969-04-01,0.489680000
28,2021-07-19,2021-07-19,1969-05-01,0.407880000
29,2021-07-19,2021-07-19,1969-06-01,0.419820000
30,2021-07-19,2021-07-19,1969-07-01,0.317570000
31,2021-07-19,2021-07-19,1969-08-01,0.454370000
32,2021-07-19,2021-07-19,1969-09-01,0.445490000
33,2021-07-19,2021-07-19,1969-10-01,0.279860000
34,2021-07-19,2021-07-19,1969-11-01,0.427080000
35,2021-07-19,2021-07-19,1969-12-01,0.558300000
36,2021-07-19,2021-07-19,1970-01-01,0.751920000
37,2021-07-19,2021-07-19,1970-02-01,0.504620000
38,2021-07-19,2021-07-19,1970-03-01,0.517670000
39,2021-07-19,2021-07-19,1970-04-01,0.530020000
40,2021-07-19,2021-07-19,1970-05-01,0.447990000
41,2021-07-19,2021-07-19,1970-06-01,0.460240000
42,2021-07-19,2021-07-19,1970-07-01,0.472350000
43,2021-07-19,2021-07-19,1970-08-01,0.433080000
44,2021-07-19,2021-07-19,1970-09-01,0.388940000
45,2021-07-19,2021-07-19,1970-10-01,0.341400000
46,2021-07-19,2021-07-19,1970-11-01,0.771370000
47,2021-07-19,2021-07-19,1970-12-01,0.383900000
48,2021-07-19,2021-07-19,1971-01-01,0.704840000
49,2021-07-19,2021-07-19,1971-02-01,0.534270000
50,2021-07-19,2021-07-19,1971-03-01,0.361170000
51,2021-07-19,2021-07-19,1971-04-01,0.487320000
52,2021-07-19,2021-07-19,1971-05-01,0.426240000
53,2021-07-19,2021-07-19,1971-06-01,0.456380000
54,2021-07-19,2021-07-19,1971-07-01,0.357660000
55,2021-07-19,2021-07-19,1971-08-01,0.280710000
56,2021-07-19,2021-07-19,1971-09-01,0.228910000
57,2021-07-19,2021-07-19,1971-10-01,-0.055710000
58,2021-07-19,2021-07-19,1971-11-01,0.173970000
59,2021-07-19,2021-07-19,1971-12-01,0.337690000
60,2021-07-19,2021-07-19,1972-01-01,0.353100000
61,2021-07-19,2021-07-19,1972-02-01,0.192740000
62,2021-07-19,2021-07-19,1972-03-01,0.223870000
63,2021-07-19,2021-07-19,1972-04-01,0.246560000
64,2021-07-19,2021-07-19,1972-05-01,0.254870000
65,2021-07-19,2021-07-19,1972-06-01,0.206360000
66,2021-07-19,2021-07-19,1972-07-01,0.198950000
67,2021-07-19,2021-07-19,1972-08-01,0.155150000
68,2021-07-19,2021-07-19,1972-09-01,0.206290000
69,2021-07-19,2021-07-19,1972-10-01,0.210230000
70,2021-07-19,2021-07-19,1972-11-01,0.263540000
71,2021-07-19,2021-07-19,1972-12-01,0.203950000
72,2021-07-19,2021-07-19,1973-01-01,0.109080000
73,2021-07-19,2021-07-19,1973-02-01,0.321240000
74,2021-07-19,2021-07-19,1973-03-01,0.309970000
75,2021-07-19,2021-07-19,1973-04-01,0.416840000
76,2021-07-19,2021-07-19,1973-05-01,0.462750000
77,2021-07-19,2021-07-19,1973-06-01,0.380800000
78,2021-07-19,2021-07-19,1973-07-01,0.275260000
79,2021-07-19,2021-07-19,1973-08-01,0.338150000
80,2021-07-19,2021-07-19,1973-09-01,0.574660000
81,2021-07-19,2021-07-19,1973-10-01,0.838370000
82,2021-07-19,2021-07-19,1973-11-01,0.485580000
83,2021-07-19,2021-07-19,1973-12-01,0.535250000
84,2021-07-19,2021-07-19,1974-01-01,0.624100000
85,2021-07-19,2021-07-19,1974-02-01,0.672400000
86,2021-07-19,2021-07-19,1974-03-01,0.737240000
87,2021-07-19,2021-07-19,1974-04-01,0.799610000
88,2021-07-19,2021-07-19,1974-05-01,1.118500000
89,2021-07-19,2021-07-19,1974-06-01,1.171350000
90,2021-07-19,2021-07-19,1974-07-01,1.058260000
91,2021-07-19,2021-07-19,1974-08-01,1.109940000
92,2021-07-19,2021-07-19,1974-09-01,0.995000000
93,2021-07-19,2021-07-19,1974-10-01,0.930490000
94,2021-07-19,2021-07-19,1974-11-01,0.862180000
95,2021-07-19,2021-07-19,1974-12-01,0.854380000
96,2021-07-19,2021-07-19,1975-01-01,0.800440000
97,2021-07-19,2021-07-19,1975-02-01,0.768450000
98,2021-07-19,2021-07-19,1975-03-01,0.599770000
99,2021-07-19,2021-07-19,1975-04-01,0.677000000
100,2021-07-19,2021-07-19,1975-05-01,0.312990000
101,2021-07-19,2021-07-19,1975-06-01,0.480950000
102,2021-07-19,2021-07-19,1975-07-01,0.491980000
103,2021-07-19,2021-07-19,1975-08-01,0.473730000
104,2021-07-19,2021-07-19,1975-09-01,0.887090000
105,2021-07-19,2021-07-19,1975-10-01,0.644600000
106,2021-07-19,2021-07-19,1975-11-01,0.752510000
107,2021-07-19,2021-07-19,1975-12-01,0.634370000
108,2021-07-19,2021-07-19,1976-01-01,0.945620000
109,2021-07-19,2021-07-19,1976-02-01,0.640740000
110,2021-07-19,2021-07-19,1976-03-01,0.680810000
111,2021-07-19,2021-07-19,1976-04-01,0.417940000
112,2021-07-19,2021-07-19,1976-05-01,0.390220000
113,2021-07-19,2021-07-19,1976-06-01,0.525980000
114,2021-07-19,2021-07-19,1976-07-01,0.608290000
115,2021-07-19,2021-07-19,1976-08-01,0.538810000
116,2021-07-19,2021-07-19,1976-09-01,0.547860000
117,2021-07-19,2021-07-19,1976-10-01,0.556380000
118,2021-07-19,2021-07-19,1976-11-01,0.678320000
119,2021-07-19,2021-07-19,1976-12-01,0.460520000
120,2021-07-19,2021-07-19,1977-01-01,0.394480000
121,2021-07-19,2021-07-19,1977-02-01,0.431030000
122,2021-07-19,2021-07-19,1977-03-01,0.563830000
123,2021-07-19,2021-07-19,1977-04-01,0.614290000
124,2021-07-19,2021-07-19,1977-05-01,0.592470000
125,2021-07-19,2021-07-19,1977-06-01,0.699430000
126,2021-07-19,2021-07-19,1977-07-01,0.483420000
127,2021-07-19,2021-07-19,1977-08-01,0.511720000
128,2021-07-19,2021-07-19,1977-09-01,0.500250000
129,2021-07-19,2021-07-19,1977-10-01,0.472460000
130,2021-07-19,2021-07-19,1977-11-01,0.497530000
131,2021-07-19,2021-07-19,1977-12-01,0.488710000
132,2021-07-19,2021-07-19,1978-01-01,0.441080000
133,2021-07-19,2021-07-19,1978-02-01,0.545500000
134,2021-07-19,2021-07-19,1978-03-01,0.503050000
135,2021-07-19,2021-07-19,1978-04-01,0.566020000
136,2021-07-19,2021-07-19,1978-05-01,0.577270000
137,2021-07-19,2021-07-19,1978-06-01,0.597670000
138,2021-07-19,2021-07-19,1978-07-01,0.589350000
139,2021-07-19,2021-07-19,1978-08-01,0.623990000
140,2021-07-19,2021-07-19,1978-09-01,0.632010000
141,2021-07-19,2021-07-19,1978-10-01,0.695930000
142,2021-07-19,2021-07-19,1978-11-01,0.680950000
143,2021-07-19,2021-07-19,1978-12-01,0.616980000
144,2021-07-19,2021-07-19,1979-01-01,0.590240000
145,2021-07-19,2021-07-19,1979-02-01,0.601540000
146,2021-07-19,2021-07-19,1979-03-01,0.656100000
147,2021-07-19,2021-07-19,1979-04-01,0.648430000
148,2021-07-19,2021-07-19,1979-05-01,0.710910000
149,2021-07-19,2021-07-19,1979-06-01,0.552310000
150,2021-07-19,2021-07-19,1979-07-01,0.657720000
151,2021-07-19,2021-07-19,1979-08-01,0.700810000
152,2021-07-19,2021-07-19,1979-09-01,0.546790000
153,2021-07-19,2021-07-19,1979-10-01,0.674380000
154,2021-07-19,2021-07-19,1979-11-01,0.938480000
155,2021-07-19,2021-07-19,1979-12-01,0.826630000
156,2021-07-19,2021-07-19,1980-01-01,0.843080000
157,2021-07-19,2021-07-19,1980-02-01,0.879310000
158,2021-07-19,2021-07-19,1980-03-01,1.023740000
159,2021-07-19,2021-07-19,1980-04-01,0.948130000
160,2021-07-19,2021-07-19,1980-05-01,0.876230000
161,2021-07-19,2021-07-19,1980-06-01,0.705360000
162,2021-07-19,2021-07-19,1980-07-01,0.611910000
163,2021-07-19,2021-07-19,1980-08-01,0.719040000
164,2021-07-19,2021-07-19,1980-09-01,0.942930000
165,2021-07-19,2021-07-19,1980-10-01,0.560660000
166,2021-07-19,2021-07-19,1980-11-01,0.691980000
167,2021-07-19,2021-07-19,1980-12-01,0.715840000
168,2021-07-19,2021-07-19,1981-01-01,0.873180000
169,2021-07-19,2021-07-19,1981-02-01,0.862360000
170,2021-07-19,2021-07-19,1981-03-01,0.635410000
171,2021-07-19,2021-07-19,1981-04-01,0.745090000
172,2021-07-19,2021-07-19,1981-05-01,0.690820000
173,2021-07-19,2021-07-19,1981-06-01,0.736190000
174,2021-07-19,2021-07-19,1981-07-01,1.036690000
175,2021-07-19,2021-07-19,1981-08-01,0.680770000
176,2021-07-19,2021-07-19,1981-09-01,0.792120000
177,2021-07-19,2021-07-19,1981-10-01,0.697200000
178,2021-07-19,2021-07-19,1981-11-01,0.709480000
179,2021-07-19,2021-07-19,1981-12-01,0.446890000
180,2021-07-19,2021-07-19,1982-01-01,0.629990000
181,2021-07-19,2021-07-19,1982-02-01,0.514040000
182,2021-07-19,2021-07-19,1982-03-01,0.539220000
183,2021-07-19,2021-07-19,1982-04-01,0.552620000
184,2021-07-19,2021-07-19,1982-05-01,0.536840000
185,2021-07-19,2021-07-19,1982-06-01,0.656290000
186,2021-07-19,2021-07-19,1982-07-01,0.605300000
187,2021-07-19,2021-07-19,1982-08-01,0.393200000
188,2021-07-19,2021-07-19,1982-09-01,0.456480000
189,2021-07-19,2021-07-19,1982-10-01,0.564240000
190,2021-07-19,2021-07-19,1982-11-01,0.239150000
191,2021-07-19,2021-07-19,1982-12-01,0.348270000
192,2021-07-19,2021-07-19,1983-01-01,0.462320000
193,2021-07-19,2021-07-19,1983-02-01,0.352270000
194,2021-07-19,2021-07-19,1983-03-01,0.293190000
195,2021-07-19,2021-07-19,1983-04-01,0.383670000
196,2021-07-19,2021-07-19,1983-05-01,0.208640000
197,2021-07-19,2021-07-19,1983-06-01,0.273910000
198,2021-07-19,2021-07-19,1983-07-01,0.289690000
199,2021-07-19,2021-07-19,1983-08-01,0.350600000
200,2021-07-19,2021-07-19,1983-09-01,0.297600000
201,2021-07-19,2021-07-19,1983-10-01,0.521350000
202,2021-07-19,2021-07-19,1983-11-01,0.463000000
203,2021-07-19,2021-07-19,1983-12-01,0.233310000
204,2021-07-19,2021-07-19,1984-01-01,0.682650000
205,2021-07-19,2021-07-19,1984-02-01,0.406940000
206,2021-07-19,2021-07-19,1984-03-01,0.242490000
207,2021-07-19,2021-07-19,1984-04-01,0.366170000
208,2021-07-19,2021-07-19,1984-05-01,0.353740000
209,2021-07-19,2021-07-19,1984-06-01,0.353360000
