,realtime_start,realtime_end,date,value
0,2021-07-19,2021-07-19,1967-12-01,3.658266189
1,2021-07-19,2021-07-19,1968-01-01,4.00643476
2,2021-07-19,2021-07-19,1968-02-01,4.053200374
3,2021-07-19,2021-07-19,1968-03-01,4.357155239
4,2021-07-19,2021-07-19,1968-04-01,4.338833362
5,2021-07-19,2021-07-19,1968-05-01,4.478256645
6,2021-07-19,2021-07-19,1968-06-01,4.580171229
7,2021-07-19,2021-07-19,1968-07-01,4.494458312
8,2021-07-19,2021-07-19,1968-08-01,4.616510533
9,2021-07-19,2021-07-19,1968-09-01,4.612705792
10,2021-07-19,2021-07-19,1968-10-01,4.797545458
11,2021-07-19,2021-07-19,1968-11-01,4.882161107
12,2021-07-19,2021-07-19,1968-12-01,5.136914429
13,2021-07-19,2021-07-19,1969-01-01,4.978073877
14,2021-07-19,2021-07-19,1969-02-01,4.989884892
15,2021-07-19,2021-07-19,1969-03-01,4.960839377
16,2021-07-19,2021-07-19,1969-04-01,5.175209513
17,2021-07-19,2021-07-19,1969-05-01,5.199925365
18,2021-07-19,2021-07-19,1969-06-01,5.264759432
19,2021-07-19,2021-07-19,1969-07-01,5.337432681
20,2021-07-19,2021-07-19,1969-08-01,5.406150934
21,2021-07-19,2021-07-19,1969-09-01,5.497978733
22,2021-07-19,2021-07-19,1969-10-01,5.213321114
23,2021-07-19,2021-07-19,1969-11-01,5.137316026
24,2021-07-19,2021-07-19,1969-12-01,5.149853496
25,2021-07-19,2021-07-19,1970-01-01,5.541727964
26,2021-07-19,2021-07-19,1970-02-01,5.69538411
27,2021-07-19,2021-07-19,1970-03-01,5.718070059
28,2021-07-19,2021-07-19,1970-04-01,5.760508914
29,2021-07-19,2021-07-19,1970-05-01,5.802757132
30,2021-07-19,2021-07-19,1970-06-01,5.845343819
31,2021-07-19,2021-07-19,1970-07-01,6.008652623
32,2021-07-19,2021-07-19,1970-08-01,5.986185465
33,2021-07-19,2021-07-19,1970-09-01,5.926516098
34,2021-07-19,2021-07-19,1970-10-01,5.991521352
35,2021-07-19,2021-07-19,1970-11-01,6.354887696
36,2021-07-19,2021-07-19,1970-12-01,6.170434574
37,2021-07-19,2021-07-19,1971-01-01,6.120822576
38,2021-07-19,2021-07-19,1971-02-01,6.152129419
39,2021-07-19,2021-07-19,1971-03-01,5.986856903
40,2021-07-19,2021-07-19,1971-04-01,5.941839118
41,2021-07-19,2021-07-19,1971-05-01,5.918899535
42,2021-07-19,2021-07-19,1971-06-01,5.914829796
43,2021-07-19,2021-07-19,1971-07-01,5.793927161
44,2021-07-19,2021-07-19,1971-08-01,5.633424061
45,2021-07-19,2021-07-19,1971-09-01,5.46503383
46,2021-07-19,2021-07-19,1971-10-01,5.047646594
47,2021-07-19,2021-07-19,1971-11-01,4.424895667
48,2021-07-19,2021-07-19,1971-12-01,4.376825464
49,2021-07-19,2021-07-19,1972-01-01,4.012260021
50,2021-07-19,2021-07-19,1972-02-01,3.658914767
51,2021-07-19,2021-07-19,1972-03-01,3.517103258
52,2021-07-19,2021-07-19,1972-04-01,3.269084127
53,2021-07-19,2021-07-19,1972-05-01,3.092863022
54,2021-07-19,2021-07-19,1972-06-01,2.836281234
55,2021-07-19,2021-07-19,1972-07-01,2.673651434
56,2021-07-19,2021-07-19,1972-08-01,2.545095267
57,2021-07-19,2021-07-19,1972-09-01,2.521952543
58,2021-07-19,2021-07-19,1972-10-01,2.7947514
59,2021-07-19,2021-07-19,1972-11-01,2.886664757
60,2021-07-19,2021-07-19,1972-12-01,2.749527231
61,2021-07-19,2021-07-19,1973-01-01,2.499680045
62,2021-07-19,2021-07-19,1973-02-01,2.63113876
63,2021-07-19,2021-07-19,1973-03-01,2.719306789
64,2021-07-19,2021-07-19,1973-04-01,2.893787026
65,2021-07-19,2021-07-19,1973-05-01,3.107138861
66,2021-07-19,2021-07-19,1973-06-01,3.286628559
67,2021-07-19,2021-07-19,1973-07-01,3.365290088
68,2021-07-19,2021-07-19,1973-08-01,3.554155544
69,2021-07-19,2021-07-19,1973-09-01,3.934832688
70,2021-07-19,2021-07-19,1973-10-01,4.586319326
71,2021-07-19,2021-07-19,1973-11-01,4.817932396
72,2021-07-19,2021-07-19,1973-12-01,5.164487407
73,2021-07-19,2021-07-19,1974-01-01,5.705515397
74,2021-07-19,2021-07-19,1974-02-01,6.075522275
75,2021-07-19,2021-07-19,1974-03-01,6.527350627
76,2021-07-19,2021-07-19,1974-04-01,6.933412737
77,2021-07-19,2021-07-19,1974-05-01,7.631398661
78,2021-07-19,2021-07-19,1974-06-01,8.479050824
79,2021-07-19,2021-07-19,1974-07-01,9.326110176
80,2021-07-19,2021-07-19,1974-08-01,10.167034576
81,2021-07-19,2021-07-19,1974-09-01,10.627464781
82,2021-07-19,2021-07-19,1974-10-01,10.728527522
83,2021-07-19,2021-07-19,1974-11-01,11.143516055
84,2021-07-19,2021-07-19,1974-12-01,11.496319975
85,2021-07-19,2021-07-19,1975-01-01,11.691713137
86,2021-07-19,2021-07-19,1975-02-01,11.798276496
87,2021-07-19,2021-07-19,1975-03-01,11.64571217
88,2021-07-19,2021-07-19,1975-04-01,11.509909256
89,2021-07-19,2021-07-19,1975-05-01,10.621621287
90,2021-07-19,2021-07-19,1975-06-01,9.866732009
91,2021-07-19,2021-07-19,1975-07-01,9.251093733
92,2021-07-19,2021-07-19,1975-08-01,8.563657479
93,2021-07-19,2021-07-19,1975-09-01,8.447660605
94,2021-07-19,2021-07-19,1975-10-01,8.140477893
95,2021-07-19,2021-07-19,1975-11-01,8.022894015
96,2021-07-19,2021-07-19,1975-12-01,7.787246174
97,2021-07-19,2021-07-19,1976-01-01,7.942489072
98,2021-07-19,2021-07-19,1976-02-01,7.805686975
99,2021-07-19,2021-07-19,1976-03-01,7.892531834
100,2021-07-19,2021-07-19,1976-04-01,7.614904975
101,2021-07-19,2021-07-19,1976-05-01,7.697756649
102,2021-07-19,2021-07-19,1976-06-01,7.746020822
103,2021-07-19,2021-07-19,1976-07-01,7.870726691
104,2021-07-19,2021-07-19,1976-08-01,7.940597959
105,2021-07-19,2021-07-19,1976-09-01,7.577650737
106,2021-07-19,2021-07-19,1976-10-01,7.483353573
107,2021-07-19,2021-07-19,1976-11-01,7.404207257
108,2021-07-19,2021-07-19,1976-12-01,7.218662085
109,2021-07-19,2021-07-19,1977-01-01,6.63327271
110,2021-07-19,2021-07-19,1977-02-01,6.411075779
111,2021-07-19,2021-07-19,1977-03-01,6.287437842
112,2021-07-19,2021-07-19,1977-04-01,6.495264635
113,2021-07-19,2021-07-19,1977-05-01,6.709814092
114,2021-07-19,2021-07-19,1977-06-01,6.893933832
115,2021-07-19,2021-07-19,1977-07-01,6.761262404
116,2021-07-19,2021-07-19,1977-08-01,6.732495775
117,2021-07-19,2021-07-19,1977-09-01,6.681957314
118,2021-07-19,2021-07-19,1977-10-01,6.592925172
119,2021-07-19,2021-07-19,1977-11-01,6.401514202
120,2021-07-19,2021-07-19,1977-12-01,6.431371291
121,2021-07-19,2021-07-19,1978-01-01,6.480773428
