,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,10.3
1,2022-10-15,2022-10-15,1990-02-01,9.9
2,2022-10-15,2022-10-15,1990-03-01,9.2
3,2022-10-15,2022-10-15,1990-04-01,10.500
4,2022-10-15,2022-10-15,1990-05-01,10.7
5,2022-10-15,2022-10-15,1990-06-01,11.000
6,2022-10-15,2022-10-15,1990-07-01,10.6
7,2022-10-15,2022-10-15,1990-08-01,10.4
8,2022-10-15,2022-10-15,1990-09-01,10.300
9,2022-10-15,2022-10-15,1990-10-01,11.100
10,2022-10-15,2022-10-15,1990-11-01,9.8
11,2022-10-15,2022-10-15,1990-12-01,9.200
12,2022-10-15,2022-10-15,1991-01-01,11.1
13,2022-10-15,2022-10-15,1991-02-01,11.6
14,2022-10-15,2022-10-15,1991-03-01,10.9
15,2022-10-15,2022-10-15,1991-04-01,10.9
16,2022-10-15,2022-10-15,1991-05-01,15.7
17,2022-10-15,2022-10-15,1991-06-01,16.2
18,2022-10-15,2022-10-15,1991-07-01,12.9
19,2022-10-15,2022-10-15,1991-08-01,14.3
20,2022-10-15,2022-10-15,1991-09-01,12.000
21,2022-10-15,2022-10-15,1991-10-01,11.0
22,2022-10-15,2022-10-15,1991-11-01,11.6
23,2022-10-15,2022-10-15,1991-12-01,10.6
24,2022-10-15,2022-10-15,1992-01-01,11.700
25,2022-10-15,2022-10-15,1992-02-01,11.9
26,2022-10-15,2022-10-15,1992-03-01,14.0
27,2022-10-15,2022-10-15,1992-04-01,12.5
28,2022-10-15,2022-10-15,1992-05-01,12.5
29,2022-10-15,2022-10-15,1992-06-01,14.1
30,2022-10-15,2022-10-15,1992-07-01,11.8
31,2022-10-15,2022-10-15,1992-08-01,10.9
32,2022-10-15,2022-10-15,1992-09-01,9.9
33,2022-10-15,2022-10-15,1992-10-01,9.800
34,2022-10-15,2022-10-15,1992-11-01,10.6
35,2022-10-15,2022-10-15,1992-12-01,10.5
36,2022-10-15,2022-10-15,1993-01-01,13.1
37,2022-10-15,2022-10-15,1993-02-01,12.0
38,2022-10-15,2022-10-15,1993-03-01,11.0
39,2022-10-15,2022-10-15,1993-04-01,11.500
40,2022-10-15,2022-10-15,1993-05-01,13.6
41,2022-10-15,2022-10-15,1993-06-01,14.0
42,2022-10-15,2022-10-15,1993-07-01,11.0
43,2022-10-15,2022-10-15,1993-08-01,10.9
44,2022-10-15,2022-10-15,1993-09-01,9.4
45,2022-10-15,2022-10-15,1993-10-01,9.5
46,2022-10-15,2022-10-15,1993-11-01,9.6
47,2022-10-15,2022-10-15,1993-12-01,8.4
48,2022-10-15,2022-10-15,1994-01-01,11.4
49,2022-10-15,2022-10-15,1994-02-01,10.1
50,2022-10-15,2022-10-15,1994-03-01,9.3
51,2022-10-15,2022-10-15,1994-04-01,9.000
52,2022-10-15,2022-10-15,1994-05-01,8.2
53,2022-10-15,2022-10-15,1994-06-01,9.100
54,2022-10-15,2022-10-15,1994-07-01,8.1
55,2022-10-15,2022-10-15,1994-08-01,7.400
56,2022-10-15,2022-10-15,1994-09-01,6.800
57,2022-10-15,2022-10-15,1994-10-01,7.800
58,2022-10-15,2022-10-15,1994-11-01,6.8
59,2022-10-15,2022-10-15,1994-12-01,6.9
60,2022-10-15,2022-10-15,1995-01-01,9.1
61,2022-10-15,2022-10-15,1995-02-01,7.5
62,2022-10-15,2022-10-15,1995-03-01,7.3
63,2022-10-15,2022-10-15,1995-04-01,7.700
64,2022-10-15,2022-10-15,1995-05-01,8.200
65,2022-10-15,2022-10-15,1995-06-01,9.900
66,2022-10-15,2022-10-15,1995-07-01,8.4
67,2022-10-15,2022-10-15,1995-08-01,7.400
68,2022-10-15,2022-10-15,1995-09-01,6.2
69,2022-10-15,2022-10-15,1995-10-01,6.0
70,2022-10-15,2022-10-15,1995-11-01,6.600
71,2022-10-15,2022-10-15,1995-12-01,6.4
72,2022-10-15,2022-10-15,1996-01-01,10.3
73,2022-10-15,2022-10-15,1996-02-01,9.8
74,2022-10-15,2022-10-15,1996-03-01,9.5
75,2022-10-15,2022-10-15,1996-04-01,10.200
76,2022-10-15,2022-10-15,1996-05-01,12.7
77,2022-10-15,2022-10-15,1996-06-01,14.2
78,2022-10-15,2022-10-15,1996-07-01,12.4
79,2022-10-15,2022-10-15,1996-08-01,10.3
80,2022-10-15,2022-10-15,1996-09-01,9.400
81,2022-10-15,2022-10-15,1996-10-01,9.4
82,2022-10-15,2022-10-15,1996-11-01,9.100
83,2022-10-15,2022-10-15,1996-12-01,9.0
84,2022-10-15,2022-10-15,1997-01-01,11.4
85,2022-10-15,2022-10-15,1997-02-01,10.2
86,2022-10-15,2022-10-15,1997-03-01,10.6
87,2022-10-15,2022-10-15,1997-04-01,8.200
88,2022-10-15,2022-10-15,1997-05-01,10.0
89,2022-10-15,2022-10-15,1997-06-01,11.1
90,2022-10-15,2022-10-15,1997-07-01,9.1
91,2022-10-15,2022-10-15,1997-08-01,8.900
92,2022-10-15,2022-10-15,1997-09-01,8.5
93,2022-10-15,2022-10-15,1997-10-01,8.4
94,2022-10-15,2022-10-15,1997-11-01,7.4
95,2022-10-15,2022-10-15,1997-12-01,10.0
96,2022-10-15,2022-10-15,1998-01-01,11.9
97,2022-10-15,2022-10-15,1998-02-01,10.0
98,2022-10-15,2022-10-15,1998-03-01,10.0
99,2022-10-15,2022-10-15,1998-04-01,9.200
100,2022-10-15,2022-10-15,1998-05-01,10.100
101,2022-10-15,2022-10-15,1998-06-01,10.5
102,2022-10-15,2022-10-15,1998-07-01,9.3
103,2022-10-15,2022-10-15,1998-08-01,8.1
104,2022-10-15,2022-10-15,1998-09-01,7.8
105,2022-10-15,2022-10-15,1998-10-01,7.4
106,2022-10-15,2022-10-15,1998-11-01,6.1
107,2022-10-15,2022-10-15,1998-12-01,6.0
108,2022-10-15,2022-10-15,1999-01-01,9.5
109,2022-10-15,2022-10-15,1999-02-01,7.5
110,2022-10-15,2022-10-15,1999-03-01,7.5
111,2022-10-15,2022-10-15,1999-04-01,7.6
112,2022-10-15,2022-10-15,1999-05-01,8.7
