,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,8.8
1,2022-10-15,2022-10-15,1990-02-01,9.500
2,2022-10-15,2022-10-15,1990-03-01,7.6
3,2022-10-15,2022-10-15,1990-04-01,5.8
4,2022-10-15,2022-10-15,1990-05-01,5.3
5,2022-10-15,2022-10-15,1990-06-01,6.0
6,2022-10-15,2022-10-15,1990-07-01,7.1
7,2022-10-15,2022-10-15,1990-08-01,7.4
8,2022-10-15,2022-10-15,1990-09-01,6.9
9,2022-10-15,2022-10-15,1990-10-01,7.5
10,2022-10-15,2022-10-15,1990-11-01,7.400
11,2022-10-15,2022-10-15,1990-12-01,8.8
12,2022-10-15,2022-10-15,1991-01-01,11.2
13,2022-10-15,2022-10-15,1991-02-01,10.3
14,2022-10-15,2022-10-15,1991-03-01,8.9
15,2022-10-15,2022-10-15,1991-04-01,7.000
16,2022-10-15,2022-10-15,1991-05-01,6.5
17,2022-10-15,2022-10-15,1991-06-01,6.800
18,2022-10-15,2022-10-15,1991-07-01,6.2
19,2022-10-15,2022-10-15,1991-08-01,6.7
20,2022-10-15,2022-10-15,1991-09-01,5.0
21,2022-10-15,2022-10-15,1991-10-01,5.9
22,2022-10-15,2022-10-15,1991-11-01,6.6
23,2022-10-15,2022-10-15,1991-12-01,7.6
24,2022-10-15,2022-10-15,1992-01-01,8.4
25,2022-10-15,2022-10-15,1992-02-01,8.4
26,2022-10-15,2022-10-15,1992-03-01,8.5
27,2022-10-15,2022-10-15,1992-04-01,6.7
28,2022-10-15,2022-10-15,1992-05-01,6.1
29,2022-10-15,2022-10-15,1992-06-01,6.6
30,2022-10-15,2022-10-15,1992-07-01,6.500
31,2022-10-15,2022-10-15,1992-08-01,6.8
32,2022-10-15,2022-10-15,1992-09-01,6.300
33,2022-10-15,2022-10-15,1992-10-01,5.000
34,2022-10-15,2022-10-15,1992-11-01,7.000
35,2022-10-15,2022-10-15,1992-12-01,7.600
36,2022-10-15,2022-10-15,1993-01-01,9.9
37,2022-10-15,2022-10-15,1993-02-01,10.2
38,2022-10-15,2022-10-15,1993-03-01,9.2
39,2022-10-15,2022-10-15,1993-04-01,8.5
40,2022-10-15,2022-10-15,1993-05-01,7.8
41,2022-10-15,2022-10-15,1993-06-01,8.1
42,2022-10-15,2022-10-15,1993-07-01,11.9
43,2022-10-15,2022-10-15,1993-08-01,11.6
44,2022-10-15,2022-10-15,1993-09-01,8.0
45,2022-10-15,2022-10-15,1993-10-01,7.7
46,2022-10-15,2022-10-15,1993-11-01,7.6
47,2022-10-15,2022-10-15,1993-12-01,7.8
48,2022-10-15,2022-10-15,1994-01-01,9.5
49,2022-10-15,2022-10-15,1994-02-01,8.000
50,2022-10-15,2022-10-15,1994-03-01,7.2
51,2022-10-15,2022-10-15,1994-04-01,6.900
52,2022-10-15,2022-10-15,1994-05-01,5.6
53,2022-10-15,2022-10-15,1994-06-01,6.0
54,2022-10-15,2022-10-15,1994-07-01,5.6
55,2022-10-15,2022-10-15,1994-08-01,5.8
56,2022-10-15,2022-10-15,1994-09-01,4.6
57,2022-10-15,2022-10-15,1994-10-01,4.8
58,2022-10-15,2022-10-15,1994-11-01,5.5
59,2022-10-15,2022-10-15,1994-12-01,5.9
60,2022-10-15,2022-10-15,1995-01-01,6.8
61,2022-10-15,2022-10-15,1995-02-01,6.5
62,2022-10-15,2022-10-15,1995-03-01,6.5
63,2022-10-15,2022-10-15,1995-04-01,5.9
64,2022-10-15,2022-10-15,1995-05-01,6.3
65,2022-10-15,2022-10-15,1995-06-01,5.6
66,2022-10-15,2022-10-15,1995-07-01,5.2
67,2022-10-15,2022-10-15,1995-08-01,5.0
68,2022-10-15,2022-10-15,1995-09-01,4.2
69,2022-10-15,2022-10-15,1995-10-01,3.3
70,2022-10-15,2022-10-15,1995-11-01,4.0
71,2022-10-15,2022-10-15,1995-12-01,5.0
72,2022-10-15,2022-10-15,1996-01-01,6.0
73,2022-10-15,2022-10-15,1996-02-01,5.400
74,2022-10-15,2022-10-15,1996-03-01,5.1
75,2022-10-15,2022-10-15,1996-04-01,5.0
76,2022-10-15,2022-10-15,1996-05-01,6.1
77,2022-10-15,2022-10-15,1996-06-01,6.000
78,2022-10-15,2022-10-15,1996-07-01,6.1
79,2022-10-15,2022-10-15,1996-08-01,5.2
80,2022-10-15,2022-10-15,1996-09-01,3.9
81,2022-10-15,2022-10-15,1996-10-01,3.5
82,2022-10-15,2022-10-15,1996-11-01,4.1
83,2022-10-15,2022-10-15,1996-12-01,5.1
