,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,11.9
1,2022-10-15,2022-10-15,1990-02-01,14.6
2,2022-10-15,2022-10-15,1990-03-01,14.5
3,2022-10-15,2022-10-15,1990-04-01,14.1
4,2022-10-15,2022-10-15,1990-05-01,11.6
5,2022-10-15,2022-10-15,1990-06-01,10.8
6,2022-10-15,2022-10-15,1990-07-01,9.6
7,2022-10-15,2022-10-15,1990-08-01,8.2
8,2022-10-15,2022-10-15,1990-09-01,8.6
9,2022-10-15,2022-10-15,1990-10-01,7.6
10,2022-10-15,2022-10-15,1990-11-01,11.2
11,2022-10-15,2022-10-15,1990-12-01,13.3
12,2022-10-15,2022-10-15,1991-01-01,14.1
13,2022-10-15,2022-10-15,1991-02-01,14.6
14,2022-10-15,2022-10-15,1991-03-01,14.0
15,2022-10-15,2022-10-15,1991-04-01,12.7
16,2022-10-15,2022-10-15,1991-05-01,11.6
17,2022-10-15,2022-10-15,1991-06-01,11.6
18,2022-10-15,2022-10-15,1991-07-01,10.4
19,2022-10-15,2022-10-15,1991-08-01,8.6
20,2022-10-15,2022-10-15,1991-09-01,8.6
21,2022-10-15,2022-10-15,1991-10-01,7.9
22,2022-10-15,2022-10-15,1991-11-01,12.5
23,2022-10-15,2022-10-15,1991-12-01,14.3
24,2022-10-15,2022-10-15,1992-01-01,16.5
25,2022-10-15,2022-10-15,1992-02-01,16.7
26,2022-10-15,2022-10-15,1992-03-01,16.1
27,2022-10-15,2022-10-15,1992-04-01,14.7
28,2022-10-15,2022-10-15,1992-05-01,13.3
29,2022-10-15,2022-10-15,1992-06-01,12.3
30,2022-10-15,2022-10-15,1992-07-01,11.0
31,2022-10-15,2022-10-15,1992-08-01,9.5
32,2022-10-15,2022-10-15,1992-09-01,9.7
33,2022-10-15,2022-10-15,1992-10-01,8.4
34,2022-10-15,2022-10-15,1992-11-01,10.7
35,2022-10-15,2022-10-15,1992-12-01,12.8
36,2022-10-15,2022-10-15,1993-01-01,14.7
37,2022-10-15,2022-10-15,1993-02-01,14.1
38,2022-10-15,2022-10-15,1993-03-01,13.2
39,2022-10-15,2022-10-15,1993-04-01,11.7
40,2022-10-15,2022-10-15,1993-05-01,11.3
41,2022-10-15,2022-10-15,1993-06-01,11.3
42,2022-10-15,2022-10-15,1993-07-01,9.9
43,2022-10-15,2022-10-15,1993-08-01,8.3
44,2022-10-15,2022-10-15,1993-09-01,8.2
45,2022-10-15,2022-10-15,1993-10-01,8.2
46,2022-10-15,2022-10-15,1993-11-01,10.4
47,2022-10-15,2022-10-15,1993-12-01,12.7
