,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,5.5
1,2022-10-15,2022-10-15,1990-02-01,5.800
2,2022-10-15,2022-10-15,1990-03-01,5.1
3,2022-10-15,2022-10-15,1990-04-01,4.9
4,2022-10-15,2022-10-15,1990-05-01,4.600
5,2022-10-15,2022-10-15,1990-06-01,4.9
6,2022-10-15,2022-10-15,1990-07-01,4.5
7,2022-10-15,2022-10-15,1990-08-01,5.400
8,2022-10-15,2022-10-15,1990-09-01,6.6
9,2022-10-15,2022-10-15,1990-10-01,5.500
10,2022-10-15,2022-10-15,1990-11-01,5.1
11,2022-10-15,2022-10-15,1990-12-01,6.8
12,2022-10-15,2022-10-15,1991-01-01,5.5
13,2022-10-15,2022-10-15,1991-02-01,5.9
14,2022-10-15,2022-10-15,1991-03-01,5.5
15,2022-10-15,2022-10-15,1991-04-01,4.600
16,2022-10-15,2022-10-15,1991-05-01,4.300
17,2022-10-15,2022-10-15,1991-06-01,5.7
18,2022-10-15,2022-10-15,1991-07-01,4.9
19,2022-10-15,2022-10-15,1991-08-01,4.8
20,2022-10-15,2022-10-15,1991-09-01,4.4
21,2022-10-15,2022-10-15,1991-10-01,5.3
22,2022-10-15,2022-10-15,1991-11-01,5.7
23,2022-10-15,2022-10-15,1991-12-01,8.6
24,2022-10-15,2022-10-15,1992-01-01,7.400
25,2022-10-15,2022-10-15,1992-02-01,8.4
26,2022-10-15,2022-10-15,1992-03-01,6.9
27,2022-10-15,2022-10-15,1992-04-01,6.2
28,2022-10-15,2022-10-15,1992-05-01,5.8
29,2022-10-15,2022-10-15,1992-06-01,6.8
30,2022-10-15,2022-10-15,1992-07-01,6.0
31,2022-10-15,2022-10-15,1992-08-01,5.3
32,2022-10-15,2022-10-15,1992-09-01,4.500
33,2022-10-15,2022-10-15,1992-10-01,4.400
34,2022-10-15,2022-10-15,1992-11-01,4.8
35,2022-10-15,2022-10-15,1992-12-01,5.0
36,2022-10-15,2022-10-15,1993-01-01,6.0
37,2022-10-15,2022-10-15,1993-02-01,6.300
38,2022-10-15,2022-10-15,1993-03-01,5.800
39,2022-10-15,2022-10-15,1993-04-01,5.2
40,2022-10-15,2022-10-15,1993-05-01,4.800
41,2022-10-15,2022-10-15,1993-06-01,5.6
42,2022-10-15,2022-10-15,1993-07-01,4.9
43,2022-10-15,2022-10-15,1993-08-01,5.0
44,2022-10-15,2022-10-15,1993-09-01,4.3
45,2022-10-15,2022-10-15,1993-10-01,4.3
46,2022-10-15,2022-10-15,1993-11-01,3.8
47,2022-10-15,2022-10-15,1993-12-01,4.1
48,2022-10-15,2022-10-15,1994-01-01,4.6
49,2022-10-15,2022-10-15,1994-02-01,4.8
50,2022-10-15,2022-10-15,1994-03-01,4.4
51,2022-10-15,2022-10-15,1994-04-01,3.6
52,2022-10-15,2022-10-15,1994-05-01,3.200
53,2022-10-15,2022-10-15,1994-06-01,3.900
54,2022-10-15,2022-10-15,1994-07-01,3.900
55,2022-10-15,2022-10-15,1994-08-01,3.700
56,2022-10-15,2022-10-15,1994-09-01,2.900
57,2022-10-15,2022-10-15,1994-10-01,3.000
58,2022-10-15,2022-10-15,1994-11-01,2.5
59,2022-10-15,2022-10-15,1994-12-01,3.0
60,2022-10-15,2022-10-15,1995-01-01,3.900
61,2022-10-15,2022-10-15,1995-02-01,3.7
62,2022-10-15,2022-10-15,1995-03-01,3.400
63,2022-10-15,2022-10-15,1995-04-01,3.100
64,2022-10-15,2022-10-15,1995-05-01,3.500
65,2022-10-15,2022-10-15,1995-06-01,3.700
66,2022-10-15,2022-10-15,1995-07-01,3.600
67,2022-10-15,2022-10-15,1995-08-01,3.800
68,2022-10-15,2022-10-15,1995-09-01,3.300
69,2022-10-15,2022-10-15,1995-10-01,3.300
70,2022-10-15,2022-10-15,1995-11-01,3.7
71,2022-10-15,2022-10-15,1995-12-01,4.1
72,2022-10-15,2022-10-15,1996-01-01,4.900
73,2022-10-15,2022-10-15,1996-02-01,4.8
74,2022-10-15,2022-10-15,1996-03-01,4.7
75,2022-10-15,2022-10-15,1996-04-01,3.9
76,2022-10-15,2022-10-15,1996-05-01,4.0
77,2022-10-15,2022-10-15,1996-06-01,4.5
78,2022-10-15,2022-10-15,1996-07-01,4.5
79,2022-10-15,2022-10-15,1996-08-01,3.9
80,2022-10-15,2022-10-15,1996-09-01,3.500
81,2022-10-15,2022-10-15,1996-10-01,3.4
82,2022-10-15,2022-10-15,1996-11-01,3.6
83,2022-10-15,2022-10-15,1996-12-01,3.900
84,2022-10-15,2022-10-15,1997-01-01,4.300
85,2022-10-15,2022-10-15,1997-02-01,4.0
86,2022-10-15,2022-10-15,1997-03-01,3.700
87,2022-10-15,2022-10-15,1997-04-01,2.9
88,2022-10-15,2022-10-15,1997-05-01,2.8
89,2022-10-15,2022-10-15,1997-06-01,3.400
90,2022-10-15,2022-10-15,1997-07-01,3.100
91,2022-10-15,2022-10-15,1997-08-01,3.2
92,2022-10-15,2022-10-15,1997-09-01,2.6
93,2022-10-15,2022-10-15,1997-10-01,2.4
94,2022-10-15,2022-10-15,1997-11-01,2.6
95,2022-10-15,2022-10-15,1997-12-01,3.700
96,2022-10-15,2022-10-15,1998-01-01,3.8
97,2022-10-15,2022-10-15,1998-02-01,4.0
98,2022-10-15,2022-10-15,1998-03-01,3.900
99,2022-10-15,2022-10-15,1998-04-01,2.9
100,2022-10-15,2022-10-15,1998-05-01,3.000
101,2022-10-15,2022-10-15,1998-06-01,3.7
102,2022-10-15,2022-10-15,1998-07-01,3.3
103,2022-10-15,2022-10-15,1998-08-01,3.5
104,2022-10-15,2022-10-15,1998-09-01,3.000
105,2022-10-15,2022-10-15,1998-10-01,2.8
106,2022-10-15,2022-10-15,1998-11-01,3.100
107,2022-10-15,2022-10-15,1998-12-01,2.900
108,2022-10-15,2022-10-15,1999-01-01,3.4
109,2022-10-15,2022-10-15,1999-02-01,3.3
110,2022-10-15,2022-10-15,1999-03-01,3.0
111,2022-10-15,2022-10-15,1999-04-01,2.500
112,2022-10-15,2022-10-15,1999-05-01,2.400
113,2022-10-15,2022-10-15,1999-06-01,3.1
114,2022-10-15,2022-10-15,1999-07-01,3.300
115,2022-10-15,2022-10-15,1999-08-01,3.300
116,2022-10-15,2022-10-15,1999-09-01,2.9
117,2022-10-15,2022-10-15,1999-10-01,2.9
118,2022-10-15,2022-10-15,1999-11-01,2.8
119,2022-10-15,2022-10-15,1999-12-01,3.2
120,2022-10-15,2022-10-15,2000-01-01,4.0
121,2022-10-15,2022-10-15,2000-02-01,4.100
122,2022-10-15,2022-10-15,2000-03-01,3.800
123,2022-10-15,2022-10-15,2000-04-01,3.0
124,2022-10-15,2022-10-15,2000-05-01,3.3
125,2022-10-15,2022-10-15,2000-06-01,4.2
126,2022-10-15,2022-10-15,2000-07-01,4.2
127,2022-10-15,2022-10-15,2000-08-01,4.3
128,2022-10-15,2022-10-15,2000-09-01,3.9
129,2022-10-15,2022-10-15,2000-10-01,4.0
130,2022-10-15,2022-10-15,2000-11-01,4.3
131,2022-10-15,2022-10-15,2000-12-01,4.4
132,2022-10-15,2022-10-15,2001-01-01,4.9
133,2022-10-15,2022-10-15,2001-02-01,4.9
134,2022-10-15,2022-10-15,2001-03-01,4.9
135,2022-10-15,2022-10-15,2001-04-01,4.2
136,2022-10-15,2022-10-15,2001-05-01,4.1
137,2022-10-15,2022-10-15,2001-06-01,4.700
138,2022-10-15,2022-10-15,2001-07-01,4.8
139,2022-10-15,2022-10-15,2001-08-01,5.100
140,2022-10-15,2022-10-15,2001-09-01,4.1
141,2022-10-15,2022-10-15,2001-10-01,4.5
142,2022-10-15,2022-10-15,2001-11-01,5.9
143,2022-10-15,2022-10-15,2001-12-01,6.2
144,2022-10-15,2022-10-15,2002-01-01,7.1
145,2022-10-15,2022-10-15,2002-02-01,6.2
146,2022-10-15,2022-10-15,2002-03-01,6.1
147,2022-10-15,2022-10-15,2002-04-01,5.3
148,2022-10-15,2022-10-15,2002-05-01,5.1
149,2022-10-15,2022-10-15,2002-06-01,5.8
150,2022-10-15,2022-10-15,2002-07-01,5.8
151,2022-10-15,2022-10-15,2002-08-01,5.5
152,2022-10-15,2022-10-15,2002-09-01,4.600
153,2022-10-15,2022-10-15,2002-10-01,4.600
154,2022-10-15,2022-10-15,2002-11-01,5.1
155,2022-10-15,2022-10-15,2002-12-01,5.600
156,2022-10-15,2022-10-15,2003-01-01,6.000
157,2022-10-15,2022-10-15,2003-02-01,5.9
158,2022-10-15,2022-10-15,2003-03-01,5.7
159,2022-10-15,2022-10-15,2003-04-01,4.9
160,2022-10-15,2022-10-15,2003-05-01,5.1
161,2022-10-15,2022-10-15,2003-06-01,6.6
162,2022-10-15,2022-10-15,2003-07-01,6.4
163,2022-10-15,2022-10-15,2003-08-01,6.4
164,2022-10-15,2022-10-15,2003-09-01,5.800
165,2022-10-15,2022-10-15,2003-10-01,5.500
166,2022-10-15,2022-10-15,2003-11-01,5.7
167,2022-10-15,2022-10-15,2003-12-01,5.6
168,2022-10-15,2022-10-15,2004-01-01,6.100
169,2022-10-15,2022-10-15,2004-02-01,5.700
170,2022-10-15,2022-10-15,2004-03-01,5.9
171,2022-10-15,2022-10-15,2004-04-01,4.700
172,2022-10-15,2022-10-15,2004-05-01,4.900
173,2022-10-15,2022-10-15,2004-06-01,6.0
174,2022-10-15,2022-10-15,2004-07-01,5.700
175,2022-10-15,2022-10-15,2004-08-01,5.4
176,2022-10-15,2022-10-15,2004-09-01,4.500
177,2022-10-15,2022-10-15,2004-10-01,4.5
178,2022-10-15,2022-10-15,2004-11-01,4.9
179,2022-10-15,2022-10-15,2004-12-01,4.700
180,2022-10-15,2022-10-15,2005-01-01,5.100
181,2022-10-15,2022-10-15,2005-02-01,5.1
182,2022-10-15,2022-10-15,2005-03-01,4.8
183,2022-10-15,2022-10-15,2005-04-01,4.200
184,2022-10-15,2022-10-15,2005-05-01,4.1
185,2022-10-15,2022-10-15,2005-06-01,5.000
