,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,1.5
1,2022-10-15,2022-10-15,1990-02-01,1.3
2,2022-10-15,2022-10-15,1990-03-01,1.3
3,2022-10-15,2022-10-15,1990-04-01,1.2
4,2022-10-15,2022-10-15,1990-05-01,0.8
5,2022-10-15,2022-10-15,1990-06-01,0.9
6,2022-10-15,2022-10-15,1990-07-01,0.9
7,2022-10-15,2022-10-15,1990-08-01,0.9
8,2022-10-15,2022-10-15,1990-09-01,1.0
9,2022-10-15,2022-10-15,1990-10-01,1.0
10,2022-10-15,2022-10-15,1990-11-01,1.0
11,2022-10-15,2022-10-15,1990-12-01,1.2
12,2022-10-15,2022-10-15,1991-01-01,1.7
13,2022-10-15,2022-10-15,1991-02-01,1.7
14,2022-10-15,2022-10-15,1991-03-01,1.9
15,2022-10-15,2022-10-15,1991-04-01,1.3
16,2022-10-15,2022-10-15,1991-05-01,1.3
17,2022-10-15,2022-10-15,1991-06-01,1.4
18,2022-10-15,2022-10-15,1991-07-01,1.4
19,2022-10-15,2022-10-15,1991-08-01,1.3
20,2022-10-15,2022-10-15,1991-09-01,1.4
21,2022-10-15,2022-10-15,1991-10-01,1.0
22,2022-10-15,2022-10-15,1991-11-01,1.4
23,2022-10-15,2022-10-15,1991-12-01,1.7
24,2022-10-15,2022-10-15,1992-01-01,2.2
25,2022-10-15,2022-10-15,1992-02-01,2.3
26,2022-10-15,2022-10-15,1992-03-01,1.9
27,2022-10-15,2022-10-15,1992-04-01,2.3
28,2022-10-15,2022-10-15,1992-05-01,2.4
29,2022-10-15,2022-10-15,1992-06-01,2.8
30,2022-10-15,2022-10-15,1992-07-01,2.3
31,2022-10-15,2022-10-15,1992-08-01,2.2
32,2022-10-15,2022-10-15,1992-09-01,1.9
33,2022-10-15,2022-10-15,1992-10-01,2.1
34,2022-10-15,2022-10-15,1992-11-01,1.9
35,2022-10-15,2022-10-15,1992-12-01,2.0
36,2022-10-15,2022-10-15,1993-01-01,2.7
37,2022-10-15,2022-10-15,1993-02-01,2.4
38,2022-10-15,2022-10-15,1993-03-01,2.3
39,2022-10-15,2022-10-15,1993-04-01,1.9
40,2022-10-15,2022-10-15,1993-05-01,2.1
41,2022-10-15,2022-10-15,1993-06-01,2.2
42,2022-10-15,2022-10-15,1993-07-01,1.8
43,2022-10-15,2022-10-15,1993-08-01,1.6
44,2022-10-15,2022-10-15,1993-09-01,1.8
45,2022-10-15,2022-10-15,1993-10-01,1.8
46,2022-10-15,2022-10-15,1993-11-01,1.5
47,2022-10-15,2022-10-15,1993-12-01,1.7
48,2022-10-15,2022-10-15,1994-01-01,2.4
49,2022-10-15,2022-10-15,1994-02-01,2.6
50,2022-10-15,2022-10-15,1994-03-01,2.9
51,2022-10-15,2022-10-15,1994-04-01,2.2
52,2022-10-15,2022-10-15,1994-05-01,2.0
53,2022-10-15,2022-10-15,1994-06-01,2.2
54,2022-10-15,2022-10-15,1994-07-01,2.1
55,2022-10-15,2022-10-15,1994-08-01,2.2
56,2022-10-15,2022-10-15,1994-09-01,2.0
57,2022-10-15,2022-10-15,1994-10-01,2.1
58,2022-10-15,2022-10-15,1994-11-01,1.7
59,2022-10-15,2022-10-15,1994-12-01,2.1
60,2022-10-15,2022-10-15,1995-01-01,2.4
61,2022-10-15,2022-10-15,1995-02-01,2.2
62,2022-10-15,2022-10-15,1995-03-01,2.2
63,2022-10-15,2022-10-15,1995-04-01,2.6
64,2022-10-15,2022-10-15,1995-05-01,2.1
65,2022-10-15,2022-10-15,1995-06-01,2.2
66,2022-10-15,2022-10-15,1995-07-01,2.3
67,2022-10-15,2022-10-15,1995-08-01,1.7
68,2022-10-15,2022-10-15,1995-09-01,1.7
69,2022-10-15,2022-10-15,1995-10-01,1.9
