,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,4.2
1,2022-10-15,2022-10-15,1990-02-01,3.8
2,2022-10-15,2022-10-15,1990-03-01,4.5
3,2022-10-15,2022-10-15,1990-04-01,5.7
4,2022-10-15,2022-10-15,1990-05-01,6.8
5,2022-10-15,2022-10-15,1990-06-01,7.6
6,2022-10-15,2022-10-15,1990-07-01,5.6
7,2022-10-15,2022-10-15,1990-08-01,5.9
8,2022-10-15,2022-10-15,1990-09-01,5.4
9,2022-10-15,2022-10-15,1990-10-01,7.9
10,2022-10-15,2022-10-15,1990-11-01,8.2
11,2022-10-15,2022-10-15,1990-12-01,5.9
12,2022-10-15,2022-10-15,1991-01-01,8.9
13,2022-10-15,2022-10-15,1991-02-01,6.4
14,2022-10-15,2022-10-15,1991-03-01,10.1
15,2022-10-15,2022-10-15,1991-04-01,9.7
16,2022-10-15,2022-10-15,1991-05-01,7.3
17,2022-10-15,2022-10-15,1991-06-01,7.1
18,2022-10-15,2022-10-15,1991-07-01,6.3
19,2022-10-15,2022-10-15,1991-08-01,6.5
20,2022-10-15,2022-10-15,1991-09-01,5.5
21,2022-10-15,2022-10-15,1991-10-01,4.7
22,2022-10-15,2022-10-15,1991-11-01,5.9
23,2022-10-15,2022-10-15,1991-12-01,6.2
24,2022-10-15,2022-10-15,1992-01-01,9.8
25,2022-10-15,2022-10-15,1992-02-01,12.3
26,2022-10-15,2022-10-15,1992-03-01,12.3
27,2022-10-15,2022-10-15,1992-04-01,12.8
28,2022-10-15,2022-10-15,1992-05-01,10.7
29,2022-10-15,2022-10-15,1992-06-01,11.1
30,2022-10-15,2022-10-15,1992-07-01,11.3
31,2022-10-15,2022-10-15,1992-08-01,10.4
32,2022-10-15,2022-10-15,1992-09-01,9.2
33,2022-10-15,2022-10-15,1992-10-01,8.7
34,2022-10-15,2022-10-15,1992-11-01,8.8
35,2022-10-15,2022-10-15,1992-12-01,9.2
36,2022-10-15,2022-10-15,1993-01-01,10.7
37,2022-10-15,2022-10-15,1993-02-01,12.6
38,2022-10-15,2022-10-15,1993-03-01,10.1
39,2022-10-15,2022-10-15,1993-04-01,9.4
40,2022-10-15,2022-10-15,1993-05-01,9.5
41,2022-10-15,2022-10-15,1993-06-01,11.4
