,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,13.1
1,2022-10-15,2022-10-15,1990-02-01,13.500
2,2022-10-15,2022-10-15,1990-03-01,12.0
3,2022-10-15,2022-10-15,1990-04-01,12.4
4,2022-10-15,2022-10-15,1990-05-01,12.600
5,2022-10-15,2022-10-15,1990-06-01,11.7
6,2022-10-15,2022-10-15,1990-07-01,12.0
7,2022-10-15,2022-10-15,1990-08-01,11.7
8,2022-10-15,2022-10-15,1990-09-01,11.4
9,2022-10-15,2022-10-15,1990-10-01,11.0
10,2022-10-15,2022-10-15,1990-11-01,13.300
11,2022-10-15,2022-10-15,1990-12-01,14.7
12,2022-10-15,2022-10-15,1991-01-01,15.1
13,2022-10-15,2022-10-15,1991-02-01,15.100
14,2022-10-15,2022-10-15,1991-03-01,14.3
15,2022-10-15,2022-10-15,1991-04-01,11.1
16,2022-10-15,2022-10-15,1991-05-01,11.5
17,2022-10-15,2022-10-15,1991-06-01,11.3
18,2022-10-15,2022-10-15,1991-07-01,12.0
19,2022-10-15,2022-10-15,1991-08-01,10.200
20,2022-10-15,2022-10-15,1991-09-01,9.9
21,2022-10-15,2022-10-15,1991-10-01,10.1
22,2022-10-15,2022-10-15,1991-11-01,11.3
23,2022-10-15,2022-10-15,1991-12-01,11.5
24,2022-10-15,2022-10-15,1992-01-01,13.4
25,2022-10-15,2022-10-15,1992-02-01,12.8
26,2022-10-15,2022-10-15,1992-03-01,11.2
27,2022-10-15,2022-10-15,1992-04-01,9.2
28,2022-10-15,2022-10-15,1992-05-01,8.8
29,2022-10-15,2022-10-15,1992-06-01,9.7
30,2022-10-15,2022-10-15,1992-07-01,8.900
31,2022-10-15,2022-10-15,1992-08-01,8.1
32,2022-10-15,2022-10-15,1992-09-01,8.0
33,2022-10-15,2022-10-15,1992-10-01,7.9
34,2022-10-15,2022-10-15,1992-11-01,8.3
35,2022-10-15,2022-10-15,1992-12-01,8.8
36,2022-10-15,2022-10-15,1993-01-01,9.9
37,2022-10-15,2022-10-15,1993-02-01,9.7
38,2022-10-15,2022-10-15,1993-03-01,9.9
39,2022-10-15,2022-10-15,1993-04-01,9.2
40,2022-10-15,2022-10-15,1993-05-01,9.9
41,2022-10-15,2022-10-15,1993-06-01,9.8
42,2022-10-15,2022-10-15,1993-07-01,8.3
43,2022-10-15,2022-10-15,1993-08-01,7.200
44,2022-10-15,2022-10-15,1993-09-01,6.900
45,2022-10-15,2022-10-15,1993-10-01,7.4
46,2022-10-15,2022-10-15,1993-11-01,6.5
47,2022-10-15,2022-10-15,1993-12-01,6.7
48,2022-10-15,2022-10-15,1994-01-01,9.600
49,2022-10-15,2022-10-15,1994-02-01,10.3
50,2022-10-15,2022-10-15,1994-03-01,10.0
51,2022-10-15,2022-10-15,1994-04-01,7.5
52,2022-10-15,2022-10-15,1994-05-01,7.000
53,2022-10-15,2022-10-15,1994-06-01,7.700
54,2022-10-15,2022-10-15,1994-07-01,7.300
55,2022-10-15,2022-10-15,1994-08-01,7.5
56,2022-10-15,2022-10-15,1994-09-01,7.5
57,2022-10-15,2022-10-15,1994-10-01,6.8
58,2022-10-15,2022-10-15,1994-11-01,6.4
59,2022-10-15,2022-10-15,1994-12-01,6.700
60,2022-10-15,2022-10-15,1995-01-01,9.0
61,2022-10-15,2022-10-15,1995-02-01,9.5
62,2022-10-15,2022-10-15,1995-03-01,8.1
63,2022-10-15,2022-10-15,1995-04-01,7.200
64,2022-10-15,2022-10-15,1995-05-01,7.6
65,2022-10-15,2022-10-15,1995-06-01,7.000
66,2022-10-15,2022-10-15,1995-07-01,5.900
67,2022-10-15,2022-10-15,1995-08-01,5.7
68,2022-10-15,2022-10-15,1995-09-01,5.5
69,2022-10-15,2022-10-15,1995-10-01,5.200
70,2022-10-15,2022-10-15,1995-11-01,6.4
71,2022-10-15,2022-10-15,1995-12-01,5.500
72,2022-10-15,2022-10-15,1996-01-01,8.800
73,2022-10-15,2022-10-15,1996-02-01,8.4
74,2022-10-15,2022-10-15,1996-03-01,7.2
75,2022-10-15,2022-10-15,1996-04-01,5.1
76,2022-10-15,2022-10-15,1996-05-01,5.2
77,2022-10-15,2022-10-15,1996-06-01,5.1
78,2022-10-15,2022-10-15,1996-07-01,4.2
79,2022-10-15,2022-10-15,1996-08-01,3.6
80,2022-10-15,2022-10-15,1996-09-01,4.6
81,2022-10-15,2022-10-15,1996-10-01,4.5
82,2022-10-15,2022-10-15,1996-11-01,5.1
83,2022-10-15,2022-10-15,1996-12-01,4.8
84,2022-10-15,2022-10-15,1997-01-01,8.0
85,2022-10-15,2022-10-15,1997-02-01,8.3
86,2022-10-15,2022-10-15,1997-03-01,6.0
87,2022-10-15,2022-10-15,1997-04-01,4.800
88,2022-10-15,2022-10-15,1997-05-01,4.100
89,2022-10-15,2022-10-15,1997-06-01,5.400
90,2022-10-15,2022-10-15,1997-07-01,3.700
91,2022-10-15,2022-10-15,1997-08-01,4.1
92,2022-10-15,2022-10-15,1997-09-01,4.7
93,2022-10-15,2022-10-15,1997-10-01,4.4
94,2022-10-15,2022-10-15,1997-11-01,3.7
95,2022-10-15,2022-10-15,1997-12-01,4.600
96,2022-10-15,2022-10-15,1998-01-01,6.3
97,2022-10-15,2022-10-15,1998-02-01,7.0
98,2022-10-15,2022-10-15,1998-03-01,7.0
99,2022-10-15,2022-10-15,1998-04-01,13.0
100,2022-10-15,2022-10-15,1998-05-01,4.1
101,2022-10-15,2022-10-15,1998-06-01,4.300
102,2022-10-15,2022-10-15,1998-07-01,3.800
103,2022-10-15,2022-10-15,1998-08-01,3.5
104,2022-10-15,2022-10-15,1998-09-01,3.3
105,2022-10-15,2022-10-15,1998-10-01,4.300
106,2022-10-15,2022-10-15,1998-11-01,5.0
107,2022-10-15,2022-10-15,1998-12-01,5.5
108,2022-10-15,2022-10-15,1999-01-01,7.9
109,2022-10-15,2022-10-15,1999-02-01,7.6
110,2022-10-15,2022-10-15,1999-03-01,7.0
111,2022-10-15,2022-10-15,1999-04-01,4.300
112,2022-10-15,2022-10-15,1999-05-01,4.200
113,2022-10-15,2022-10-15,1999-06-01,4.1
114,2022-10-15,2022-10-15,1999-07-01,4.0
115,2022-10-15,2022-10-15,1999-08-01,3.600
116,2022-10-15,2022-10-15,1999-09-01,3.9
117,2022-10-15,2022-10-15,1999-10-01,3.300
118,2022-10-15,2022-10-15,1999-11-01,3.400
119,2022-10-15,2022-10-15,1999-12-01,3.900
120,2022-10-15,2022-10-15,2000-01-01,5.9
121,2022-10-15,2022-10-15,2000-02-01,6.2
122,2022-10-15,2022-10-15,2000-03-01,5.200
123,2022-10-15,2022-10-15,2000-04-01,3.800
124,2022-10-15,2022-10-15,2000-05-01,4.400
125,2022-10-15,2022-10-15,2000-06-01,4.4
126,2022-10-15,2022-10-15,2000-07-01,4.5
127,2022-10-15,2022-10-15,2000-08-01,4.2
128,2022-10-15,2022-10-15,2000-09-01,3.9
129,2022-10-15,2022-10-15,2000-10-01,4.300
130,2022-10-15,2022-10-15,2000-11-01,4.5
131,2022-10-15,2022-10-15,2000-12-01,5.600
132,2022-10-15,2022-10-15,2001-01-01,7.400
133,2022-10-15,2022-10-15,2001-02-01,7.7
134,2022-10-15,2022-10-15,2001-03-01,7.4
135,2022-10-15,2022-10-15,2001-04-01,5.4
136,2022-10-15,2022-10-15,2001-05-01,5.8
137,2022-10-15,2022-10-15,2001-06-01,5.7
138,2022-10-15,2022-10-15,2001-07-01,6.2
139,2022-10-15,2022-10-15,2001-08-01,6.100
140,2022-10-15,2022-10-15,2001-09-01,5.4
141,2022-10-15,2022-10-15,2001-10-01,5.7
142,2022-10-15,2022-10-15,2001-11-01,6.100
143,2022-10-15,2022-10-15,2001-12-01,6.100
144,2022-10-15,2022-10-15,2002-01-01,8.500
145,2022-10-15,2022-10-15,2002-02-01,8.000
146,2022-10-15,2022-10-15,2002-03-01,8.1
147,2022-10-15,2022-10-15,2002-04-01,6.1
148,2022-10-15,2022-10-15,2002-05-01,6.2
149,2022-10-15,2022-10-15,2002-06-01,6.5
150,2022-10-15,2022-10-15,2002-07-01,6.1
151,2022-10-15,2022-10-15,2002-08-01,5.8
152,2022-10-15,2022-10-15,2002-09-01,5.7
153,2022-10-15,2022-10-15,2002-10-01,5.3
154,2022-10-15,2022-10-15,2002-11-01,6.100
155,2022-10-15,2022-10-15,2002-12-01,6.300
156,2022-10-15,2022-10-15,2003-01-01,7.900
157,2022-10-15,2022-10-15,2003-02-01,8.2
158,2022-10-15,2022-10-15,2003-03-01,7.9
159,2022-10-15,2022-10-15,2003-04-01,7.0
160,2022-10-15,2022-10-15,2003-05-01,7.3
161,2022-10-15,2022-10-15,2003-06-01,8.2
162,2022-10-15,2022-10-15,2003-07-01,9.3
163,2022-10-15,2022-10-15,2003-08-01,6.5
164,2022-10-15,2022-10-15,2003-09-01,6.2
165,2022-10-15,2022-10-15,2003-10-01,6.700
166,2022-10-15,2022-10-15,2003-11-01,6.9
167,2022-10-15,2022-10-15,2003-12-01,7.2
168,2022-10-15,2022-10-15,2004-01-01,9.2
169,2022-10-15,2022-10-15,2004-02-01,8.9
170,2022-10-15,2022-10-15,2004-03-01,8.7
171,2022-10-15,2022-10-15,2004-04-01,7.700
172,2022-10-15,2022-10-15,2004-05-01,7.2
173,2022-10-15,2022-10-15,2004-06-01,8.1
174,2022-10-15,2022-10-15,2004-07-01,7.6
175,2022-10-15,2022-10-15,2004-08-01,6.9
176,2022-10-15,2022-10-15,2004-09-01,6.3
177,2022-10-15,2022-10-15,2004-10-01,6.3
178,2022-10-15,2022-10-15,2004-11-01,6.4
179,2022-10-15,2022-10-15,2004-12-01,6.8
180,2022-10-15,2022-10-15,2005-01-01,8.4
181,2022-10-15,2022-10-15,2005-02-01,8.7
182,2022-10-15,2022-10-15,2005-03-01,8.300
183,2022-10-15,2022-10-15,2005-04-01,6.3
184,2022-10-15,2022-10-15,2005-05-01,6.3
185,2022-10-15,2022-10-15,2005-06-01,6.700
186,2022-10-15,2022-10-15,2005-07-01,8.700
187,2022-10-15,2022-10-15,2005-08-01,5.6
188,2022-10-15,2022-10-15,2005-09-01,6.1
189,2022-10-15,2022-10-15,2005-10-01,6.1
190,2022-10-15,2022-10-15,2005-11-01,6.600
191,2022-10-15,2022-10-15,2005-12-01,7.3
192,2022-10-15,2022-10-15,2006-01-01,8.200
193,2022-10-15,2022-10-15,2006-02-01,8.9
194,2022-10-15,2022-10-15,2006-03-01,7.5
195,2022-10-15,2022-10-15,2006-04-01,6.3
196,2022-10-15,2022-10-15,2006-05-01,6.1
197,2022-10-15,2022-10-15,2006-06-01,6.7
198,2022-10-15,2022-10-15,2006-07-01,6.6
199,2022-10-15,2022-10-15,2006-08-01,5.800
200,2022-10-15,2022-10-15,2006-09-01,5.400
201,2022-10-15,2022-10-15,2006-10-01,5.1
202,2022-10-15,2022-10-15,2006-11-01,5.6
203,2022-10-15,2022-10-15,2006-12-01,5.900
204,2022-10-15,2022-10-15,2007-01-01,7.8
205,2022-10-15,2022-10-15,2007-02-01,8.4
206,2022-10-15,2022-10-15,2007-03-01,7.0
207,2022-10-15,2022-10-15,2007-04-01,6.0
208,2022-10-15,2022-10-15,2007-05-01,6.000
209,2022-10-15,2022-10-15,2007-06-01,6.4
210,2022-10-15,2022-10-15,2007-07-01,6.2
211,2022-10-15,2022-10-15,2007-08-01,5.700
212,2022-10-15,2022-10-15,2007-09-01,5.800
213,2022-10-15,2022-10-15,2007-10-01,5.300
214,2022-10-15,2022-10-15,2007-11-01,5.7
215,2022-10-15,2022-10-15,2007-12-01,6.400
216,2022-10-15,2022-10-15,2008-01-01,7.900
217,2022-10-15,2022-10-15,2008-02-01,8.4
218,2022-10-15,2022-10-15,2008-03-01,8.200
219,2022-10-15,2022-10-15,2008-04-01,6.5
220,2022-10-15,2022-10-15,2008-05-01,7.100
221,2022-10-15,2022-10-15,2008-06-01,7.300
222,2022-10-15,2022-10-15,2008-07-01,7.6
223,2022-10-15,2022-10-15,2008-08-01,7.000
224,2022-10-15,2022-10-15,2008-09-01,6.900
225,2022-10-15,2022-10-15,2008-10-01,7.7
226,2022-10-15,2022-10-15,2008-11-01,8.5
227,2022-10-15,2022-10-15,2008-12-01,10.8
228,2022-10-15,2022-10-15,2009-01-01,13.1
229,2022-10-15,2022-10-15,2009-02-01,14.1
230,2022-10-15,2022-10-15,2009-03-01,14.1
231,2022-10-15,2022-10-15,2009-04-01,12.6
232,2022-10-15,2022-10-15,2009-05-01,13.1
233,2022-10-15,2022-10-15,2009-06-01,15.1
234,2022-10-15,2022-10-15,2009-07-01,12.7
235,2022-10-15,2022-10-15,2009-08-01,12.8
236,2022-10-15,2022-10-15,2009-09-01,12.4
237,2022-10-15,2022-10-15,2009-10-01,12.2
238,2022-10-15,2022-10-15,2009-11-01,11.8
239,2022-10-15,2022-10-15,2009-12-01,11.9
240,2022-10-15,2022-10-15,2010-01-01,15.8
241,2022-10-15,2022-10-15,2010-02-01,15.9
242,2022-10-15,2022-10-15,2010-03-01,14.9
243,2022-10-15,2022-10-15,2010-04-01,13.3
244,2022-10-15,2022-10-15,2010-05-01,12.9
245,2022-10-15,2022-10-15,2010-06-01,13.0
246,2022-10-15,2022-10-15,2010-07-01,14.7
247,2022-10-15,2022-10-15,2010-08-01,14.200
248,2022-10-15,2022-10-15,2010-09-01,12.200
249,2022-10-15,2022-10-15,2010-10-01,12.0
250,2022-10-15,2022-10-15,2010-11-01,12.4
251,2022-10-15,2022-10-15,2010-12-01,12.500
252,2022-10-15,2022-10-15,2011-01-01,14.1
253,2022-10-15,2022-10-15,2011-02-01,16.1
254,2022-10-15,2022-10-15,2011-03-01,15.2
255,2022-10-15,2022-10-15,2011-04-01,11.9
256,2022-10-15,2022-10-15,2011-05-01,12.4
257,2022-10-15,2022-10-15,2011-06-01,12.2
258,2022-10-15,2022-10-15,2011-07-01,11.9
259,2022-10-15,2022-10-15,2011-08-01,11.4
260,2022-10-15,2022-10-15,2011-09-01,11.5
261,2022-10-15,2022-10-15,2011-10-01,10.6
262,2022-10-15,2022-10-15,2011-11-01,10.3
263,2022-10-15,2022-10-15,2011-12-01,10.9
264,2022-10-15,2022-10-15,2012-01-01,11.2
265,2022-10-15,2022-10-15,2012-02-01,11.2
266,2022-10-15,2022-10-15,2012-03-01,10.8
267,2022-10-15,2022-10-15,2012-04-01,9.3
268,2022-10-15,2022-10-15,2012-05-01,9.6
269,2022-10-15,2022-10-15,2012-06-01,10.2
270,2022-10-15,2022-10-15,2012-07-01,10.7
271,2022-10-15,2022-10-15,2012-08-01,10.1
272,2022-10-15,2022-10-15,2012-09-01,9.4
273,2022-10-15,2022-10-15,2012-10-01,9.2
274,2022-10-15,2022-10-15,2012-11-01,9.200
275,2022-10-15,2022-10-15,2012-12-01,9.7
276,2022-10-15,2022-10-15,2013-01-01,11.2
277,2022-10-15,2022-10-15,2013-02-01,10.9
278,2022-10-15,2022-10-15,2013-03-01,10.5
279,2022-10-15,2022-10-15,2013-04-01,9.0
280,2022-10-15,2022-10-15,2013-05-01,9.5
281,2022-10-15,2022-10-15,2013-06-01,10.5
282,2022-10-15,2022-10-15,2013-07-01,9.9
283,2022-10-15,2022-10-15,2013-08-01,9.2
284,2022-10-15,2022-10-15,2013-09-01,9.0
285,2022-10-15,2022-10-15,2013-10-01,8.7
286,2022-10-15,2022-10-15,2013-11-01,8.6
287,2022-10-15,2022-10-15,2013-12-01,8.6
288,2022-10-15,2022-10-15,2014-01-01,9.9
289,2022-10-15,2022-10-15,2014-02-01,10.2
290,2022-10-15,2022-10-15,2014-03-01,9.9
291,2022-10-15,2022-10-15,2014-04-01,7.3
292,2022-10-15,2022-10-15,2014-05-01,7.7
293,2022-10-15,2022-10-15,2014-06-01,7.4
294,2022-10-15,2022-10-15,2014-07-01,7.5
295,2022-10-15,2022-10-15,2014-08-01,6.5
296,2022-10-15,2022-10-15,2014-09-01,6.2
297,2022-10-15,2022-10-15,2014-10-01,5.8
298,2022-10-15,2022-10-15,2014-11-01,5.8
299,2022-10-15,2022-10-15,2014-12-01,5.5
300,2022-10-15,2022-10-15,2015-01-01,7.6
301,2022-10-15,2022-10-15,2015-02-01,7.0
302,2022-10-15,2022-10-15,2015-03-01,7.3
303,2022-10-15,2022-10-15,2015-04-01,5.8
304,2022-10-15,2022-10-15,2015-05-01,6.1
305,2022-10-15,2022-10-15,2015-06-01,6.3
306,2022-10-15,2022-10-15,2015-07-01,6.3
307,2022-10-15,2022-10-15,2015-08-01,5.5
308,2022-10-15,2022-10-15,2015-09-01,5.4
309,2022-10-15,2022-10-15,2015-10-01,5.2
310,2022-10-15,2022-10-15,2015-11-01,5.3
311,2022-10-15,2022-10-15,2015-12-01,5.7
312,2022-10-15,2022-10-15,2016-01-01,6.5
313,2022-10-15,2022-10-15,2016-02-01,6.8
314,2022-10-15,2022-10-15,2016-03-01,6.5
315,2022-10-15,2022-10-15,2016-04-01,5.2
316,2022-10-15,2022-10-15,2016-05-01,5.6
317,2022-10-15,2022-10-15,2016-06-01,6.0
318,2022-10-15,2022-10-15,2016-07-01,6.1
319,2022-10-15,2022-10-15,2016-08-01,5.3
320,2022-10-15,2022-10-15,2016-09-01,5.4
321,2022-10-15,2022-10-15,2016-10-01,5.4
322,2022-10-15,2022-10-15,2016-11-01,5.3
323,2022-10-15,2022-10-15,2016-12-01,5.7
324,2022-10-15,2022-10-15,2017-01-01,7.1
325,2022-10-15,2022-10-15,2017-02-01,7.0
326,2022-10-15,2022-10-15,2017-03-01,6.2
327,2022-10-15,2022-10-15,2017-04-01,5.4
328,2022-10-15,2022-10-15,2017-05-01,5.7
329,2022-10-15,2022-10-15,2017-06-01,6.7
330,2022-10-15,2022-10-15,2017-07-01,6.2
331,2022-10-15,2022-10-15,2017-08-01,5.4
332,2022-10-15,2022-10-15,2017-09-01,5.4
333,2022-10-15,2022-10-15,2017-10-01,5.1
334,2022-10-15,2022-10-15,2017-11-01,4.8
335,2022-10-15,2022-10-15,2017-12-01,5.3
336,2022-10-15,2022-10-15,2018-01-01,6.5
337,2022-10-15,2022-10-15,2018-02-01,6.7
338,2022-10-15,2022-10-15,2018-03-01,6.2
339,2022-10-15,2022-10-15,2018-04-01,4.9
340,2022-10-15,2022-10-15,2018-05-01,5.0
341,2022-10-15,2022-10-15,2018-06-01,6.0
342,2022-10-15,2022-10-15,2018-07-01,5.8
343,2022-10-15,2022-10-15,2018-08-01,4.8
344,2022-10-15,2022-10-15,2018-09-01,4.6
345,2022-10-15,2022-10-15,2018-10-01,4.5
346,2022-10-15,2022-10-15,2018-11-01,4.0
347,2022-10-15,2022-10-15,2018-12-01,4.5
348,2022-10-15,2022-10-15,2019-01-01,5.7
349,2022-10-15,2022-10-15,2019-02-01,5.6
350,2022-10-15,2022-10-15,2019-03-01,5.4
351,2022-10-15,2022-10-15,2019-04-01,4.1
352,2022-10-15,2022-10-15,2019-05-01,4.3
353,2022-10-15,2022-10-15,2019-06-01,5.1
354,2022-10-15,2022-10-15,2019-07-01,5.1
355,2022-10-15,2022-10-15,2019-08-01,4.2
356,2022-10-15,2022-10-15,2019-09-01,4.0
357,2022-10-15,2022-10-15,2019-10-01,4.3
358,2022-10-15,2022-10-15,2019-11-01,4.2
359,2022-10-15,2022-10-15,2019-12-01,4.6
360,2022-10-15,2022-10-15,2020-01-01,5.7
361,2022-10-15,2022-10-15,2020-02-01,5.8
362,2022-10-15,2022-10-15,2020-03-01,6.6
363,2022-10-15,2022-10-15,2020-04-01,17.0
364,2022-10-15,2022-10-15,2020-05-01,14.1
365,2022-10-15,2022-10-15,2020-06-01,6.7
366,2022-10-15,2022-10-15,2020-07-01,6.8
367,2022-10-15,2022-10-15,2020-08-01,5.3
368,2022-10-15,2022-10-15,2020-09-01,5.2
369,2022-10-15,2022-10-15,2020-10-01,4.7
370,2022-10-15,2022-10-15,2020-11-01,4.3
371,2022-10-15,2022-10-15,2020-12-01,5.3
372,2022-10-15,2022-10-15,2021-01-01,5.9
373,2022-10-15,2022-10-15,2021-02-01,5.8
374,2022-10-15,2022-10-15,2021-03-01,5.9
375,2022-10-15,2022-10-15,2021-04-01,4.5
376,2022-10-15,2022-10-15,2021-05-01,4.8
377,2022-10-15,2022-10-15,2021-06-01,6.2
378,2022-10-15,2022-10-15,2021-07-01,5.8
379,2022-10-15,2022-10-15,2021-08-01,5.1
380,2022-10-15,2022-10-15,2021-09-01,4.7
381,2022-10-15,2022-10-15,2021-10-01,4.9
382,2022-10-15,2022-10-15,2021-11-01,4.1
383,2022-10-15,2022-10-15,2021-12-01,4.3
