,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,9.4
1,2022-10-15,2022-10-15,1990-02-01,8.4
2,2022-10-15,2022-10-15,1990-03-01,8.4
3,2022-10-15,2022-10-15,1990-04-01,8.3
4,2022-10-15,2022-10-15,1990-05-01,9.8
5,2022-10-15,2022-10-15,1990-06-01,10.5
6,2022-10-15,2022-10-15,1990-07-01,12.0
7,2022-10-15,2022-10-15,1990-08-01,10.100
8,2022-10-15,2022-10-15,1990-09-01,9.2
9,2022-10-15,2022-10-15,1990-10-01,9.2
10,2022-10-15,2022-10-15,1990-11-01,8.8
11,2022-10-15,2022-10-15,1990-12-01,8.5
12,2022-10-15,2022-10-15,1991-01-01,11.1
13,2022-10-15,2022-10-15,1991-02-01,12.1
14,2022-10-15,2022-10-15,1991-03-01,10.4
15,2022-10-15,2022-10-15,1991-04-01,8.4
16,2022-10-15,2022-10-15,1991-05-01,8.7
17,2022-10-15,2022-10-15,1991-06-01,10.4
18,2022-10-15,2022-10-15,1991-07-01,9.2
19,2022-10-15,2022-10-15,1991-08-01,8.7
20,2022-10-15,2022-10-15,1991-09-01,8.2
21,2022-10-15,2022-10-15,1991-10-01,8.2
22,2022-10-15,2022-10-15,1991-11-01,8.1
23,2022-10-15,2022-10-15,1991-12-01,9.1
24,2022-10-15,2022-10-15,1992-01-01,10.6
25,2022-10-15,2022-10-15,1992-02-01,10.9
26,2022-10-15,2022-10-15,1992-03-01,9.8
27,2022-10-15,2022-10-15,1992-04-01,8.1
28,2022-10-15,2022-10-15,1992-05-01,9.1
29,2022-10-15,2022-10-15,1992-06-01,11.0
30,2022-10-15,2022-10-15,1992-07-01,10.2
31,2022-10-15,2022-10-15,1992-08-01,11.100
32,2022-10-15,2022-10-15,1992-09-01,10.800
33,2022-10-15,2022-10-15,1992-10-01,10.7
34,2022-10-15,2022-10-15,1992-11-01,10.8
35,2022-10-15,2022-10-15,1992-12-01,10.3
36,2022-10-15,2022-10-15,1993-01-01,10.8
37,2022-10-15,2022-10-15,1993-02-01,10.2
38,2022-10-15,2022-10-15,1993-03-01,10.6
39,2022-10-15,2022-10-15,1993-04-01,10.2
40,2022-10-15,2022-10-15,1993-05-01,10.1
41,2022-10-15,2022-10-15,1993-06-01,12.3
42,2022-10-15,2022-10-15,1993-07-01,10.8
43,2022-10-15,2022-10-15,1993-08-01,9.7
44,2022-10-15,2022-10-15,1993-09-01,9.5
45,2022-10-15,2022-10-15,1993-10-01,9.2
46,2022-10-15,2022-10-15,1993-11-01,10.3
47,2022-10-15,2022-10-15,1993-12-01,9.6
48,2022-10-15,2022-10-15,1994-01-01,12.7
49,2022-10-15,2022-10-15,1994-02-01,12.5
50,2022-10-15,2022-10-15,1994-03-01,11.9
51,2022-10-15,2022-10-15,1994-04-01,9.9
52,2022-10-15,2022-10-15,1994-05-01,9.700
53,2022-10-15,2022-10-15,1994-06-01,12.2
54,2022-10-15,2022-10-15,1994-07-01,10.800
55,2022-10-15,2022-10-15,1994-08-01,10.3
56,2022-10-15,2022-10-15,1994-09-01,10.1
57,2022-10-15,2022-10-15,1994-10-01,9.4
58,2022-10-15,2022-10-15,1994-11-01,9.700
59,2022-10-15,2022-10-15,1994-12-01,9.1
60,2022-10-15,2022-10-15,1995-01-01,11.3
61,2022-10-15,2022-10-15,1995-02-01,11.2
62,2022-10-15,2022-10-15,1995-03-01,10.2
63,2022-10-15,2022-10-15,1995-04-01,11.0
64,2022-10-15,2022-10-15,1995-05-01,11.300
65,2022-10-15,2022-10-15,1995-06-01,11.5
66,2022-10-15,2022-10-15,1995-07-01,10.8
67,2022-10-15,2022-10-15,1995-08-01,11.0
68,2022-10-15,2022-10-15,1995-09-01,12.1
69,2022-10-15,2022-10-15,1995-10-01,10.7
70,2022-10-15,2022-10-15,1995-11-01,8.6
71,2022-10-15,2022-10-15,1995-12-01,8.6
72,2022-10-15,2022-10-15,1996-01-01,10.6
73,2022-10-15,2022-10-15,1996-02-01,9.600
74,2022-10-15,2022-10-15,1996-03-01,8.5
75,2022-10-15,2022-10-15,1996-04-01,7.300
76,2022-10-15,2022-10-15,1996-05-01,7.900
77,2022-10-15,2022-10-15,1996-06-01,8.2
78,2022-10-15,2022-10-15,1996-07-01,13.6
79,2022-10-15,2022-10-15,1996-08-01,7.2
80,2022-10-15,2022-10-15,1996-09-01,7.9
81,2022-10-15,2022-10-15,1996-10-01,8.9
82,2022-10-15,2022-10-15,1996-11-01,9.0
83,2022-10-15,2022-10-15,1996-12-01,9.3
84,2022-10-15,2022-10-15,1997-01-01,12.2
85,2022-10-15,2022-10-15,1997-02-01,11.6
86,2022-10-15,2022-10-15,1997-03-01,10.8
87,2022-10-15,2022-10-15,1997-04-01,9.300
88,2022-10-15,2022-10-15,1997-05-01,8.9
89,2022-10-15,2022-10-15,1997-06-01,10.5
90,2022-10-15,2022-10-15,1997-07-01,7.5
91,2022-10-15,2022-10-15,1997-08-01,8.2
92,2022-10-15,2022-10-15,1997-09-01,9.3
93,2022-10-15,2022-10-15,1997-10-01,10.3
94,2022-10-15,2022-10-15,1997-11-01,8.4
95,2022-10-15,2022-10-15,1997-12-01,9.3
96,2022-10-15,2022-10-15,1998-01-01,10.3
97,2022-10-15,2022-10-15,1998-02-01,13.2
98,2022-10-15,2022-10-15,1998-03-01,9.800
99,2022-10-15,2022-10-15,1998-04-01,7.5
100,2022-10-15,2022-10-15,1998-05-01,7.400
101,2022-10-15,2022-10-15,1998-06-01,8.4
102,2022-10-15,2022-10-15,1998-07-01,8.0
103,2022-10-15,2022-10-15,1998-08-01,8.000
104,2022-10-15,2022-10-15,1998-09-01,9.0
