,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,3.3
1,2022-10-15,2022-10-15,1990-02-01,3.3
2,2022-10-15,2022-10-15,1990-03-01,3.2
3,2022-10-15,2022-10-15,1990-04-01,3.1
4,2022-10-15,2022-10-15,1990-05-01,2.7
5,2022-10-15,2022-10-15,1990-06-01,2.8
6,2022-10-15,2022-10-15,1990-07-01,2.6
7,2022-10-15,2022-10-15,1990-08-01,2.8
8,2022-10-15,2022-10-15,1990-09-01,2.7
9,2022-10-15,2022-10-15,1990-10-01,3.0
10,2022-10-15,2022-10-15,1990-11-01,3.4
11,2022-10-15,2022-10-15,1990-12-01,4.0
12,2022-10-15,2022-10-15,1991-01-01,3.6
13,2022-10-15,2022-10-15,1991-02-01,3.8
14,2022-10-15,2022-10-15,1991-03-01,4.2
15,2022-10-15,2022-10-15,1991-04-01,3.4
16,2022-10-15,2022-10-15,1991-05-01,3.3
17,2022-10-15,2022-10-15,1991-06-01,3.4
18,2022-10-15,2022-10-15,1991-07-01,3.1
19,2022-10-15,2022-10-15,1991-08-01,4.0
20,2022-10-15,2022-10-15,1991-09-01,3.0
21,2022-10-15,2022-10-15,1991-10-01,3.0
22,2022-10-15,2022-10-15,1991-11-01,2.8
23,2022-10-15,2022-10-15,1991-12-01,3.0
24,2022-10-15,2022-10-15,1992-01-01,4.3
25,2022-10-15,2022-10-15,1992-02-01,4.1
26,2022-10-15,2022-10-15,1992-03-01,4.0
27,2022-10-15,2022-10-15,1992-04-01,3.6
28,2022-10-15,2022-10-15,1992-05-01,3.5
29,2022-10-15,2022-10-15,1992-06-01,4.2
30,2022-10-15,2022-10-15,1992-07-01,3.7
31,2022-10-15,2022-10-15,1992-08-01,8.2
32,2022-10-15,2022-10-15,1992-09-01,3.7
33,2022-10-15,2022-10-15,1992-10-01,3.5
34,2022-10-15,2022-10-15,1992-11-01,3.6
35,2022-10-15,2022-10-15,1992-12-01,3.5
36,2022-10-15,2022-10-15,1993-01-01,4.7
37,2022-10-15,2022-10-15,1993-02-01,4.1
38,2022-10-15,2022-10-15,1993-03-01,4.0
39,2022-10-15,2022-10-15,1993-04-01,3.5
40,2022-10-15,2022-10-15,1993-05-01,3.7
41,2022-10-15,2022-10-15,1993-06-01,4.1
42,2022-10-15,2022-10-15,1993-07-01,3.6
43,2022-10-15,2022-10-15,1993-08-01,4.3
44,2022-10-15,2022-10-15,1993-09-01,3.3
45,2022-10-15,2022-10-15,1993-10-01,3.4
46,2022-10-15,2022-10-15,1993-11-01,3.4
47,2022-10-15,2022-10-15,1993-12-01,3.2
48,2022-10-15,2022-10-15,1994-01-01,4.3
49,2022-10-15,2022-10-15,1994-02-01,4.3
50,2022-10-15,2022-10-15,1994-03-01,4.2
51,2022-10-15,2022-10-15,1994-04-01,3.8
52,2022-10-15,2022-10-15,1994-05-01,3.6
53,2022-10-15,2022-10-15,1994-06-01,4.2
54,2022-10-15,2022-10-15,1994-07-01,3.8
55,2022-10-15,2022-10-15,1994-08-01,9.5
56,2022-10-15,2022-10-15,1994-09-01,3.5
57,2022-10-15,2022-10-15,1994-10-01,3.5
58,2022-10-15,2022-10-15,1994-11-01,3.7
59,2022-10-15,2022-10-15,1994-12-01,3.2
60,2022-10-15,2022-10-15,1995-01-01,4.3
61,2022-10-15,2022-10-15,1995-02-01,3.5
62,2022-10-15,2022-10-15,1995-03-01,3.8
63,2022-10-15,2022-10-15,1995-04-01,3.8
64,2022-10-15,2022-10-15,1995-05-01,3.7
65,2022-10-15,2022-10-15,1995-06-01,3.9
66,2022-10-15,2022-10-15,1995-07-01,3.9
67,2022-10-15,2022-10-15,1995-08-01,8.8
68,2022-10-15,2022-10-15,1995-09-01,3.0
69,2022-10-15,2022-10-15,1995-10-01,2.9
70,2022-10-15,2022-10-15,1995-11-01,2.8
71,2022-10-15,2022-10-15,1995-12-01,2.7
72,2022-10-15,2022-10-15,1996-01-01,3.7
73,2022-10-15,2022-10-15,1996-02-01,3.6
74,2022-10-15,2022-10-15,1996-03-01,3.7
75,2022-10-15,2022-10-15,1996-04-01,3.6
76,2022-10-15,2022-10-15,1996-05-01,3.5
77,2022-10-15,2022-10-15,1996-06-01,3.5
78,2022-10-15,2022-10-15,1996-07-01,4.4
79,2022-10-15,2022-10-15,1996-08-01,5.0
80,2022-10-15,2022-10-15,1996-09-01,4.0
81,2022-10-15,2022-10-15,1996-10-01,3.5
82,2022-10-15,2022-10-15,1996-11-01,3.4
83,2022-10-15,2022-10-15,1996-12-01,2.8
84,2022-10-15,2022-10-15,1997-01-01,3.1
85,2022-10-15,2022-10-15,1997-02-01,3.0
86,2022-10-15,2022-10-15,1997-03-01,3.0
87,2022-10-15,2022-10-15,1997-04-01,2.9
88,2022-10-15,2022-10-15,1997-05-01,2.9
89,2022-10-15,2022-10-15,1997-06-01,3.1
90,2022-10-15,2022-10-15,1997-07-01,2.9
91,2022-10-15,2022-10-15,1997-08-01,3.3
92,2022-10-15,2022-10-15,1997-09-01,2.5
93,2022-10-15,2022-10-15,1997-10-01,2.6
94,2022-10-15,2022-10-15,1997-11-01,2.3
95,2022-10-15,2022-10-15,1997-12-01,2.1
96,2022-10-15,2022-10-15,1998-01-01,2.8
97,2022-10-15,2022-10-15,1998-02-01,2.4
98,2022-10-15,2022-10-15,1998-03-01,2.6
99,2022-10-15,2022-10-15,1998-04-01,2.5
100,2022-10-15,2022-10-15,1998-05-01,2.7
101,2022-10-15,2022-10-15,1998-06-01,3.0
102,2022-10-15,2022-10-15,1998-07-01,3.0
103,2022-10-15,2022-10-15,1998-08-01,3.4
104,2022-10-15,2022-10-15,1998-09-01,2.4
105,2022-10-15,2022-10-15,1998-10-01,2.6
106,2022-10-15,2022-10-15,1998-11-01,2.3
107,2022-10-15,2022-10-15,1998-12-01,2.0
108,2022-10-15,2022-10-15,1999-01-01,2.7
109,2022-10-15,2022-10-15,1999-02-01,2.7
110,2022-10-15,2022-10-15,1999-03-01,2.7
111,2022-10-15,2022-10-15,1999-04-01,3.3
112,2022-10-15,2022-10-15,1999-05-01,2.7
113,2022-10-15,2022-10-15,1999-06-01,3.2
114,2022-10-15,2022-10-15,1999-07-01,3.5
115,2022-10-15,2022-10-15,1999-08-01,3.8
116,2022-10-15,2022-10-15,1999-09-01,3.2
117,2022-10-15,2022-10-15,1999-10-01,2.9
118,2022-10-15,2022-10-15,1999-11-01,3.3
119,2022-10-15,2022-10-15,1999-12-01,3.1
120,2022-10-15,2022-10-15,2000-01-01,3.8
121,2022-10-15,2022-10-15,2000-02-01,3.7
122,2022-10-15,2022-10-15,2000-03-01,4.0
123,2022-10-15,2022-10-15,2000-04-01,3.2
124,2022-10-15,2022-10-15,2000-05-01,3.8
125,2022-10-15,2022-10-15,2000-06-01,3.8
126,2022-10-15,2022-10-15,2000-07-01,4.2
127,2022-10-15,2022-10-15,2000-08-01,4.0
128,2022-10-15,2022-10-15,2000-09-01,3.6
129,2022-10-15,2022-10-15,2000-10-01,3.4
130,2022-10-15,2022-10-15,2000-11-01,3.4
131,2022-10-15,2022-10-15,2000-12-01,2.7
132,2022-10-15,2022-10-15,2001-01-01,3.2
133,2022-10-15,2022-10-15,2001-02-01,3.6
134,2022-10-15,2022-10-15,2001-03-01,3.8
135,2022-10-15,2022-10-15,2001-04-01,3.1
136,2022-10-15,2022-10-15,2001-05-01,3.3
137,2022-10-15,2022-10-15,2001-06-01,3.8
138,2022-10-15,2022-10-15,2001-07-01,3.6
139,2022-10-15,2022-10-15,2001-08-01,3.5
140,2022-10-15,2022-10-15,2001-09-01,3.3
141,2022-10-15,2022-10-15,2001-10-01,3.6
142,2022-10-15,2022-10-15,2001-11-01,3.6
143,2022-10-15,2022-10-15,2001-12-01,3.3
144,2022-10-15,2022-10-15,2002-01-01,3.7
145,2022-10-15,2022-10-15,2002-02-01,3.7
146,2022-10-15,2022-10-15,2002-03-01,4.0
147,2022-10-15,2022-10-15,2002-04-01,3.6
148,2022-10-15,2022-10-15,2002-05-01,3.7
149,2022-10-15,2022-10-15,2002-06-01,4.5
150,2022-10-15,2022-10-15,2002-07-01,5.1
151,2022-10-15,2022-10-15,2002-08-01,4.4
152,2022-10-15,2022-10-15,2002-09-01,4.4
153,2022-10-15,2022-10-15,2002-10-01,4.4
154,2022-10-15,2022-10-15,2002-11-01,4.9
155,2022-10-15,2022-10-15,2002-12-01,4.2
156,2022-10-15,2022-10-15,2003-01-01,5.2
157,2022-10-15,2022-10-15,2003-02-01,4.6
158,2022-10-15,2022-10-15,2003-03-01,4.7
159,2022-10-15,2022-10-15,2003-04-01,4.1
160,2022-10-15,2022-10-15,2003-05-01,4.2
161,2022-10-15,2022-10-15,2003-06-01,5.1
162,2022-10-15,2022-10-15,2003-07-01,5.4
163,2022-10-15,2022-10-15,2003-08-01,7.4
164,2022-10-15,2022-10-15,2003-09-01,5.4
165,2022-10-15,2022-10-15,2003-10-01,5.3
166,2022-10-15,2022-10-15,2003-11-01,5.4
167,2022-10-15,2022-10-15,2003-12-01,5.0
168,2022-10-15,2022-10-15,2004-01-01,5.6
169,2022-10-15,2022-10-15,2004-02-01,5.3
170,2022-10-15,2022-10-15,2004-03-01,5.4
171,2022-10-15,2022-10-15,2004-04-01,4.6
172,2022-10-15,2022-10-15,2004-05-01,4.4
173,2022-10-15,2022-10-15,2004-06-01,5.0
174,2022-10-15,2022-10-15,2004-07-01,5.7
175,2022-10-15,2022-10-15,2004-08-01,5.1
176,2022-10-15,2022-10-15,2004-09-01,4.7
177,2022-10-15,2022-10-15,2004-10-01,4.3
178,2022-10-15,2022-10-15,2004-11-01,4.5
179,2022-10-15,2022-10-15,2004-12-01,4.6
180,2022-10-15,2022-10-15,2005-01-01,4.9
181,2022-10-15,2022-10-15,2005-02-01,5.1
182,2022-10-15,2022-10-15,2005-03-01,4.8
183,2022-10-15,2022-10-15,2005-04-01,4.3
184,2022-10-15,2022-10-15,2005-05-01,4.5
185,2022-10-15,2022-10-15,2005-06-01,4.7
186,2022-10-15,2022-10-15,2005-07-01,4.9
187,2022-10-15,2022-10-15,2005-08-01,4.8
188,2022-10-15,2022-10-15,2005-09-01,4.3
189,2022-10-15,2022-10-15,2005-10-01,4.2
190,2022-10-15,2022-10-15,2005-11-01,4.4
191,2022-10-15,2022-10-15,2005-12-01,3.6
192,2022-10-15,2022-10-15,2006-01-01,4.4
193,2022-10-15,2022-10-15,2006-02-01,4.3
194,2022-10-15,2022-10-15,2006-03-01,4.3
195,2022-10-15,2022-10-15,2006-04-01,4.4
196,2022-10-15,2022-10-15,2006-05-01,3.7
197,2022-10-15,2022-10-15,2006-06-01,4.2
198,2022-10-15,2022-10-15,2006-07-01,4.7
199,2022-10-15,2022-10-15,2006-08-01,6.9
200,2022-10-15,2022-10-15,2006-09-01,3.8
201,2022-10-15,2022-10-15,2006-10-01,3.6
202,2022-10-15,2022-10-15,2006-11-01,3.7
203,2022-10-15,2022-10-15,2006-12-01,5.0
204,2022-10-15,2022-10-15,2007-01-01,3.9
205,2022-10-15,2022-10-15,2007-02-01,4.1
206,2022-10-15,2022-10-15,2007-03-01,3.7
207,2022-10-15,2022-10-15,2007-04-01,3.6
208,2022-10-15,2022-10-15,2007-05-01,3.6
209,2022-10-15,2022-10-15,2007-06-01,3.9
210,2022-10-15,2022-10-15,2007-07-01,4.1
211,2022-10-15,2022-10-15,2007-08-01,3.7
212,2022-10-15,2022-10-15,2007-09-01,3.7
213,2022-10-15,2022-10-15,2007-10-01,3.5
214,2022-10-15,2022-10-15,2007-11-01,3.4
215,2022-10-15,2022-10-15,2007-12-01,3.6
216,2022-10-15,2022-10-15,2008-01-01,3.9
217,2022-10-15,2022-10-15,2008-02-01,3.6
218,2022-10-15,2022-10-15,2008-03-01,3.6
219,2022-10-15,2022-10-15,2008-04-01,3.2
220,2022-10-15,2022-10-15,2008-05-01,3.8
221,2022-10-15,2022-10-15,2008-06-01,4.0
222,2022-10-15,2022-10-15,2008-07-01,4.6
223,2022-10-15,2022-10-15,2008-08-01,4.3
224,2022-10-15,2022-10-15,2008-09-01,4.0
225,2022-10-15,2022-10-15,2008-10-01,4.0
226,2022-10-15,2022-10-15,2008-11-01,3.8
227,2022-10-15,2022-10-15,2008-12-01,4.1
228,2022-10-15,2022-10-15,2009-01-01,4.9
229,2022-10-15,2022-10-15,2009-02-01,5.4
230,2022-10-15,2022-10-15,2009-03-01,5.7
231,2022-10-15,2022-10-15,2009-04-01,5.9
232,2022-10-15,2022-10-15,2009-05-01,6.8
233,2022-10-15,2022-10-15,2009-06-01,7.1
234,2022-10-15,2022-10-15,2009-07-01,9.2
235,2022-10-15,2022-10-15,2009-08-01,8.4
236,2022-10-15,2022-10-15,2009-09-01,7.9
237,2022-10-15,2022-10-15,2009-10-01,7.0
238,2022-10-15,2022-10-15,2009-11-01,6.8
239,2022-10-15,2022-10-15,2009-12-01,9.6
240,2022-10-15,2022-10-15,2010-01-01,9.3
241,2022-10-15,2022-10-15,2010-02-01,7.2
242,2022-10-15,2022-10-15,2010-03-01,7.1
243,2022-10-15,2022-10-15,2010-04-01,6.9
244,2022-10-15,2022-10-15,2010-05-01,6.8
245,2022-10-15,2022-10-15,2010-06-01,7.0
246,2022-10-15,2022-10-15,2010-07-01,7.5
247,2022-10-15,2022-10-15,2010-08-01,7.2
248,2022-10-15,2022-10-15,2010-09-01,6.7
249,2022-10-15,2022-10-15,2010-10-01,6.5
250,2022-10-15,2022-10-15,2010-11-01,6.5
251,2022-10-15,2022-10-15,2010-12-01,6.2
252,2022-10-15,2022-10-15,2011-01-01,6.5
253,2022-10-15,2022-10-15,2011-02-01,6.5
254,2022-10-15,2022-10-15,2011-03-01,6.1
255,2022-10-15,2022-10-15,2011-04-01,5.7
256,2022-10-15,2022-10-15,2011-05-01,5.8
257,2022-10-15,2022-10-15,2011-06-01,6.2
258,2022-10-15,2022-10-15,2011-07-01,6.4
259,2022-10-15,2022-10-15,2011-08-01,6.4
260,2022-10-15,2022-10-15,2011-09-01,5.8
261,2022-10-15,2022-10-15,2011-10-01,5.6
262,2022-10-15,2022-10-15,2011-11-01,5.4
263,2022-10-15,2022-10-15,2011-12-01,5.2
264,2022-10-15,2022-10-15,2012-01-01,5.9
265,2022-10-15,2022-10-15,2012-02-01,5.9
266,2022-10-15,2022-10-15,2012-03-01,5.7
267,2022-10-15,2022-10-15,2012-04-01,5.2
268,2022-10-15,2022-10-15,2012-05-01,5.4
269,2022-10-15,2022-10-15,2012-06-01,5.7
270,2022-10-15,2022-10-15,2012-07-01,6.1
271,2022-10-15,2022-10-15,2012-08-01,5.5
272,2022-10-15,2022-10-15,2012-09-01,4.9
273,2022-10-15,2022-10-15,2012-10-01,5.0
274,2022-10-15,2022-10-15,2012-11-01,4.7
275,2022-10-15,2022-10-15,2012-12-01,4.8
276,2022-10-15,2022-10-15,2013-01-01,5.5
277,2022-10-15,2022-10-15,2013-02-01,5.2
278,2022-10-15,2022-10-15,2013-03-01,5.1
279,2022-10-15,2022-10-15,2013-04-01,4.5
280,2022-10-15,2022-10-15,2013-05-01,5.0
281,2022-10-15,2022-10-15,2013-06-01,5.2
282,2022-10-15,2022-10-15,2013-07-01,5.6
283,2022-10-15,2022-10-15,2013-08-01,5.2
284,2022-10-15,2022-10-15,2013-09-01,4.5
285,2022-10-15,2022-10-15,2013-10-01,4.3
286,2022-10-15,2022-10-15,2013-11-01,4.2
287,2022-10-15,2022-10-15,2013-12-01,4.0
288,2022-10-15,2022-10-15,2014-01-01,4.4
289,2022-10-15,2022-10-15,2014-02-01,4.6
290,2022-10-15,2022-10-15,2014-03-01,4.4
291,2022-10-15,2022-10-15,2014-04-01,3.8
292,2022-10-15,2022-10-15,2014-05-01,4.1
293,2022-10-15,2022-10-15,2014-06-01,4.2
294,2022-10-15,2022-10-15,2014-07-01,4.9
295,2022-10-15,2022-10-15,2014-08-01,4.4
296,2022-10-15,2022-10-15,2014-09-01,3.9
297,2022-10-15,2022-10-15,2014-10-01,4.1
298,2022-10-15,2022-10-15,2014-11-01,4.1
299,2022-10-15,2022-10-15,2014-12-01,3.7
300,2022-10-15,2022-10-15,2015-01-01,4.5
301,2022-10-15,2022-10-15,2015-02-01,3.9
302,2022-10-15,2022-10-15,2015-03-01,4.0
303,2022-10-15,2022-10-15,2015-04-01,3.9
304,2022-10-15,2022-10-15,2015-05-01,4.0
305,2022-10-15,2022-10-15,2015-06-01,4.0
306,2022-10-15,2022-10-15,2015-07-01,4.5
307,2022-10-15,2022-10-15,2015-08-01,4.2
308,2022-10-15,2022-10-15,2015-09-01,3.3
309,2022-10-15,2022-10-15,2015-10-01,3.4
310,2022-10-15,2022-10-15,2015-11-01,3.5
311,2022-10-15,2022-10-15,2015-12-01,3.5
312,2022-10-15,2022-10-15,2016-01-01,3.8
313,2022-10-15,2022-10-15,2016-02-01,3.7
314,2022-10-15,2022-10-15,2016-03-01,3.7
315,2022-10-15,2022-10-15,2016-04-01,3.4
316,2022-10-15,2022-10-15,2016-05-01,3.4
317,2022-10-15,2022-10-15,2016-06-01,4.0
318,2022-10-15,2022-10-15,2016-07-01,6.3
319,2022-10-15,2022-10-15,2016-08-01,6.1
320,2022-10-15,2022-10-15,2016-09-01,4.0
321,2022-10-15,2022-10-15,2016-10-01,4.1
322,2022-10-15,2022-10-15,2016-11-01,4.1
323,2022-10-15,2022-10-15,2016-12-01,3.9
324,2022-10-15,2022-10-15,2017-01-01,3.9
325,2022-10-15,2022-10-15,2017-02-01,3.8
326,2022-10-15,2022-10-15,2017-03-01,3.5
327,2022-10-15,2022-10-15,2017-04-01,3.3
328,2022-10-15,2022-10-15,2017-05-01,3.5
329,2022-10-15,2022-10-15,2017-06-01,3.6
330,2022-10-15,2022-10-15,2017-07-01,6.4
331,2022-10-15,2022-10-15,2017-08-01,6.3
332,2022-10-15,2022-10-15,2017-09-01,3.8
