,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,23.0
1,2022-10-15,2022-10-15,1990-02-01,14.7
2,2022-10-15,2022-10-15,1990-03-01,12.0
3,2022-10-15,2022-10-15,1990-04-01,11.100
4,2022-10-15,2022-10-15,1990-05-01,10.4
5,2022-10-15,2022-10-15,1990-06-01,11.8
6,2022-10-15,2022-10-15,1990-07-01,13.9
7,2022-10-15,2022-10-15,1990-08-01,13.3
8,2022-10-15,2022-10-15,1990-09-01,10.600
9,2022-10-15,2022-10-15,1990-10-01,10.0
10,2022-10-15,2022-10-15,1990-11-01,9.1
11,2022-10-15,2022-10-15,1990-12-01,21.200
12,2022-10-15,2022-10-15,1991-01-01,14.6
13,2022-10-15,2022-10-15,1991-02-01,12.5
14,2022-10-15,2022-10-15,1991-03-01,11.7
15,2022-10-15,2022-10-15,1991-04-01,12.8
16,2022-10-15,2022-10-15,1991-05-01,19.5
17,2022-10-15,2022-10-15,1991-06-01,22.3
18,2022-10-15,2022-10-15,1991-07-01,22.3
19,2022-10-15,2022-10-15,1991-08-01,17.7
20,2022-10-15,2022-10-15,1991-09-01,17.0
21,2022-10-15,2022-10-15,1991-10-01,16.1
22,2022-10-15,2022-10-15,1991-11-01,14.4
23,2022-10-15,2022-10-15,1991-12-01,14.4
24,2022-10-15,2022-10-15,1992-01-01,17.800
25,2022-10-15,2022-10-15,1992-02-01,17.6
26,2022-10-15,2022-10-15,1992-03-01,14.5
27,2022-10-15,2022-10-15,1992-04-01,13.2
28,2022-10-15,2022-10-15,1992-05-01,14.8
29,2022-10-15,2022-10-15,1992-06-01,18.1
30,2022-10-15,2022-10-15,1992-07-01,21.6
31,2022-10-15,2022-10-15,1992-08-01,17.9
32,2022-10-15,2022-10-15,1992-09-01,14.4
33,2022-10-15,2022-10-15,1992-10-01,11.700
34,2022-10-15,2022-10-15,1992-11-01,10.1
35,2022-10-15,2022-10-15,1992-12-01,9.4
36,2022-10-15,2022-10-15,1993-01-01,11.1
37,2022-10-15,2022-10-15,1993-02-01,10.3
38,2022-10-15,2022-10-15,1993-03-01,9.9
39,2022-10-15,2022-10-15,1993-04-01,9.0
40,2022-10-15,2022-10-15,1993-05-01,10.600
41,2022-10-15,2022-10-15,1993-06-01,12.5
42,2022-10-15,2022-10-15,1993-07-01,16.0
43,2022-10-15,2022-10-15,1993-08-01,11.4
44,2022-10-15,2022-10-15,1993-09-01,10.3
45,2022-10-15,2022-10-15,1993-10-01,10.1
46,2022-10-15,2022-10-15,1993-11-01,8.7
47,2022-10-15,2022-10-15,1993-12-01,7.3
48,2022-10-15,2022-10-15,1994-01-01,8.9
49,2022-10-15,2022-10-15,1994-02-01,7.600
50,2022-10-15,2022-10-15,1994-03-01,7.3
51,2022-10-15,2022-10-15,1994-04-01,7.600
52,2022-10-15,2022-10-15,1994-05-01,9.5
53,2022-10-15,2022-10-15,1994-06-01,13.300
54,2022-10-15,2022-10-15,1994-07-01,17.6
55,2022-10-15,2022-10-15,1994-08-01,10.7
56,2022-10-15,2022-10-15,1994-09-01,8.4
57,2022-10-15,2022-10-15,1994-10-01,7.700
58,2022-10-15,2022-10-15,1994-11-01,6.6
59,2022-10-15,2022-10-15,1994-12-01,5.6
60,2022-10-15,2022-10-15,1995-01-01,21.5
61,2022-10-15,2022-10-15,1995-02-01,6.7
62,2022-10-15,2022-10-15,1995-03-01,8.8
