,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,6.9
1,2022-10-15,2022-10-15,1990-02-01,5.4
2,2022-10-15,2022-10-15,1990-03-01,5.3
3,2022-10-15,2022-10-15,1990-04-01,4.6
4,2022-10-15,2022-10-15,1990-05-01,4.7
5,2022-10-15,2022-10-15,1990-06-01,5.0
6,2022-10-15,2022-10-15,1990-07-01,4.5
7,2022-10-15,2022-10-15,1990-08-01,5.4
8,2022-10-15,2022-10-15,1990-09-01,4.8
9,2022-10-15,2022-10-15,1990-10-01,6.6
10,2022-10-15,2022-10-15,1990-11-01,8.1
11,2022-10-15,2022-10-15,1990-12-01,10.3
12,2022-10-15,2022-10-15,1991-01-01,11.1
13,2022-10-15,2022-10-15,1991-02-01,12.3
14,2022-10-15,2022-10-15,1991-03-01,9.8
15,2022-10-15,2022-10-15,1991-04-01,6.8
16,2022-10-15,2022-10-15,1991-05-01,6.4
17,2022-10-15,2022-10-15,1991-06-01,6.3
18,2022-10-15,2022-10-15,1991-07-01,5.6
19,2022-10-15,2022-10-15,1991-08-01,5.4
20,2022-10-15,2022-10-15,1991-09-01,5.0
21,2022-10-15,2022-10-15,1991-10-01,5.1
22,2022-10-15,2022-10-15,1991-11-01,5.9
23,2022-10-15,2022-10-15,1991-12-01,6.8
24,2022-10-15,2022-10-15,1992-01-01,6.9
25,2022-10-15,2022-10-15,1992-02-01,7.2
26,2022-10-15,2022-10-15,1992-03-01,6.6
27,2022-10-15,2022-10-15,1992-04-01,5.9
28,2022-10-15,2022-10-15,1992-05-01,5.3
29,2022-10-15,2022-10-15,1992-06-01,5.8
30,2022-10-15,2022-10-15,1992-07-01,5.5
31,2022-10-15,2022-10-15,1992-08-01,5.5
32,2022-10-15,2022-10-15,1992-09-01,5.3
33,2022-10-15,2022-10-15,1992-10-01,5.2
34,2022-10-15,2022-10-15,1992-11-01,5.1
35,2022-10-15,2022-10-15,1992-12-01,5.2
36,2022-10-15,2022-10-15,1993-01-01,5.9
37,2022-10-15,2022-10-15,1993-02-01,5.5
38,2022-10-15,2022-10-15,1993-03-01,4.8
39,2022-10-15,2022-10-15,1993-04-01,4.3
40,2022-10-15,2022-10-15,1993-05-01,5.0
41,2022-10-15,2022-10-15,1993-06-01,5.4
42,2022-10-15,2022-10-15,1993-07-01,4.2
43,2022-10-15,2022-10-15,1993-08-01,3.300
44,2022-10-15,2022-10-15,1993-09-01,3.200
45,2022-10-15,2022-10-15,1993-10-01,3.3
46,2022-10-15,2022-10-15,1993-11-01,3.200
47,2022-10-15,2022-10-15,1993-12-01,3.2
48,2022-10-15,2022-10-15,1994-01-01,5.1
49,2022-10-15,2022-10-15,1994-02-01,3.9
50,2022-10-15,2022-10-15,1994-03-01,3.9
51,2022-10-15,2022-10-15,1994-04-01,3.1
52,2022-10-15,2022-10-15,1994-05-01,3.3
53,2022-10-15,2022-10-15,1994-06-01,3.8
