,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,3.5
1,2022-10-15,2022-10-15,1990-02-01,4.0
2,2022-10-15,2022-10-15,1990-03-01,3.1
3,2022-10-15,2022-10-15,1990-04-01,2.8
4,2022-10-15,2022-10-15,1990-05-01,1.9
5,2022-10-15,2022-10-15,1990-06-01,1.8
6,2022-10-15,2022-10-15,1990-07-01,1.5
7,2022-10-15,2022-10-15,1990-08-01,1.3
8,2022-10-15,2022-10-15,1990-09-01,1.2
9,2022-10-15,2022-10-15,1990-10-01,1.1
10,2022-10-15,2022-10-15,1990-11-01,2.6
11,2022-10-15,2022-10-15,1990-12-01,3.1
12,2022-10-15,2022-10-15,1991-01-01,4.3
13,2022-10-15,2022-10-15,1991-02-01,4.1
14,2022-10-15,2022-10-15,1991-03-01,3.6
15,2022-10-15,2022-10-15,1991-04-01,2.9
16,2022-10-15,2022-10-15,1991-05-01,2.1
17,2022-10-15,2022-10-15,1991-06-01,2.2
18,2022-10-15,2022-10-15,1991-07-01,1.8
19,2022-10-15,2022-10-15,1991-08-01,1.5
20,2022-10-15,2022-10-15,1991-09-01,1.7
21,2022-10-15,2022-10-15,1991-10-01,1.3
22,2022-10-15,2022-10-15,1991-11-01,1.7
23,2022-10-15,2022-10-15,1991-12-01,2.1
24,2022-10-15,2022-10-15,1992-01-01,3.3
25,2022-10-15,2022-10-15,1992-02-01,3.2
26,2022-10-15,2022-10-15,1992-03-01,2.6
27,2022-10-15,2022-10-15,1992-04-01,2.2
28,2022-10-15,2022-10-15,1992-05-01,2.1
29,2022-10-15,2022-10-15,1992-06-01,2.3
30,2022-10-15,2022-10-15,1992-07-01,1.8
31,2022-10-15,2022-10-15,1992-08-01,1.4
32,2022-10-15,2022-10-15,1992-09-01,1.6
33,2022-10-15,2022-10-15,1992-10-01,1.7
34,2022-10-15,2022-10-15,1992-11-01,3.2
35,2022-10-15,2022-10-15,1992-12-01,3.8
36,2022-10-15,2022-10-15,1993-01-01,3.8
37,2022-10-15,2022-10-15,1993-02-01,3.1
38,2022-10-15,2022-10-15,1993-03-01,2.9
39,2022-10-15,2022-10-15,1993-04-01,2.5
40,2022-10-15,2022-10-15,1993-05-01,2.0
41,2022-10-15,2022-10-15,1993-06-01,2.6
42,2022-10-15,2022-10-15,1993-07-01,2.2
43,2022-10-15,2022-10-15,1993-08-01,2.2
44,2022-10-15,2022-10-15,1993-09-01,1.9
45,2022-10-15,2022-10-15,1993-10-01,1.9
46,2022-10-15,2022-10-15,1993-11-01,2.9
47,2022-10-15,2022-10-15,1993-12-01,3.9
48,2022-10-15,2022-10-15,1994-01-01,4.3
49,2022-10-15,2022-10-15,1994-02-01,3.7
50,2022-10-15,2022-10-15,1994-03-01,3.6
51,2022-10-15,2022-10-15,1994-04-01,2.3
52,2022-10-15,2022-10-15,1994-05-01,2.0
53,2022-10-15,2022-10-15,1994-06-01,2.9
54,2022-10-15,2022-10-15,1994-07-01,2.3
55,2022-10-15,2022-10-15,1994-08-01,2.2
56,2022-10-15,2022-10-15,1994-09-01,2.3
57,2022-10-15,2022-10-15,1994-10-01,2.3
58,2022-10-15,2022-10-15,1994-11-01,2.5
59,2022-10-15,2022-10-15,1994-12-01,3.0
60,2022-10-15,2022-10-15,1995-01-01,5.0
61,2022-10-15,2022-10-15,1995-02-01,4.2
62,2022-10-15,2022-10-15,1995-03-01,4.1
63,2022-10-15,2022-10-15,1995-04-01,2.9
64,2022-10-15,2022-10-15,1995-05-01,2.0
65,2022-10-15,2022-10-15,1995-06-01,1.9
66,2022-10-15,2022-10-15,1995-07-01,1.4
67,2022-10-15,2022-10-15,1995-08-01,1.4
68,2022-10-15,2022-10-15,1995-09-01,1.5
69,2022-10-15,2022-10-15,1995-10-01,1.6
70,2022-10-15,2022-10-15,1995-11-01,2.9
71,2022-10-15,2022-10-15,1995-12-01,3.0
72,2022-10-15,2022-10-15,1996-01-01,4.7
73,2022-10-15,2022-10-15,1996-02-01,4.1
74,2022-10-15,2022-10-15,1996-03-01,4.3
75,2022-10-15,2022-10-15,1996-04-01,3.3
76,2022-10-15,2022-10-15,1996-05-01,2.1
77,2022-10-15,2022-10-15,1996-06-01,2.6
78,2022-10-15,2022-10-15,1996-07-01,1.9
79,2022-10-15,2022-10-15,1996-08-01,1.9
80,2022-10-15,2022-10-15,1996-09-01,1.4
81,2022-10-15,2022-10-15,1996-10-01,1.4
82,2022-10-15,2022-10-15,1996-11-01,2.1
83,2022-10-15,2022-10-15,1996-12-01,2.7
84,2022-10-15,2022-10-15,1997-01-01,4.9
85,2022-10-15,2022-10-15,1997-02-01,3.9
86,2022-10-15,2022-10-15,1997-03-01,4.1
87,2022-10-15,2022-10-15,1997-04-01,3.0
88,2022-10-15,2022-10-15,1997-05-01,1.8
89,2022-10-15,2022-10-15,1997-06-01,2.5
90,2022-10-15,2022-10-15,1997-07-01,2.1
91,2022-10-15,2022-10-15,1997-08-01,1.7
92,2022-10-15,2022-10-15,1997-09-01,1.6
93,2022-10-15,2022-10-15,1997-10-01,1.4
94,2022-10-15,2022-10-15,1997-11-01,1.7
95,2022-10-15,2022-10-15,1997-12-01,2.7
96,2022-10-15,2022-10-15,1998-01-01,4.0
97,2022-10-15,2022-10-15,1998-02-01,3.9
98,2022-10-15,2022-10-15,1998-03-01,3.8
