,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,7.100
1,2022-10-15,2022-10-15,1990-02-01,7.1
2,2022-10-15,2022-10-15,1990-03-01,7.7
3,2022-10-15,2022-10-15,1990-04-01,9.5
4,2022-10-15,2022-10-15,1990-05-01,8.300
5,2022-10-15,2022-10-15,1990-06-01,10.0
6,2022-10-15,2022-10-15,1990-07-01,8.7
7,2022-10-15,2022-10-15,1990-08-01,8.8
8,2022-10-15,2022-10-15,1990-09-01,8.8
9,2022-10-15,2022-10-15,1990-10-01,9.4
10,2022-10-15,2022-10-15,1990-11-01,14.000
11,2022-10-15,2022-10-15,1990-12-01,14.6
12,2022-10-15,2022-10-15,1991-01-01,14.7
13,2022-10-15,2022-10-15,1991-02-01,16.800
14,2022-10-15,2022-10-15,1991-03-01,17.6
15,2022-10-15,2022-10-15,1991-04-01,15.6
16,2022-10-15,2022-10-15,1991-05-01,21.9
17,2022-10-15,2022-10-15,1991-06-01,22.3
18,2022-10-15,2022-10-15,1991-07-01,16.1
19,2022-10-15,2022-10-15,1991-08-01,15.700
20,2022-10-15,2022-10-15,1991-09-01,14.7
21,2022-10-15,2022-10-15,1991-10-01,13.9
22,2022-10-15,2022-10-15,1991-11-01,13.9
23,2022-10-15,2022-10-15,1991-12-01,17.1
24,2022-10-15,2022-10-15,1992-01-01,17.5
25,2022-10-15,2022-10-15,1992-02-01,18.6
26,2022-10-15,2022-10-15,1992-03-01,17.8
27,2022-10-15,2022-10-15,1992-04-01,16.8
28,2022-10-15,2022-10-15,1992-05-01,20.0
29,2022-10-15,2022-10-15,1992-06-01,19.1
30,2022-10-15,2022-10-15,1992-07-01,17.4
31,2022-10-15,2022-10-15,1992-08-01,16.6
32,2022-10-15,2022-10-15,1992-09-01,16.9
33,2022-10-15,2022-10-15,1992-10-01,16.0
34,2022-10-15,2022-10-15,1992-11-01,15.5
35,2022-10-15,2022-10-15,1992-12-01,14.4
36,2022-10-15,2022-10-15,1993-01-01,15.4
37,2022-10-15,2022-10-15,1993-02-01,14.6
38,2022-10-15,2022-10-15,1993-03-01,13.6
39,2022-10-15,2022-10-15,1993-04-01,18.2
40,2022-10-15,2022-10-15,1993-05-01,17.7
41,2022-10-15,2022-10-15,1993-06-01,15.9
42,2022-10-15,2022-10-15,1993-07-01,13.9
43,2022-10-15,2022-10-15,1993-08-01,13.5
44,2022-10-15,2022-10-15,1993-09-01,13.800
45,2022-10-15,2022-10-15,1993-10-01,12.0
46,2022-10-15,2022-10-15,1993-11-01,10.4
47,2022-10-15,2022-10-15,1993-12-01,9.8
48,2022-10-15,2022-10-15,1994-01-01,11.300
49,2022-10-15,2022-10-15,1994-02-01,12.5
50,2022-10-15,2022-10-15,1994-03-01,12.0
51,2022-10-15,2022-10-15,1994-04-01,11.3
52,2022-10-15,2022-10-15,1994-05-01,14.100
53,2022-10-15,2022-10-15,1994-06-01,15.5
54,2022-10-15,2022-10-15,1994-07-01,13.8
55,2022-10-15,2022-10-15,1994-08-01,12.9
56,2022-10-15,2022-10-15,1994-09-01,13.0
57,2022-10-15,2022-10-15,1994-10-01,12.6
58,2022-10-15,2022-10-15,1994-11-01,11.3
59,2022-10-15,2022-10-15,1994-12-01,10.500
60,2022-10-15,2022-10-15,1995-01-01,10.5
61,2022-10-15,2022-10-15,1995-02-01,11.0
62,2022-10-15,2022-10-15,1995-03-01,11.6
63,2022-10-15,2022-10-15,1995-04-01,11.300
64,2022-10-15,2022-10-15,1995-05-01,12.600
65,2022-10-15,2022-10-15,1995-06-01,14.9
66,2022-10-15,2022-10-15,1995-07-01,12.3
67,2022-10-15,2022-10-15,1995-08-01,13.1
68,2022-10-15,2022-10-15,1995-09-01,13.3
69,2022-10-15,2022-10-15,1995-10-01,12.700
70,2022-10-15,2022-10-15,1995-11-01,11.2
71,2022-10-15,2022-10-15,1995-12-01,11.1
72,2022-10-15,2022-10-15,1996-01-01,12.600
73,2022-10-15,2022-10-15,1996-02-01,11.9
74,2022-10-15,2022-10-15,1996-03-01,10.9
75,2022-10-15,2022-10-15,1996-04-01,10.0
