,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,8.1
1,2022-10-15,2022-10-15,1990-02-01,8.2
2,2022-10-15,2022-10-15,1990-03-01,7.4
3,2022-10-15,2022-10-15,1990-04-01,7.1
4,2022-10-15,2022-10-15,1990-05-01,7.2
5,2022-10-15,2022-10-15,1990-06-01,7.1
6,2022-10-15,2022-10-15,1990-07-01,7.7
7,2022-10-15,2022-10-15,1990-08-01,7.1
8,2022-10-15,2022-10-15,1990-09-01,7.3
9,2022-10-15,2022-10-15,1990-10-01,7.4
10,2022-10-15,2022-10-15,1990-11-01,8.2
11,2022-10-15,2022-10-15,1990-12-01,8.1
12,2022-10-15,2022-10-15,1991-01-01,9.5
13,2022-10-15,2022-10-15,1991-02-01,9.8
14,2022-10-15,2022-10-15,1991-03-01,9.3
15,2022-10-15,2022-10-15,1991-04-01,8.2
16,2022-10-15,2022-10-15,1991-05-01,9.0
17,2022-10-15,2022-10-15,1991-06-01,9.1
18,2022-10-15,2022-10-15,1991-07-01,9.2
19,2022-10-15,2022-10-15,1991-08-01,8.3
20,2022-10-15,2022-10-15,1991-09-01,8.5
21,2022-10-15,2022-10-15,1991-10-01,9.2
22,2022-10-15,2022-10-15,1991-11-01,9.4
23,2022-10-15,2022-10-15,1991-12-01,9.0
24,2022-10-15,2022-10-15,1992-01-01,10.4
25,2022-10-15,2022-10-15,1992-02-01,10.6
26,2022-10-15,2022-10-15,1992-03-01,10.1
27,2022-10-15,2022-10-15,1992-04-01,10.1
28,2022-10-15,2022-10-15,1992-05-01,10.0
29,2022-10-15,2022-10-15,1992-06-01,10.2
30,2022-10-15,2022-10-15,1992-07-01,10.7
31,2022-10-15,2022-10-15,1992-08-01,10.1
32,2022-10-15,2022-10-15,1992-09-01,10.7
33,2022-10-15,2022-10-15,1992-10-01,9.9
34,2022-10-15,2022-10-15,1992-11-01,10.1
35,2022-10-15,2022-10-15,1992-12-01,9.4
36,2022-10-15,2022-10-15,1993-01-01,10.1
37,2022-10-15,2022-10-15,1993-02-01,9.8
38,2022-10-15,2022-10-15,1993-03-01,9.1
39,2022-10-15,2022-10-15,1993-04-01,9.0
40,2022-10-15,2022-10-15,1993-05-01,8.6
