,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,16.1
1,2022-10-15,2022-10-15,1990-02-01,17.4
2,2022-10-15,2022-10-15,1990-03-01,16.6
3,2022-10-15,2022-10-15,1990-04-01,15.5
4,2022-10-15,2022-10-15,1990-05-01,11.2
5,2022-10-15,2022-10-15,1990-06-01,10.6
6,2022-10-15,2022-10-15,1990-07-01,14.4
7,2022-10-15,2022-10-15,1990-08-01,13.8
8,2022-10-15,2022-10-15,1990-09-01,15.5
9,2022-10-15,2022-10-15,1990-10-01,14.0
10,2022-10-15,2022-10-15,1990-11-01,17.7
11,2022-10-15,2022-10-15,1990-12-01,20.1
12,2022-10-15,2022-10-15,1991-01-01,21.7
13,2022-10-15,2022-10-15,1991-02-01,22.1
14,2022-10-15,2022-10-15,1991-03-01,21.8
15,2022-10-15,2022-10-15,1991-04-01,18.7
16,2022-10-15,2022-10-15,1991-05-01,16.2
17,2022-10-15,2022-10-15,1991-06-01,16.1
18,2022-10-15,2022-10-15,1991-07-01,16.3
19,2022-10-15,2022-10-15,1991-08-01,13.7
20,2022-10-15,2022-10-15,1991-09-01,13.8
21,2022-10-15,2022-10-15,1991-10-01,14.1
22,2022-10-15,2022-10-15,1991-11-01,18.3
23,2022-10-15,2022-10-15,1991-12-01,20.6
24,2022-10-15,2022-10-15,1992-01-01,23.7
25,2022-10-15,2022-10-15,1992-02-01,25.1
26,2022-10-15,2022-10-15,1992-03-01,24.2
27,2022-10-15,2022-10-15,1992-04-01,23.3
28,2022-10-15,2022-10-15,1992-05-01,19.2
29,2022-10-15,2022-10-15,1992-06-01,18.9
30,2022-10-15,2022-10-15,1992-07-01,17.1
31,2022-10-15,2022-10-15,1992-08-01,14.3
32,2022-10-15,2022-10-15,1992-09-01,14.6
33,2022-10-15,2022-10-15,1992-10-01,13.4
34,2022-10-15,2022-10-15,1992-11-01,17.2
35,2022-10-15,2022-10-15,1992-12-01,20.1
36,2022-10-15,2022-10-15,1993-01-01,21.3
37,2022-10-15,2022-10-15,1993-02-01,20.4
38,2022-10-15,2022-10-15,1993-03-01,20.3
39,2022-10-15,2022-10-15,1993-04-01,18.1
40,2022-10-15,2022-10-15,1993-05-01,15.0
41,2022-10-15,2022-10-15,1993-06-01,15.1
42,2022-10-15,2022-10-15,1993-07-01,13.5
43,2022-10-15,2022-10-15,1993-08-01,12.0
44,2022-10-15,2022-10-15,1993-09-01,11.9
45,2022-10-15,2022-10-15,1993-10-01,12.3
46,2022-10-15,2022-10-15,1993-11-01,16.7
47,2022-10-15,2022-10-15,1993-12-01,18.1
48,2022-10-15,2022-10-15,1994-01-01,23.0
49,2022-10-15,2022-10-15,1994-02-01,22.5
50,2022-10-15,2022-10-15,1994-03-01,22.9
51,2022-10-15,2022-10-15,1994-04-01,20.4
52,2022-10-15,2022-10-15,1994-05-01,15.9
53,2022-10-15,2022-10-15,1994-06-01,17.1
54,2022-10-15,2022-10-15,1994-07-01,15.0
55,2022-10-15,2022-10-15,1994-08-01,13.6
56,2022-10-15,2022-10-15,1994-09-01,13.1
57,2022-10-15,2022-10-15,1994-10-01,12.6
58,2022-10-15,2022-10-15,1994-11-01,14.8
59,2022-10-15,2022-10-15,1994-12-01,17.3
60,2022-10-15,2022-10-15,1995-01-01,21.0
61,2022-10-15,2022-10-15,1995-02-01,20.6
62,2022-10-15,2022-10-15,1995-03-01,23.0
63,2022-10-15,2022-10-15,1995-04-01,21.7
64,2022-10-15,2022-10-15,1995-05-01,14.9
65,2022-10-15,2022-10-15,1995-06-01,14.6
66,2022-10-15,2022-10-15,1995-07-01,12.5
67,2022-10-15,2022-10-15,1995-08-01,10.9
68,2022-10-15,2022-10-15,1995-09-01,10.4
69,2022-10-15,2022-10-15,1995-10-01,10.2
70,2022-10-15,2022-10-15,1995-11-01,14.0
71,2022-10-15,2022-10-15,1995-12-01,15.4
72,2022-10-15,2022-10-15,1996-01-01,17.9
73,2022-10-15,2022-10-15,1996-02-01,16.2
74,2022-10-15,2022-10-15,1996-03-01,16.8
75,2022-10-15,2022-10-15,1996-04-01,18.0
76,2022-10-15,2022-10-15,1996-05-01,12.4
77,2022-10-15,2022-10-15,1996-06-01,10.7
78,2022-10-15,2022-10-15,1996-07-01,10.0
79,2022-10-15,2022-10-15,1996-08-01,8.1
80,2022-10-15,2022-10-15,1996-09-01,7.3
81,2022-10-15,2022-10-15,1996-10-01,7.4
82,2022-10-15,2022-10-15,1996-11-01,11.5
83,2022-10-15,2022-10-15,1996-12-01,14.3
84,2022-10-15,2022-10-15,1997-01-01,16.3
85,2022-10-15,2022-10-15,1997-02-01,15.7
86,2022-10-15,2022-10-15,1997-03-01,16.5
87,2022-10-15,2022-10-15,1997-04-01,16.2
88,2022-10-15,2022-10-15,1997-05-01,9.9
89,2022-10-15,2022-10-15,1997-06-01,9.1
90,2022-10-15,2022-10-15,1997-07-01,7.3
91,2022-10-15,2022-10-15,1997-08-01,6.8
92,2022-10-15,2022-10-15,1997-09-01,6.9
93,2022-10-15,2022-10-15,1997-10-01,6.6
94,2022-10-15,2022-10-15,1997-11-01,11.7
95,2022-10-15,2022-10-15,1997-12-01,14.9
96,2022-10-15,2022-10-15,1998-01-01,16.1
97,2022-10-15,2022-10-15,1998-02-01,16.3
98,2022-10-15,2022-10-15,1998-03-01,17.4
99,2022-10-15,2022-10-15,1998-04-01,12.3
100,2022-10-15,2022-10-15,1998-05-01,10.0
101,2022-10-15,2022-10-15,1998-06-01,9.7
102,2022-10-15,2022-10-15,1998-07-01,6.5
103,2022-10-15,2022-10-15,1998-08-01,7.1
104,2022-10-15,2022-10-15,1998-09-01,7.1
105,2022-10-15,2022-10-15,1998-10-01,6.7
106,2022-10-15,2022-10-15,1998-11-01,11.4
107,2022-10-15,2022-10-15,1998-12-01,13.4
108,2022-10-15,2022-10-15,1999-01-01,15.5
109,2022-10-15,2022-10-15,1999-02-01,16.1
110,2022-10-15,2022-10-15,1999-03-01,16.9
111,2022-10-15,2022-10-15,1999-04-01,14.6
112,2022-10-15,2022-10-15,1999-05-01,10.6
113,2022-10-15,2022-10-15,1999-06-01,9.3
114,2022-10-15,2022-10-15,1999-07-01,7.0
115,2022-10-15,2022-10-15,1999-08-01,6.3
