,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,8.4
1,2022-10-15,2022-10-15,1990-02-01,7.2
2,2022-10-15,2022-10-15,1990-03-01,7.1
3,2022-10-15,2022-10-15,1990-04-01,7.1
4,2022-10-15,2022-10-15,1990-05-01,6.1
5,2022-10-15,2022-10-15,1990-06-01,6.1
6,2022-10-15,2022-10-15,1990-07-01,6.0
7,2022-10-15,2022-10-15,1990-08-01,5.7
8,2022-10-15,2022-10-15,1990-09-01,4.8
9,2022-10-15,2022-10-15,1990-10-01,4.5
10,2022-10-15,2022-10-15,1990-11-01,8.0
11,2022-10-15,2022-10-15,1990-12-01,8.0
12,2022-10-15,2022-10-15,1991-01-01,8.9
13,2022-10-15,2022-10-15,1991-02-01,8.6
14,2022-10-15,2022-10-15,1991-03-01,8.4
15,2022-10-15,2022-10-15,1991-04-01,7.1
16,2022-10-15,2022-10-15,1991-05-01,6.9
17,2022-10-15,2022-10-15,1991-06-01,6.4
18,2022-10-15,2022-10-15,1991-07-01,6.5
19,2022-10-15,2022-10-15,1991-08-01,6.7
20,2022-10-15,2022-10-15,1991-09-01,5.9
21,2022-10-15,2022-10-15,1991-10-01,5.8
22,2022-10-15,2022-10-15,1991-11-01,7.9
23,2022-10-15,2022-10-15,1991-12-01,9.0
24,2022-10-15,2022-10-15,1992-01-01,10.3
25,2022-10-15,2022-10-15,1992-02-01,10.4
26,2022-10-15,2022-10-15,1992-03-01,10.0
27,2022-10-15,2022-10-15,1992-04-01,9.4
28,2022-10-15,2022-10-15,1992-05-01,8.3
29,2022-10-15,2022-10-15,1992-06-01,8.1
30,2022-10-15,2022-10-15,1992-07-01,9.4
31,2022-10-15,2022-10-15,1992-08-01,7.9
32,2022-10-15,2022-10-15,1992-09-01,7.5
33,2022-10-15,2022-10-15,1992-10-01,6.4
34,2022-10-15,2022-10-15,1992-11-01,7.6
35,2022-10-15,2022-10-15,1992-12-01,8.6
36,2022-10-15,2022-10-15,1993-01-01,9.6
37,2022-10-15,2022-10-15,1993-02-01,9.2
38,2022-10-15,2022-10-15,1993-03-01,8.8
39,2022-10-15,2022-10-15,1993-04-01,8.4
40,2022-10-15,2022-10-15,1993-05-01,7.4
41,2022-10-15,2022-10-15,1993-06-01,7.0
42,2022-10-15,2022-10-15,1993-07-01,8.3
43,2022-10-15,2022-10-15,1993-08-01,6.4
44,2022-10-15,2022-10-15,1993-09-01,5.7
45,2022-10-15,2022-10-15,1993-10-01,5.7
46,2022-10-15,2022-10-15,1993-11-01,6.6
47,2022-10-15,2022-10-15,1993-12-01,7.1
48,2022-10-15,2022-10-15,1994-01-01,9.5
49,2022-10-15,2022-10-15,1994-02-01,9.5
50,2022-10-15,2022-10-15,1994-03-01,8.7
51,2022-10-15,2022-10-15,1994-04-01,7.8
52,2022-10-15,2022-10-15,1994-05-01,6.2
53,2022-10-15,2022-10-15,1994-06-01,6.7
54,2022-10-15,2022-10-15,1994-07-01,7.7
55,2022-10-15,2022-10-15,1994-08-01,6.6
56,2022-10-15,2022-10-15,1994-09-01,5.3
57,2022-10-15,2022-10-15,1994-10-01,5.2
58,2022-10-15,2022-10-15,1994-11-01,5.0
59,2022-10-15,2022-10-15,1994-12-01,5.9
60,2022-10-15,2022-10-15,1995-01-01,7.9
61,2022-10-15,2022-10-15,1995-02-01,7.2
62,2022-10-15,2022-10-15,1995-03-01,7.0
63,2022-10-15,2022-10-15,1995-04-01,7.2
64,2022-10-15,2022-10-15,1995-05-01,6.7
65,2022-10-15,2022-10-15,1995-06-01,7.8
66,2022-10-15,2022-10-15,1995-07-01,9.0
67,2022-10-15,2022-10-15,1995-08-01,8.8
68,2022-10-15,2022-10-15,1995-09-01,8.7
69,2022-10-15,2022-10-15,1995-10-01,7.4
70,2022-10-15,2022-10-15,1995-11-01,7.5
71,2022-10-15,2022-10-15,1995-12-01,7.2
72,2022-10-15,2022-10-15,1996-01-01,7.9
73,2022-10-15,2022-10-15,1996-02-01,7.0
74,2022-10-15,2022-10-15,1996-03-01,6.8
75,2022-10-15,2022-10-15,1996-04-01,6.1
76,2022-10-15,2022-10-15,1996-05-01,5.4
77,2022-10-15,2022-10-15,1996-06-01,5.3
78,2022-10-15,2022-10-15,1996-07-01,5.8
79,2022-10-15,2022-10-15,1996-08-01,4.3
80,2022-10-15,2022-10-15,1996-09-01,4.1
81,2022-10-15,2022-10-15,1996-10-01,4.0
82,2022-10-15,2022-10-15,1996-11-01,4.9
83,2022-10-15,2022-10-15,1996-12-01,5.3
84,2022-10-15,2022-10-15,1997-01-01,7.1
85,2022-10-15,2022-10-15,1997-02-01,6.9
86,2022-10-15,2022-10-15,1997-03-01,6.9
87,2022-10-15,2022-10-15,1997-04-01,6.0
88,2022-10-15,2022-10-15,1997-05-01,5.5
89,2022-10-15,2022-10-15,1997-06-01,5.7
90,2022-10-15,2022-10-15,1997-07-01,7.2
91,2022-10-15,2022-10-15,1997-08-01,6.4
92,2022-10-15,2022-10-15,1997-09-01,6.0
93,2022-10-15,2022-10-15,1997-10-01,5.3
94,2022-10-15,2022-10-15,1997-11-01,5.6
95,2022-10-15,2022-10-15,1997-12-01,6.3
96,2022-10-15,2022-10-15,1998-01-01,7.0
97,2022-10-15,2022-10-15,1998-02-01,6.9
98,2022-10-15,2022-10-15,1998-03-01,6.8
99,2022-10-15,2022-10-15,1998-04-01,5.8
100,2022-10-15,2022-10-15,1998-05-01,4.8
101,2022-10-15,2022-10-15,1998-06-01,4.0
102,2022-10-15,2022-10-15,1998-07-01,6.0
103,2022-10-15,2022-10-15,1998-08-01,4.1
104,2022-10-15,2022-10-15,1998-09-01,4.2
105,2022-10-15,2022-10-15,1998-10-01,4.2
106,2022-10-15,2022-10-15,1998-11-01,5.0
107,2022-10-15,2022-10-15,1998-12-01,5.3
108,2022-10-15,2022-10-15,1999-01-01,7.1
109,2022-10-15,2022-10-15,1999-02-01,6.7
110,2022-10-15,2022-10-15,1999-03-01,6.3
111,2022-10-15,2022-10-15,1999-04-01,5.5
112,2022-10-15,2022-10-15,1999-05-01,4.3
113,2022-10-15,2022-10-15,1999-06-01,4.5
114,2022-10-15,2022-10-15,1999-07-01,5.4
115,2022-10-15,2022-10-15,1999-08-01,4.8
116,2022-10-15,2022-10-15,1999-09-01,3.8
117,2022-10-15,2022-10-15,1999-10-01,3.9
118,2022-10-15,2022-10-15,1999-11-01,4.6
119,2022-10-15,2022-10-15,1999-12-01,5.4
120,2022-10-15,2022-10-15,2000-01-01,6.0
121,2022-10-15,2022-10-15,2000-02-01,5.9
122,2022-10-15,2022-10-15,2000-03-01,5.5
123,2022-10-15,2022-10-15,2000-04-01,4.4
124,2022-10-15,2022-10-15,2000-05-01,4.3
125,2022-10-15,2022-10-15,2000-06-01,4.3
126,2022-10-15,2022-10-15,2000-07-01,4.5
127,2022-10-15,2022-10-15,2000-08-01,4.3
128,2022-10-15,2022-10-15,2000-09-01,3.8
129,2022-10-15,2022-10-15,2000-10-01,3.6
130,2022-10-15,2022-10-15,2000-11-01,4.2
131,2022-10-15,2022-10-15,2000-12-01,4.7
132,2022-10-15,2022-10-15,2001-01-01,5.9
133,2022-10-15,2022-10-15,2001-02-01,5.5
134,2022-10-15,2022-10-15,2001-03-01,5.4
135,2022-10-15,2022-10-15,2001-04-01,5.0
136,2022-10-15,2022-10-15,2001-05-01,4.0
137,2022-10-15,2022-10-15,2001-06-01,4.3
138,2022-10-15,2022-10-15,2001-07-01,4.8
139,2022-10-15,2022-10-15,2001-08-01,4.9
140,2022-10-15,2022-10-15,2001-09-01,5.0
141,2022-10-15,2022-10-15,2001-10-01,5.0
142,2022-10-15,2022-10-15,2001-11-01,5.6
143,2022-10-15,2022-10-15,2001-12-01,6.3
144,2022-10-15,2022-10-15,2002-01-01,8.0
145,2022-10-15,2022-10-15,2002-02-01,8.1
146,2022-10-15,2022-10-15,2002-03-01,7.5
147,2022-10-15,2022-10-15,2002-04-01,6.6
148,2022-10-15,2022-10-15,2002-05-01,5.5
149,2022-10-15,2022-10-15,2002-06-01,5.6
150,2022-10-15,2022-10-15,2002-07-01,5.8
151,2022-10-15,2022-10-15,2002-08-01,5.6
152,2022-10-15,2022-10-15,2002-09-01,5.2
153,2022-10-15,2022-10-15,2002-10-01,5.1
154,2022-10-15,2022-10-15,2002-11-01,6.5
155,2022-10-15,2022-10-15,2002-12-01,7.2
156,2022-10-15,2022-10-15,2003-01-01,8.7
157,2022-10-15,2022-10-15,2003-02-01,8.6
158,2022-10-15,2022-10-15,2003-03-01,8.0
159,2022-10-15,2022-10-15,2003-04-01,7.2
160,2022-10-15,2022-10-15,2003-05-01,6.2
161,2022-10-15,2022-10-15,2003-06-01,6.6
162,2022-10-15,2022-10-15,2003-07-01,7.3
163,2022-10-15,2022-10-15,2003-08-01,6.4
164,2022-10-15,2022-10-15,2003-09-01,6.0
165,2022-10-15,2022-10-15,2003-10-01,5.9
166,2022-10-15,2022-10-15,2003-11-01,6.7
167,2022-10-15,2022-10-15,2003-12-01,6.8
168,2022-10-15,2022-10-15,2004-01-01,8.2
169,2022-10-15,2022-10-15,2004-02-01,8.1
170,2022-10-15,2022-10-15,2004-03-01,8.0
171,2022-10-15,2022-10-15,2004-04-01,7.2
172,2022-10-15,2022-10-15,2004-05-01,6.0
173,2022-10-15,2022-10-15,2004-06-01,6.1
174,2022-10-15,2022-10-15,2004-07-01,6.1
175,2022-10-15,2022-10-15,2004-08-01,5.7
176,2022-10-15,2022-10-15,2004-09-01,5.0
177,2022-10-15,2022-10-15,2004-10-01,4.9
178,2022-10-15,2022-10-15,2004-11-01,5.5
179,2022-10-15,2022-10-15,2004-12-01,6.5
180,2022-10-15,2022-10-15,2005-01-01,7.2
181,2022-10-15,2022-10-15,2005-02-01,7.4
182,2022-10-15,2022-10-15,2005-03-01,6.3
183,2022-10-15,2022-10-15,2005-04-01,5.8
184,2022-10-15,2022-10-15,2005-05-01,5.4
185,2022-10-15,2022-10-15,2005-06-01,5.3
186,2022-10-15,2022-10-15,2005-07-01,5.6
187,2022-10-15,2022-10-15,2005-08-01,5.0
188,2022-10-15,2022-10-15,2005-09-01,4.6
189,2022-10-15,2022-10-15,2005-10-01,4.4
190,2022-10-15,2022-10-15,2005-11-01,5.2
191,2022-10-15,2022-10-15,2005-12-01,5.5
192,2022-10-15,2022-10-15,2006-01-01,6.9
193,2022-10-15,2022-10-15,2006-02-01,7.3
194,2022-10-15,2022-10-15,2006-03-01,6.7
195,2022-10-15,2022-10-15,2006-04-01,5.9
196,2022-10-15,2022-10-15,2006-05-01,5.3
197,2022-10-15,2022-10-15,2006-06-01,5.4
198,2022-10-15,2022-10-15,2006-07-01,5.8
199,2022-10-15,2022-10-15,2006-08-01,5.4
200,2022-10-15,2022-10-15,2006-09-01,4.6
201,2022-10-15,2022-10-15,2006-10-01,4.1
202,2022-10-15,2022-10-15,2006-11-01,4.8
203,2022-10-15,2022-10-15,2006-12-01,5.3
204,2022-10-15,2022-10-15,2007-01-01,6.6
205,2022-10-15,2022-10-15,2007-02-01,6.8
206,2022-10-15,2022-10-15,2007-03-01,6.2
207,2022-10-15,2022-10-15,2007-04-01,6.0
208,2022-10-15,2022-10-15,2007-05-01,5.0
209,2022-10-15,2022-10-15,2007-06-01,5.0
210,2022-10-15,2022-10-15,2007-07-01,5.9
211,2022-10-15,2022-10-15,2007-08-01,5.3
212,2022-10-15,2022-10-15,2007-09-01,4.5
213,2022-10-15,2022-10-15,2007-10-01,4.7
214,2022-10-15,2022-10-15,2007-11-01,5.5
215,2022-10-15,2022-10-15,2007-12-01,6.6
216,2022-10-15,2022-10-15,2008-01-01,7.5
217,2022-10-15,2022-10-15,2008-02-01,7.6
218,2022-10-15,2022-10-15,2008-03-01,7.4
219,2022-10-15,2022-10-15,2008-04-01,6.4
220,2022-10-15,2022-10-15,2008-05-01,6.2
221,2022-10-15,2022-10-15,2008-06-01,6.1
222,2022-10-15,2022-10-15,2008-07-01,6.9
223,2022-10-15,2022-10-15,2008-08-01,6.8
224,2022-10-15,2022-10-15,2008-09-01,6.0
225,2022-10-15,2022-10-15,2008-10-01,6.1
226,2022-10-15,2022-10-15,2008-11-01,7.0
227,2022-10-15,2022-10-15,2008-12-01,8.3
228,2022-10-15,2022-10-15,2009-01-01,10.1
229,2022-10-15,2022-10-15,2009-02-01,10.7
230,2022-10-15,2022-10-15,2009-03-01,10.8
231,2022-10-15,2022-10-15,2009-04-01,9.7
232,2022-10-15,2022-10-15,2009-05-01,8.9
233,2022-10-15,2022-10-15,2009-06-01,9.3
234,2022-10-15,2022-10-15,2009-07-01,9.3
235,2022-10-15,2022-10-15,2009-08-01,9.3
236,2022-10-15,2022-10-15,2009-09-01,8.3
237,2022-10-15,2022-10-15,2009-10-01,8.2
238,2022-10-15,2022-10-15,2009-11-01,8.8
239,2022-10-15,2022-10-15,2009-12-01,10.1
240,2022-10-15,2022-10-15,2010-01-01,11.3
241,2022-10-15,2022-10-15,2010-02-01,11.2
242,2022-10-15,2022-10-15,2010-03-01,10.7
243,2022-10-15,2022-10-15,2010-04-01,9.6
244,2022-10-15,2022-10-15,2010-05-01,8.7
245,2022-10-15,2022-10-15,2010-06-01,9.4
246,2022-10-15,2022-10-15,2010-07-01,9.7
247,2022-10-15,2022-10-15,2010-08-01,9.5
248,2022-10-15,2022-10-15,2010-09-01,8.9
249,2022-10-15,2022-10-15,2010-10-01,8.7
250,2022-10-15,2022-10-15,2010-11-01,9.4
251,2022-10-15,2022-10-15,2010-12-01,10.2
252,2022-10-15,2022-10-15,2011-01-01,10.9
253,2022-10-15,2022-10-15,2011-02-01,10.7
254,2022-10-15,2022-10-15,2011-03-01,10.0
255,2022-10-15,2022-10-15,2011-04-01,9.1
256,2022-10-15,2022-10-15,2011-05-01,8.6
257,2022-10-15,2022-10-15,2011-06-01,9.1
258,2022-10-15,2022-10-15,2011-07-01,9.3
259,2022-10-15,2022-10-15,2011-08-01,9.1
260,2022-10-15,2022-10-15,2011-09-01,8.6
261,2022-10-15,2022-10-15,2011-10-01,8.3
262,2022-10-15,2022-10-15,2011-11-01,8.5
263,2022-10-15,2022-10-15,2011-12-01,9.3
264,2022-10-15,2022-10-15,2012-01-01,10.5
265,2022-10-15,2022-10-15,2012-02-01,10.8
266,2022-10-15,2022-10-15,2012-03-01,10.0
267,2022-10-15,2022-10-15,2012-04-01,9.2
268,2022-10-15,2022-10-15,2012-05-01,9.2
269,2022-10-15,2022-10-15,2012-06-01,9.7
270,2022-10-15,2022-10-15,2012-07-01,10.1
271,2022-10-15,2022-10-15,2012-08-01,10.2
272,2022-10-15,2022-10-15,2012-09-01,9.3
273,2022-10-15,2022-10-15,2012-10-01,9.3
274,2022-10-15,2022-10-15,2012-11-01,9.3
