,realtime_start,realtime_end,date,value
0,2022-10-15,2022-10-15,1990-01-01,19.6
1,2022-10-15,2022-10-15,1990-02-01,20.400
2,2022-10-15,2022-10-15,1990-03-01,15.3
3,2022-10-15,2022-10-15,1990-04-01,9.0
4,2022-10-15,2022-10-15,1990-05-01,6.4
5,2022-10-15,2022-10-15,1990-06-01,5.0
6,2022-10-15,2022-10-15,1990-07-01,4.6
7,2022-10-15,2022-10-15,1990-08-01,4.5
8,2022-10-15,2022-10-15,1990-09-01,4.6
9,2022-10-15,2022-10-15,1990-10-01,5.2
10,2022-10-15,2022-10-15,1990-11-01,11.700
11,2022-10-15,2022-10-15,1990-12-01,13.5
12,2022-10-15,2022-10-15,1991-01-01,23.3
13,2022-10-15,2022-10-15,1991-02-01,22.7
14,2022-10-15,2022-10-15,1991-03-01,19.2
15,2022-10-15,2022-10-15,1991-04-01,10.5
16,2022-10-15,2022-10-15,1991-05-01,7.6
17,2022-10-15,2022-10-15,1991-06-01,6.0
18,2022-10-15,2022-10-15,1991-07-01,5.0
19,2022-10-15,2022-10-15,1991-08-01,4.700
20,2022-10-15,2022-10-15,1991-09-01,4.9
21,2022-10-15,2022-10-15,1991-10-01,4.7
22,2022-10-15,2022-10-15,1991-11-01,9.5
23,2022-10-15,2022-10-15,1991-12-01,12.0
24,2022-10-15,2022-10-15,1992-01-01,20.7
25,2022-10-15,2022-10-15,1992-02-01,21.7
26,2022-10-15,2022-10-15,1992-03-01,17.6
27,2022-10-15,2022-10-15,1992-04-01,8.600
28,2022-10-15,2022-10-15,1992-05-01,7.0
29,2022-10-15,2022-10-15,1992-06-01,5.9
30,2022-10-15,2022-10-15,1992-07-01,5.2
31,2022-10-15,2022-10-15,1992-08-01,5.2
32,2022-10-15,2022-10-15,1992-09-01,5.000
33,2022-10-15,2022-10-15,1992-10-01,4.6
34,2022-10-15,2022-10-15,1992-11-01,8.0
35,2022-10-15,2022-10-15,1992-12-01,10.9
36,2022-10-15,2022-10-15,1993-01-01,22.4
37,2022-10-15,2022-10-15,1993-02-01,24.2
38,2022-10-15,2022-10-15,1993-03-01,19.6
39,2022-10-15,2022-10-15,1993-04-01,10.7
40,2022-10-15,2022-10-15,1993-05-01,8.6
41,2022-10-15,2022-10-15,1993-06-01,8.1
42,2022-10-15,2022-10-15,1993-07-01,6.0
43,2022-10-15,2022-10-15,1993-08-01,5.6
44,2022-10-15,2022-10-15,1993-09-01,6.0
45,2022-10-15,2022-10-15,1993-10-01,5.700
46,2022-10-15,2022-10-15,1993-11-01,9.7
