,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,5.9
1,2022-09-13,2022-09-13,1990-02-01,12.700
2,2022-09-13,2022-09-13,1990-03-01,5.9
3,2022-09-13,2022-09-13,1990-04-01,5.400
4,2022-09-13,2022-09-13,1990-05-01,5.3
5,2022-09-13,2022-09-13,1990-06-01,6.4
6,2022-09-13,2022-09-13,1990-07-01,7.4
7,2022-09-13,2022-09-13,1990-08-01,5.4
8,2022-09-13,2022-09-13,1990-09-01,5.3
9,2022-09-13,2022-09-13,1990-10-01,4.800
10,2022-09-13,2022-09-13,1990-11-01,4.600
11,2022-09-13,2022-09-13,1990-12-01,4.700
12,2022-09-13,2022-09-13,1991-01-01,4.5
13,2022-09-13,2022-09-13,1991-02-01,9.7
14,2022-09-13,2022-09-13,1991-03-01,5.2
15,2022-09-13,2022-09-13,1991-04-01,3.6
16,2022-09-13,2022-09-13,1991-05-01,3.4
17,2022-09-13,2022-09-13,1991-06-01,3.900
18,2022-09-13,2022-09-13,1991-07-01,4.700
19,2022-09-13,2022-09-13,1991-08-01,3.4
20,2022-09-13,2022-09-13,1991-09-01,3.000
21,2022-09-13,2022-09-13,1991-10-01,2.500
22,2022-09-13,2022-09-13,1991-11-01,3.0
23,2022-09-13,2022-09-13,1991-12-01,3.3
24,2022-09-13,2022-09-13,1992-01-01,3.1
25,2022-09-13,2022-09-13,1992-02-01,3.300
26,2022-09-13,2022-09-13,1992-03-01,3.200
27,2022-09-13,2022-09-13,1992-04-01,2.500
28,2022-09-13,2022-09-13,1992-05-01,3.000
29,2022-09-13,2022-09-13,1992-06-01,3.0
30,2022-09-13,2022-09-13,1992-07-01,3.2
31,2022-09-13,2022-09-13,1992-08-01,3.000
32,2022-09-13,2022-09-13,1992-09-01,2.5
33,2022-09-13,2022-09-13,1992-10-01,1.900
34,2022-09-13,2022-09-13,1992-11-01,2.000
35,2022-09-13,2022-09-13,1992-12-01,2.400
36,2022-09-13,2022-09-13,1993-01-01,4.500
37,2022-09-13,2022-09-13,1993-02-01,4.5
38,2022-09-13,2022-09-13,1993-03-01,5.0
39,2022-09-13,2022-09-13,1993-04-01,4.0
40,2022-09-13,2022-09-13,1993-05-01,4.2
41,2022-09-13,2022-09-13,1993-06-01,4.5
42,2022-09-13,2022-09-13,1993-07-01,4.1
43,2022-09-13,2022-09-13,1993-08-01,3.9
44,2022-09-13,2022-09-13,1993-09-01,3.100
45,2022-09-13,2022-09-13,1993-10-01,2.900
46,2022-09-13,2022-09-13,1993-11-01,2.9
47,2022-09-13,2022-09-13,1993-12-01,2.8
48,2022-09-13,2022-09-13,1994-01-01,3.800
49,2022-09-13,2022-09-13,1994-02-01,3.900
50,2022-09-13,2022-09-13,1994-03-01,4.0
51,2022-09-13,2022-09-13,1994-04-01,2.800
52,2022-09-13,2022-09-13,1994-05-01,5.0
53,2022-09-13,2022-09-13,1994-06-01,3.0
54,2022-09-13,2022-09-13,1994-07-01,3.5
55,2022-09-13,2022-09-13,1994-08-01,3.1
56,2022-09-13,2022-09-13,1994-09-01,2.4
57,2022-09-13,2022-09-13,1994-10-01,2.2
58,2022-09-13,2022-09-13,1994-11-01,2.200
59,2022-09-13,2022-09-13,1994-12-01,2.4
60,2022-09-13,2022-09-13,1995-01-01,3.400
61,2022-09-13,2022-09-13,1995-02-01,3.600
62,2022-09-13,2022-09-13,1995-03-01,3.2
63,2022-09-13,2022-09-13,1995-04-01,2.8
64,2022-09-13,2022-09-13,1995-05-01,3.5
65,2022-09-13,2022-09-13,1995-06-01,3.400
66,2022-09-13,2022-09-13,1995-07-01,3.8
67,2022-09-13,2022-09-13,1995-08-01,3.2
68,2022-09-13,2022-09-13,1995-09-01,2.4
69,2022-09-13,2022-09-13,1995-10-01,1.9
70,2022-09-13,2022-09-13,1995-11-01,1.800
71,2022-09-13,2022-09-13,1995-12-01,2.2
72,2022-09-13,2022-09-13,1996-01-01,3.000
73,2022-09-13,2022-09-13,1996-02-01,3.300
74,2022-09-13,2022-09-13,1996-03-01,3.0
75,2022-09-13,2022-09-13,1996-04-01,2.4
76,2022-09-13,2022-09-13,1996-05-01,3.1
77,2022-09-13,2022-09-13,1996-06-01,3.3
78,2022-09-13,2022-09-13,1996-07-01,3.8
79,2022-09-13,2022-09-13,1996-08-01,3.100
80,2022-09-13,2022-09-13,1996-09-01,2.500
81,2022-09-13,2022-09-13,1996-10-01,2.000
82,2022-09-13,2022-09-13,1996-11-01,2.0
83,2022-09-13,2022-09-13,1996-12-01,2.400
84,2022-09-13,2022-09-13,1997-01-01,2.800
85,2022-09-13,2022-09-13,1997-02-01,2.900
86,2022-09-13,2022-09-13,1997-03-01,2.300
87,2022-09-13,2022-09-13,1997-04-01,1.700
88,2022-09-13,2022-09-13,1997-05-01,2.2
89,2022-09-13,2022-09-13,1997-06-01,2.800
90,2022-09-13,2022-09-13,1997-07-01,3.4
91,2022-09-13,2022-09-13,1997-08-01,2.800
92,2022-09-13,2022-09-13,1997-09-01,1.8
93,2022-09-13,2022-09-13,1997-10-01,1.800
94,2022-09-13,2022-09-13,1997-11-01,1.800
95,2022-09-13,2022-09-13,1997-12-01,2.300
96,2022-09-13,2022-09-13,1998-01-01,3.000
97,2022-09-13,2022-09-13,1998-02-01,3.2
98,2022-09-13,2022-09-13,1998-03-01,3.9
99,2022-09-13,2022-09-13,1998-04-01,2.400
100,2022-09-13,2022-09-13,1998-05-01,2.7
101,2022-09-13,2022-09-13,1998-06-01,3.1
102,2022-09-13,2022-09-13,1998-07-01,3.0
103,2022-09-13,2022-09-13,1998-08-01,2.7
104,2022-09-13,2022-09-13,1998-09-01,1.5
105,2022-09-13,2022-09-13,1998-10-01,1.3
106,2022-09-13,2022-09-13,1998-11-01,1.200
107,2022-09-13,2022-09-13,1998-12-01,1.3
108,2022-09-13,2022-09-13,1999-01-01,2.100
109,2022-09-13,2022-09-13,1999-02-01,2.000
110,2022-09-13,2022-09-13,1999-03-01,2.400
111,2022-09-13,2022-09-13,1999-04-01,1.4
112,2022-09-13,2022-09-13,1999-05-01,2.000
113,2022-09-13,2022-09-13,1999-06-01,2.3
114,2022-09-13,2022-09-13,1999-07-01,2.4
115,2022-09-13,2022-09-13,1999-08-01,1.7
116,2022-09-13,2022-09-13,1999-09-01,1.200
117,2022-09-13,2022-09-13,1999-10-01,0.900
118,2022-09-13,2022-09-13,1999-11-01,1.100
119,2022-09-13,2022-09-13,1999-12-01,1.3
120,2022-09-13,2022-09-13,2000-01-01,2.7
121,2022-09-13,2022-09-13,2000-02-01,3.1
122,2022-09-13,2022-09-13,2000-03-01,3.0
123,2022-09-13,2022-09-13,2000-04-01,2.2
124,2022-09-13,2022-09-13,2000-05-01,2.5
125,2022-09-13,2022-09-13,2000-06-01,3.2
126,2022-09-13,2022-09-13,2000-07-01,3.0
127,2022-09-13,2022-09-13,2000-08-01,2.8
128,2022-09-13,2022-09-13,2000-09-01,2.9
129,2022-09-13,2022-09-13,2000-10-01,3.1
130,2022-09-13,2022-09-13,2000-11-01,3.2
131,2022-09-13,2022-09-13,2000-12-01,3.7
132,2022-09-13,2022-09-13,2001-01-01,4.7
133,2022-09-13,2022-09-13,2001-02-01,4.9
134,2022-09-13,2022-09-13,2001-03-01,4.5
135,2022-09-13,2022-09-13,2001-04-01,3.8
136,2022-09-13,2022-09-13,2001-05-01,3.4
137,2022-09-13,2022-09-13,2001-06-01,4.3
138,2022-09-13,2022-09-13,2001-07-01,4.300
139,2022-09-13,2022-09-13,2001-08-01,4.3
140,2022-09-13,2022-09-13,2001-09-01,4.000
141,2022-09-13,2022-09-13,2001-10-01,3.600
142,2022-09-13,2022-09-13,2001-11-01,5.1
143,2022-09-13,2022-09-13,2001-12-01,3.700
144,2022-09-13,2022-09-13,2002-01-01,5.100
145,2022-09-13,2022-09-13,2002-02-01,5.0
146,2022-09-13,2022-09-13,2002-03-01,5.2
147,2022-09-13,2022-09-13,2002-04-01,4.2
148,2022-09-13,2022-09-13,2002-05-01,3.800
149,2022-09-13,2022-09-13,2002-06-01,5.1
150,2022-09-13,2022-09-13,2002-07-01,4.6
151,2022-09-13,2022-09-13,2002-08-01,4.1
152,2022-09-13,2022-09-13,2002-09-01,3.800
153,2022-09-13,2022-09-13,2002-10-01,3.300
154,2022-09-13,2022-09-13,2002-11-01,3.500
155,2022-09-13,2022-09-13,2002-12-01,3.600
156,2022-09-13,2022-09-13,2003-01-01,4.7
157,2022-09-13,2022-09-13,2003-02-01,4.8
158,2022-09-13,2022-09-13,2003-03-01,5.2
159,2022-09-13,2022-09-13,2003-04-01,4.4
160,2022-09-13,2022-09-13,2003-05-01,4.4
161,2022-09-13,2022-09-13,2003-06-01,5.900
162,2022-09-13,2022-09-13,2003-07-01,6.200
163,2022-09-13,2022-09-13,2003-08-01,6.0
164,2022-09-13,2022-09-13,2003-09-01,5.0
165,2022-09-13,2022-09-13,2003-10-01,4.400
166,2022-09-13,2022-09-13,2003-11-01,4.2
167,2022-09-13,2022-09-13,2003-12-01,4.5
168,2022-09-13,2022-09-13,2004-01-01,5.5
169,2022-09-13,2022-09-13,2004-02-01,5.4
170,2022-09-13,2022-09-13,2004-03-01,5.6
171,2022-09-13,2022-09-13,2004-04-01,4.300
172,2022-09-13,2022-09-13,2004-05-01,4.5
173,2022-09-13,2022-09-13,2004-06-01,6.200
174,2022-09-13,2022-09-13,2004-07-01,6.0
175,2022-09-13,2022-09-13,2004-08-01,5.6
176,2022-09-13,2022-09-13,2004-09-01,4.4
177,2022-09-13,2022-09-13,2004-10-01,4.0
178,2022-09-13,2022-09-13,2004-11-01,4.200
179,2022-09-13,2022-09-13,2004-12-01,3.900
180,2022-09-13,2022-09-13,2005-01-01,5.5
181,2022-09-13,2022-09-13,2005-02-01,5.100
182,2022-09-13,2022-09-13,2005-03-01,4.700
183,2022-09-13,2022-09-13,2005-04-01,4.1
184,2022-09-13,2022-09-13,2005-05-01,4.200
185,2022-09-13,2022-09-13,2005-06-01,5.200
186,2022-09-13,2022-09-13,2005-07-01,4.800
187,2022-09-13,2022-09-13,2005-08-01,3.700
188,2022-09-13,2022-09-13,2005-09-01,3.5
189,2022-09-13,2022-09-13,2005-10-01,3.3
190,2022-09-13,2022-09-13,2005-11-01,3.6
191,2022-09-13,2022-09-13,2005-12-01,3.400
192,2022-09-13,2022-09-13,2006-01-01,4.5
193,2022-09-13,2022-09-13,2006-02-01,4.600
194,2022-09-13,2022-09-13,2006-03-01,4.400
195,2022-09-13,2022-09-13,2006-04-01,3.700
196,2022-09-13,2022-09-13,2006-05-01,3.3
197,2022-09-13,2022-09-13,2006-06-01,4.7
198,2022-09-13,2022-09-13,2006-07-01,6.3
199,2022-09-13,2022-09-13,2006-08-01,4.600
