,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,2.9
1,2022-09-13,2022-09-13,1990-02-01,3.2
2,2022-09-13,2022-09-13,1990-03-01,2.9
3,2022-09-13,2022-09-13,1990-04-01,4.1
4,2022-09-13,2022-09-13,1990-05-01,4.6
5,2022-09-13,2022-09-13,1990-06-01,1.9
6,2022-09-13,2022-09-13,1990-07-01,1.4
7,2022-09-13,2022-09-13,1990-08-01,1.2
8,2022-09-13,2022-09-13,1990-09-01,1.7
9,2022-09-13,2022-09-13,1990-10-01,3.2
10,2022-09-13,2022-09-13,1990-11-01,4.8
11,2022-09-13,2022-09-13,1990-12-01,4.8
12,2022-09-13,2022-09-13,1991-01-01,5.6
13,2022-09-13,2022-09-13,1991-02-01,7.5
14,2022-09-13,2022-09-13,1991-03-01,8.1
15,2022-09-13,2022-09-13,1991-04-01,8.8
16,2022-09-13,2022-09-13,1991-05-01,8.6
17,2022-09-13,2022-09-13,1991-06-01,5.4
18,2022-09-13,2022-09-13,1991-07-01,3.7
19,2022-09-13,2022-09-13,1991-08-01,3.0
20,2022-09-13,2022-09-13,1991-09-01,3.6
21,2022-09-13,2022-09-13,1991-10-01,5.4
22,2022-09-13,2022-09-13,1991-11-01,7.7
23,2022-09-13,2022-09-13,1991-12-01,7.5
24,2022-09-13,2022-09-13,1992-01-01,8.6
25,2022-09-13,2022-09-13,1992-02-01,9.1
26,2022-09-13,2022-09-13,1992-03-01,9.3
27,2022-09-13,2022-09-13,1992-04-01,10.2
28,2022-09-13,2022-09-13,1992-05-01,9.4
29,2022-09-13,2022-09-13,1992-06-01,6.8
30,2022-09-13,2022-09-13,1992-07-01,4.8
31,2022-09-13,2022-09-13,1992-08-01,4.4
32,2022-09-13,2022-09-13,1992-09-01,4.7
33,2022-09-13,2022-09-13,1992-10-01,6.3
34,2022-09-13,2022-09-13,1992-11-01,8.5
35,2022-09-13,2022-09-13,1992-12-01,7.8
36,2022-09-13,2022-09-13,1993-01-01,6.5
37,2022-09-13,2022-09-13,1993-02-01,7.4
38,2022-09-13,2022-09-13,1993-03-01,7.5
39,2022-09-13,2022-09-13,1993-04-01,8.2
40,2022-09-13,2022-09-13,1993-05-01,7.1
41,2022-09-13,2022-09-13,1993-06-01,5.1
42,2022-09-13,2022-09-13,1993-07-01,4.1
43,2022-09-13,2022-09-13,1993-08-01,3.7
44,2022-09-13,2022-09-13,1993-09-01,3.8
45,2022-09-13,2022-09-13,1993-10-01,5.1
46,2022-09-13,2022-09-13,1993-11-01,6.3
47,2022-09-13,2022-09-13,1993-12-01,5.3
48,2022-09-13,2022-09-13,1994-01-01,6.9
49,2022-09-13,2022-09-13,1994-02-01,6.7
50,2022-09-13,2022-09-13,1994-03-01,7.2
51,2022-09-13,2022-09-13,1994-04-01,6.1
52,2022-09-13,2022-09-13,1994-05-01,6.2
53,2022-09-13,2022-09-13,1994-06-01,4.2
54,2022-09-13,2022-09-13,1994-07-01,3.4
55,2022-09-13,2022-09-13,1994-08-01,3.3
56,2022-09-13,2022-09-13,1994-09-01,3.5
57,2022-09-13,2022-09-13,1994-10-01,3.9
58,2022-09-13,2022-09-13,1994-11-01,5.8
59,2022-09-13,2022-09-13,1994-12-01,4.3
60,2022-09-13,2022-09-13,1995-01-01,5.3
61,2022-09-13,2022-09-13,1995-02-01,5.4
62,2022-09-13,2022-09-13,1995-03-01,6.0
63,2022-09-13,2022-09-13,1995-04-01,5.8
64,2022-09-13,2022-09-13,1995-05-01,5.3
65,2022-09-13,2022-09-13,1995-06-01,3.6
66,2022-09-13,2022-09-13,1995-07-01,2.9
67,2022-09-13,2022-09-13,1995-08-01,2.9
68,2022-09-13,2022-09-13,1995-09-01,3.0
69,2022-09-13,2022-09-13,1995-10-01,3.2
70,2022-09-13,2022-09-13,1995-11-01,4.7
71,2022-09-13,2022-09-13,1995-12-01,4.3
72,2022-09-13,2022-09-13,1996-01-01,5.8
73,2022-09-13,2022-09-13,1996-02-01,5.4
74,2022-09-13,2022-09-13,1996-03-01,5.6
75,2022-09-13,2022-09-13,1996-04-01,5.0
76,2022-09-13,2022-09-13,1996-05-01,4.9
77,2022-09-13,2022-09-13,1996-06-01,3.2
78,2022-09-13,2022-09-13,1996-07-01,2.7
79,2022-09-13,2022-09-13,1996-08-01,2.6
80,2022-09-13,2022-09-13,1996-09-01,2.5
81,2022-09-13,2022-09-13,1996-10-01,3.4
82,2022-09-13,2022-09-13,1996-11-01,4.7
83,2022-09-13,2022-09-13,1996-12-01,4.8
84,2022-09-13,2022-09-13,1997-01-01,6.4
85,2022-09-13,2022-09-13,1997-02-01,6.5
86,2022-09-13,2022-09-13,1997-03-01,6.7
87,2022-09-13,2022-09-13,1997-04-01,6.2
88,2022-09-13,2022-09-13,1997-05-01,5.3
89,2022-09-13,2022-09-13,1997-06-01,3.9
90,2022-09-13,2022-09-13,1997-07-01,3.1
91,2022-09-13,2022-09-13,1997-08-01,2.8
92,2022-09-13,2022-09-13,1997-09-01,2.9
93,2022-09-13,2022-09-13,1997-10-01,4.1
94,2022-09-13,2022-09-13,1997-11-01,4.9
95,2022-09-13,2022-09-13,1997-12-01,4.6
96,2022-09-13,2022-09-13,1998-01-01,5.6
97,2022-09-13,2022-09-13,1998-02-01,5.3
98,2022-09-13,2022-09-13,1998-03-01,6.0
99,2022-09-13,2022-09-13,1998-04-01,4.8
100,2022-09-13,2022-09-13,1998-05-01,4.1
101,2022-09-13,2022-09-13,1998-06-01,3.3
102,2022-09-13,2022-09-13,1998-07-01,2.7
103,2022-09-13,2022-09-13,1998-08-01,2.8
104,2022-09-13,2022-09-13,1998-09-01,2.9
105,2022-09-13,2022-09-13,1998-10-01,3.4
106,2022-09-13,2022-09-13,1998-11-01,4.4
107,2022-09-13,2022-09-13,1998-12-01,4.0
108,2022-09-13,2022-09-13,1999-01-01,4.5
109,2022-09-13,2022-09-13,1999-02-01,4.7
110,2022-09-13,2022-09-13,1999-03-01,5.1
111,2022-09-13,2022-09-13,1999-04-01,4.5
112,2022-09-13,2022-09-13,1999-05-01,4.4
113,2022-09-13,2022-09-13,1999-06-01,3.2
114,2022-09-13,2022-09-13,1999-07-01,2.7
115,2022-09-13,2022-09-13,1999-08-01,2.3
116,2022-09-13,2022-09-13,1999-09-01,2.5
117,2022-09-13,2022-09-13,1999-10-01,2.9
118,2022-09-13,2022-09-13,1999-11-01,3.7
119,2022-09-13,2022-09-13,1999-12-01,3.2
120,2022-09-13,2022-09-13,2000-01-01,4.1
121,2022-09-13,2022-09-13,2000-02-01,4.7
122,2022-09-13,2022-09-13,2000-03-01,4.9
123,2022-09-13,2022-09-13,2000-04-01,3.6
124,2022-09-13,2022-09-13,2000-05-01,4.0
125,2022-09-13,2022-09-13,2000-06-01,3.0
126,2022-09-13,2022-09-13,2000-07-01,2.6
127,2022-09-13,2022-09-13,2000-08-01,2.6
128,2022-09-13,2022-09-13,2000-09-01,2.7
129,2022-09-13,2022-09-13,2000-10-01,3.1
130,2022-09-13,2022-09-13,2000-11-01,3.7
131,2022-09-13,2022-09-13,2000-12-01,3.6
132,2022-09-13,2022-09-13,2001-01-01,4.1
133,2022-09-13,2022-09-13,2001-02-01,4.1
134,2022-09-13,2022-09-13,2001-03-01,4.1
135,2022-09-13,2022-09-13,2001-04-01,3.5
136,2022-09-13,2022-09-13,2001-05-01,3.5
137,2022-09-13,2022-09-13,2001-06-01,2.9
138,2022-09-13,2022-09-13,2001-07-01,2.4
139,2022-09-13,2022-09-13,2001-08-01,2.4
140,2022-09-13,2022-09-13,2001-09-01,2.7
141,2022-09-13,2022-09-13,2001-10-01,3.4
142,2022-09-13,2022-09-13,2001-11-01,4.1
143,2022-09-13,2022-09-13,2001-12-01,4.0
144,2022-09-13,2022-09-13,2002-01-01,5.4
145,2022-09-13,2022-09-13,2002-02-01,5.2
146,2022-09-13,2022-09-13,2002-03-01,6.0
147,2022-09-13,2022-09-13,2002-04-01,4.9
148,2022-09-13,2022-09-13,2002-05-01,3.9
149,2022-09-13,2022-09-13,2002-06-01,3.5
150,2022-09-13,2022-09-13,2002-07-01,2.9
151,2022-09-13,2022-09-13,2002-08-01,2.9
152,2022-09-13,2022-09-13,2002-09-01,3.1
153,2022-09-13,2022-09-13,2002-10-01,3.2
154,2022-09-13,2022-09-13,2002-11-01,4.2
155,2022-09-13,2022-09-13,2002-12-01,4.3
156,2022-09-13,2022-09-13,2003-01-01,5.2
157,2022-09-13,2022-09-13,2003-02-01,5.6
158,2022-09-13,2022-09-13,2003-03-01,5.9
159,2022-09-13,2022-09-13,2003-04-01,4.9
160,2022-09-13,2022-09-13,2003-05-01,4.6
161,2022-09-13,2022-09-13,2003-06-01,3.9
162,2022-09-13,2022-09-13,2003-07-01,3.5
163,2022-09-13,2022-09-13,2003-08-01,3.2
164,2022-09-13,2022-09-13,2003-09-01,3.5
165,2022-09-13,2022-09-13,2003-10-01,3.5
166,2022-09-13,2022-09-13,2003-11-01,4.6
167,2022-09-13,2022-09-13,2003-12-01,4.0
168,2022-09-13,2022-09-13,2004-01-01,4.9
169,2022-09-13,2022-09-13,2004-02-01,4.8
170,2022-09-13,2022-09-13,2004-03-01,5.0
171,2022-09-13,2022-09-13,2004-04-01,3.9
172,2022-09-13,2022-09-13,2004-05-01,3.9
173,2022-09-13,2022-09-13,2004-06-01,3.4
174,2022-09-13,2022-09-13,2004-07-01,2.8
175,2022-09-13,2022-09-13,2004-08-01,2.6
176,2022-09-13,2022-09-13,2004-09-01,2.7
177,2022-09-13,2022-09-13,2004-10-01,2.8
178,2022-09-13,2022-09-13,2004-11-01,3.5
179,2022-09-13,2022-09-13,2004-12-01,3.1
180,2022-09-13,2022-09-13,2005-01-01,3.7
181,2022-09-13,2022-09-13,2005-02-01,4.1
182,2022-09-13,2022-09-13,2005-03-01,3.7
183,2022-09-13,2022-09-13,2005-04-01,3.2
184,2022-09-13,2022-09-13,2005-05-01,2.9
185,2022-09-13,2022-09-13,2005-06-01,2.5
186,2022-09-13,2022-09-13,2005-07-01,2.2
187,2022-09-13,2022-09-13,2005-08-01,2.0
188,2022-09-13,2022-09-13,2005-09-01,2.0
189,2022-09-13,2022-09-13,2005-10-01,2.1
190,2022-09-13,2022-09-13,2005-11-01,2.7
191,2022-09-13,2022-09-13,2005-12-01,2.5
192,2022-09-13,2022-09-13,2006-01-01,3.6
193,2022-09-13,2022-09-13,2006-02-01,3.8
194,2022-09-13,2022-09-13,2006-03-01,3.7
195,2022-09-13,2022-09-13,2006-04-01,3.4
196,2022-09-13,2022-09-13,2006-05-01,2.5
197,2022-09-13,2022-09-13,2006-06-01,2.2
198,2022-09-13,2022-09-13,2006-07-01,2.0
199,2022-09-13,2022-09-13,2006-08-01,1.8
200,2022-09-13,2022-09-13,2006-09-01,1.8
201,2022-09-13,2022-09-13,2006-10-01,1.8
202,2022-09-13,2022-09-13,2006-11-01,2.5
203,2022-09-13,2022-09-13,2006-12-01,2.8
204,2022-09-13,2022-09-13,2007-01-01,3.4
205,2022-09-13,2022-09-13,2007-02-01,3.3
206,2022-09-13,2022-09-13,2007-03-01,3.1
207,2022-09-13,2022-09-13,2007-04-01,2.4
208,2022-09-13,2022-09-13,2007-05-01,2.0
209,2022-09-13,2022-09-13,2007-06-01,1.9
210,2022-09-13,2022-09-13,2007-07-01,1.6
211,2022-09-13,2022-09-13,2007-08-01,1.6
212,2022-09-13,2022-09-13,2007-09-01,1.6
213,2022-09-13,2022-09-13,2007-10-01,1.9
214,2022-09-13,2022-09-13,2007-11-01,2.5
215,2022-09-13,2022-09-13,2007-12-01,2.9
