,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,3.6
1,2022-09-13,2022-09-13,1990-02-01,3.7
2,2022-09-13,2022-09-13,1990-03-01,3.5
3,2022-09-13,2022-09-13,1990-04-01,3.8
4,2022-09-13,2022-09-13,1990-05-01,4.1
5,2022-09-13,2022-09-13,1990-06-01,4.1
6,2022-09-13,2022-09-13,1990-07-01,4.2
7,2022-09-13,2022-09-13,1990-08-01,4.2
8,2022-09-13,2022-09-13,1990-09-01,4.4
9,2022-09-13,2022-09-13,1990-10-01,7.4
10,2022-09-13,2022-09-13,1990-11-01,6.1
11,2022-09-13,2022-09-13,1990-12-01,6.0
12,2022-09-13,2022-09-13,1991-01-01,6.8
13,2022-09-13,2022-09-13,1991-02-01,6.8
14,2022-09-13,2022-09-13,1991-03-01,6.5
15,2022-09-13,2022-09-13,1991-04-01,5.7
16,2022-09-13,2022-09-13,1991-05-01,5.6
17,2022-09-13,2022-09-13,1991-06-01,5.5
18,2022-09-13,2022-09-13,1991-07-01,5.0
19,2022-09-13,2022-09-13,1991-08-01,5.6
20,2022-09-13,2022-09-13,1991-09-01,5.5
21,2022-09-13,2022-09-13,1991-10-01,5.3
22,2022-09-13,2022-09-13,1991-11-01,5.3
23,2022-09-13,2022-09-13,1991-12-01,5.4
24,2022-09-13,2022-09-13,1992-01-01,6.2
25,2022-09-13,2022-09-13,1992-02-01,7.1
26,2022-09-13,2022-09-13,1992-03-01,8.4
27,2022-09-13,2022-09-13,1992-04-01,6.2
28,2022-09-13,2022-09-13,1992-05-01,8.3
29,2022-09-13,2022-09-13,1992-06-01,8.5
30,2022-09-13,2022-09-13,1992-07-01,5.7
31,2022-09-13,2022-09-13,1992-08-01,5.9
32,2022-09-13,2022-09-13,1992-09-01,5.4
33,2022-09-13,2022-09-13,1992-10-01,5.6
34,2022-09-13,2022-09-13,1992-11-01,5.9
35,2022-09-13,2022-09-13,1992-12-01,5.7
36,2022-09-13,2022-09-13,1993-01-01,7.2
37,2022-09-13,2022-09-13,1993-02-01,6.7
38,2022-09-13,2022-09-13,1993-03-01,6.1
39,2022-09-13,2022-09-13,1993-04-01,5.7
40,2022-09-13,2022-09-13,1993-05-01,5.9
41,2022-09-13,2022-09-13,1993-06-01,6.2
42,2022-09-13,2022-09-13,1993-07-01,5.7
43,2022-09-13,2022-09-13,1993-08-01,5.8
44,2022-09-13,2022-09-13,1993-09-01,5.5
45,2022-09-13,2022-09-13,1993-10-01,5.9
46,2022-09-13,2022-09-13,1993-11-01,6.1
47,2022-09-13,2022-09-13,1993-12-01,4.8
48,2022-09-13,2022-09-13,1994-01-01,6.7
49,2022-09-13,2022-09-13,1994-02-01,6.4
50,2022-09-13,2022-09-13,1994-03-01,6.2
51,2022-09-13,2022-09-13,1994-04-01,5.7
52,2022-09-13,2022-09-13,1994-05-01,5.9
53,2022-09-13,2022-09-13,1994-06-01,6.8
