,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,10.300
1,2022-09-13,2022-09-13,1990-02-01,9.2
2,2022-09-13,2022-09-13,1990-03-01,8.3
3,2022-09-13,2022-09-13,1990-04-01,7.200
4,2022-09-13,2022-09-13,1990-05-01,7.600
5,2022-09-13,2022-09-13,1990-06-01,7.3
6,2022-09-13,2022-09-13,1990-07-01,6.9
7,2022-09-13,2022-09-13,1990-08-01,7.1
8,2022-09-13,2022-09-13,1990-09-01,7.3
9,2022-09-13,2022-09-13,1990-10-01,9.1
10,2022-09-13,2022-09-13,1990-11-01,9.900
11,2022-09-13,2022-09-13,1990-12-01,9.500
12,2022-09-13,2022-09-13,1991-01-01,10.4
13,2022-09-13,2022-09-13,1991-02-01,11.1
14,2022-09-13,2022-09-13,1991-03-01,9.400
15,2022-09-13,2022-09-13,1991-04-01,8.6
16,2022-09-13,2022-09-13,1991-05-01,7.9
17,2022-09-13,2022-09-13,1991-06-01,8.9
18,2022-09-13,2022-09-13,1991-07-01,7.4
19,2022-09-13,2022-09-13,1991-08-01,7.9
20,2022-09-13,2022-09-13,1991-09-01,8.9
21,2022-09-13,2022-09-13,1991-10-01,9.2
22,2022-09-13,2022-09-13,1991-11-01,8.9
23,2022-09-13,2022-09-13,1991-12-01,9.3
24,2022-09-13,2022-09-13,1992-01-01,10.7
25,2022-09-13,2022-09-13,1992-02-01,10.100
26,2022-09-13,2022-09-13,1992-03-01,8.3
27,2022-09-13,2022-09-13,1992-04-01,7.7
28,2022-09-13,2022-09-13,1992-05-01,7.9
29,2022-09-13,2022-09-13,1992-06-01,8.700
30,2022-09-13,2022-09-13,1992-07-01,8.1
31,2022-09-13,2022-09-13,1992-08-01,7.500
32,2022-09-13,2022-09-13,1992-09-01,7.000
33,2022-09-13,2022-09-13,1992-10-01,7.6
34,2022-09-13,2022-09-13,1992-11-01,7.3
35,2022-09-13,2022-09-13,1992-12-01,7.100
36,2022-09-13,2022-09-13,1993-01-01,7.8
37,2022-09-13,2022-09-13,1993-02-01,7.6
38,2022-09-13,2022-09-13,1993-03-01,6.600
39,2022-09-13,2022-09-13,1993-04-01,5.9
40,2022-09-13,2022-09-13,1993-05-01,6.3
41,2022-09-13,2022-09-13,1993-06-01,7.500
42,2022-09-13,2022-09-13,1993-07-01,6.8
43,2022-09-13,2022-09-13,1993-08-01,6.200
44,2022-09-13,2022-09-13,1993-09-01,6.000
45,2022-09-13,2022-09-13,1993-10-01,6.300
46,2022-09-13,2022-09-13,1993-11-01,6.500
47,2022-09-13,2022-09-13,1993-12-01,6.0
48,2022-09-13,2022-09-13,1994-01-01,6.6
49,2022-09-13,2022-09-13,1994-02-01,6.3
50,2022-09-13,2022-09-13,1994-03-01,5.9
51,2022-09-13,2022-09-13,1994-04-01,5.200
52,2022-09-13,2022-09-13,1994-05-01,5.000
53,2022-09-13,2022-09-13,1994-06-01,6.000
54,2022-09-13,2022-09-13,1994-07-01,5.7
55,2022-09-13,2022-09-13,1994-08-01,4.9
56,2022-09-13,2022-09-13,1994-09-01,4.5
57,2022-09-13,2022-09-13,1994-10-01,4.5
58,2022-09-13,2022-09-13,1994-11-01,5.0
59,2022-09-13,2022-09-13,1994-12-01,5.1
60,2022-09-13,2022-09-13,1995-01-01,6.2
61,2022-09-13,2022-09-13,1995-02-01,5.5
62,2022-09-13,2022-09-13,1995-03-01,5.300
