,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,4.7
1,2022-09-13,2022-09-13,1990-02-01,5.0
2,2022-09-13,2022-09-13,1990-03-01,8.2
3,2022-09-13,2022-09-13,1990-04-01,4.9
4,2022-09-13,2022-09-13,1990-05-01,4.5
5,2022-09-13,2022-09-13,1990-06-01,5.5
6,2022-09-13,2022-09-13,1990-07-01,4.6
7,2022-09-13,2022-09-13,1990-08-01,5.0
8,2022-09-13,2022-09-13,1990-09-01,4.5
9,2022-09-13,2022-09-13,1990-10-01,3.9
10,2022-09-13,2022-09-13,1990-11-01,4.4
11,2022-09-13,2022-09-13,1990-12-01,5.0
12,2022-09-13,2022-09-13,1991-01-01,6.0
13,2022-09-13,2022-09-13,1991-02-01,5.9
14,2022-09-13,2022-09-13,1991-03-01,6.1
15,2022-09-13,2022-09-13,1991-04-01,5.2
16,2022-09-13,2022-09-13,1991-05-01,4.9
17,2022-09-13,2022-09-13,1991-06-01,5.8
18,2022-09-13,2022-09-13,1991-07-01,5.8
19,2022-09-13,2022-09-13,1991-08-01,5.8
20,2022-09-13,2022-09-13,1991-09-01,5.5
21,2022-09-13,2022-09-13,1991-10-01,5.4
22,2022-09-13,2022-09-13,1991-11-01,5.6
23,2022-09-13,2022-09-13,1991-12-01,5.5
24,2022-09-13,2022-09-13,1992-01-01,5.8
25,2022-09-13,2022-09-13,1992-02-01,5.9
26,2022-09-13,2022-09-13,1992-03-01,5.4
27,2022-09-13,2022-09-13,1992-04-01,5.0
28,2022-09-13,2022-09-13,1992-05-01,5.1
29,2022-09-13,2022-09-13,1992-06-01,5.8
30,2022-09-13,2022-09-13,1992-07-01,6.2
31,2022-09-13,2022-09-13,1992-08-01,6.9
32,2022-09-13,2022-09-13,1992-09-01,6.0
33,2022-09-13,2022-09-13,1992-10-01,5.5
34,2022-09-13,2022-09-13,1992-11-01,5.9
35,2022-09-13,2022-09-13,1992-12-01,5.7
36,2022-09-13,2022-09-13,1993-01-01,6.2
37,2022-09-13,2022-09-13,1993-02-01,6.2
38,2022-09-13,2022-09-13,1993-03-01,5.3
39,2022-09-13,2022-09-13,1993-04-01,5.1
40,2022-09-13,2022-09-13,1993-05-01,4.6
41,2022-09-13,2022-09-13,1993-06-01,5.6
42,2022-09-13,2022-09-13,1993-07-01,4.5
43,2022-09-13,2022-09-13,1993-08-01,4.5
44,2022-09-13,2022-09-13,1993-09-01,4.0
45,2022-09-13,2022-09-13,1993-10-01,4.1
46,2022-09-13,2022-09-13,1993-11-01,4.2
47,2022-09-13,2022-09-13,1993-12-01,4.0
48,2022-09-13,2022-09-13,1994-01-01,4.9
49,2022-09-13,2022-09-13,1994-02-01,5.1
50,2022-09-13,2022-09-13,1994-03-01,5.0
51,2022-09-13,2022-09-13,1994-04-01,4.2
52,2022-09-13,2022-09-13,1994-05-01,3.8
53,2022-09-13,2022-09-13,1994-06-01,4.7
54,2022-09-13,2022-09-13,1994-07-01,3.9
55,2022-09-13,2022-09-13,1994-08-01,3.8
56,2022-09-13,2022-09-13,1994-09-01,3.3
57,2022-09-13,2022-09-13,1994-10-01,3.9
58,2022-09-13,2022-09-13,1994-11-01,3.3
59,2022-09-13,2022-09-13,1994-12-01,3.2
60,2022-09-13,2022-09-13,1995-01-01,3.9
61,2022-09-13,2022-09-13,1995-02-01,3.9
62,2022-09-13,2022-09-13,1995-03-01,4.0
63,2022-09-13,2022-09-13,1995-04-01,3.4
64,2022-09-13,2022-09-13,1995-05-01,3.0
65,2022-09-13,2022-09-13,1995-06-01,3.8
66,2022-09-13,2022-09-13,1995-07-01,3.0
67,2022-09-13,2022-09-13,1995-08-01,3.1
68,2022-09-13,2022-09-13,1995-09-01,2.6
69,2022-09-13,2022-09-13,1995-10-01,2.4
70,2022-09-13,2022-09-13,1995-11-01,2.7
71,2022-09-13,2022-09-13,1995-12-01,3.0
72,2022-09-13,2022-09-13,1996-01-01,4.0
73,2022-09-13,2022-09-13,1996-02-01,4.0
74,2022-09-13,2022-09-13,1996-03-01,4.1
75,2022-09-13,2022-09-13,1996-04-01,3.6
76,2022-09-13,2022-09-13,1996-05-01,3.3
77,2022-09-13,2022-09-13,1996-06-01,4.0
78,2022-09-13,2022-09-13,1996-07-01,3.4
79,2022-09-13,2022-09-13,1996-08-01,3.0
80,2022-09-13,2022-09-13,1996-09-01,2.5
81,2022-09-13,2022-09-13,1996-10-01,2.3
82,2022-09-13,2022-09-13,1996-11-01,2.8
83,2022-09-13,2022-09-13,1996-12-01,3.0
84,2022-09-13,2022-09-13,1997-01-01,4.1
85,2022-09-13,2022-09-13,1997-02-01,4.0
86,2022-09-13,2022-09-13,1997-03-01,4.0
87,2022-09-13,2022-09-13,1997-04-01,3.5
88,2022-09-13,2022-09-13,1997-05-01,3.0
89,2022-09-13,2022-09-13,1997-06-01,3.8
90,2022-09-13,2022-09-13,1997-07-01,3.0
91,2022-09-13,2022-09-13,1997-08-01,3.0
92,2022-09-13,2022-09-13,1997-09-01,2.6
93,2022-09-13,2022-09-13,1997-10-01,2.2
94,2022-09-13,2022-09-13,1997-11-01,2.4
95,2022-09-13,2022-09-13,1997-12-01,2.7
96,2022-09-13,2022-09-13,1998-01-01,3.6
97,2022-09-13,2022-09-13,1998-02-01,3.7
98,2022-09-13,2022-09-13,1998-03-01,3.7
99,2022-09-13,2022-09-13,1998-04-01,2.7
100,2022-09-13,2022-09-13,1998-05-01,2.5
101,2022-09-13,2022-09-13,1998-06-01,3.5
102,2022-09-13,2022-09-13,1998-07-01,2.8
103,2022-09-13,2022-09-13,1998-08-01,2.7
104,2022-09-13,2022-09-13,1998-09-01,2.5
105,2022-09-13,2022-09-13,1998-10-01,2.3
106,2022-09-13,2022-09-13,1998-11-01,2.4
107,2022-09-13,2022-09-13,1998-12-01,2.5
108,2022-09-13,2022-09-13,1999-01-01,3.1
109,2022-09-13,2022-09-13,1999-02-01,3.3
110,2022-09-13,2022-09-13,1999-03-01,2.9
111,2022-09-13,2022-09-13,1999-04-01,3.4
112,2022-09-13,2022-09-13,1999-05-01,2.7
113,2022-09-13,2022-09-13,1999-06-01,3.2
114,2022-09-13,2022-09-13,1999-07-01,2.5
115,2022-09-13,2022-09-13,1999-08-01,2.5
116,2022-09-13,2022-09-13,1999-09-01,1.9
117,2022-09-13,2022-09-13,1999-10-01,1.9
118,2022-09-13,2022-09-13,1999-11-01,2.2
119,2022-09-13,2022-09-13,1999-12-01,2.3
120,2022-09-13,2022-09-13,2000-01-01,3.2
121,2022-09-13,2022-09-13,2000-02-01,3.4
122,2022-09-13,2022-09-13,2000-03-01,3.8
123,2022-09-13,2022-09-13,2000-04-01,3.3
124,2022-09-13,2022-09-13,2000-05-01,3.2
125,2022-09-13,2022-09-13,2000-06-01,3.9
126,2022-09-13,2022-09-13,2000-07-01,3.4
127,2022-09-13,2022-09-13,2000-08-01,3.3
128,2022-09-13,2022-09-13,2000-09-01,2.5
129,2022-09-13,2022-09-13,2000-10-01,2.3
130,2022-09-13,2022-09-13,2000-11-01,2.8
131,2022-09-13,2022-09-13,2000-12-01,2.9
132,2022-09-13,2022-09-13,2001-01-01,3.8
133,2022-09-13,2022-09-13,2001-02-01,4.3
134,2022-09-13,2022-09-13,2001-03-01,4.3
135,2022-09-13,2022-09-13,2001-04-01,4.0
136,2022-09-13,2022-09-13,2001-05-01,3.3
137,2022-09-13,2022-09-13,2001-06-01,4.3
138,2022-09-13,2022-09-13,2001-07-01,3.6
139,2022-09-13,2022-09-13,2001-08-01,4.0
140,2022-09-13,2022-09-13,2001-09-01,3.4
141,2022-09-13,2022-09-13,2001-10-01,3.7
142,2022-09-13,2022-09-13,2001-11-01,4.1
143,2022-09-13,2022-09-13,2001-12-01,4.2
144,2022-09-13,2022-09-13,2002-01-01,5.2
145,2022-09-13,2022-09-13,2002-02-01,5.6
146,2022-09-13,2022-09-13,2002-03-01,5.5
147,2022-09-13,2022-09-13,2002-04-01,5.0
148,2022-09-13,2022-09-13,2002-05-01,4.1
149,2022-09-13,2022-09-13,2002-06-01,5.1
150,2022-09-13,2022-09-13,2002-07-01,4.4
151,2022-09-13,2022-09-13,2002-08-01,4.2
152,2022-09-13,2022-09-13,2002-09-01,3.5
153,2022-09-13,2022-09-13,2002-10-01,3.4
154,2022-09-13,2022-09-13,2002-11-01,4.1
155,2022-09-13,2022-09-13,2002-12-01,4.2
156,2022-09-13,2022-09-13,2003-01-01,5.3
157,2022-09-13,2022-09-13,2003-02-01,5.4
158,2022-09-13,2022-09-13,2003-03-01,5.4
159,2022-09-13,2022-09-13,2003-04-01,5.0
160,2022-09-13,2022-09-13,2003-05-01,4.6
161,2022-09-13,2022-09-13,2003-06-01,5.7
162,2022-09-13,2022-09-13,2003-07-01,5.1
163,2022-09-13,2022-09-13,2003-08-01,4.7
164,2022-09-13,2022-09-13,2003-09-01,4.0
165,2022-09-13,2022-09-13,2003-10-01,3.7
166,2022-09-13,2022-09-13,2003-11-01,4.0
167,2022-09-13,2022-09-13,2003-12-01,3.9
168,2022-09-13,2022-09-13,2004-01-01,5.1
169,2022-09-13,2022-09-13,2004-02-01,5.1
170,2022-09-13,2022-09-13,2004-03-01,5.2
171,2022-09-13,2022-09-13,2004-04-01,4.6
172,2022-09-13,2022-09-13,2004-05-01,4.1
173,2022-09-13,2022-09-13,2004-06-01,5.1
174,2022-09-13,2022-09-13,2004-07-01,4.3
175,2022-09-13,2022-09-13,2004-08-01,4.2
176,2022-09-13,2022-09-13,2004-09-01,3.5
177,2022-09-13,2022-09-13,2004-10-01,3.3
178,2022-09-13,2022-09-13,2004-11-01,3.5
