,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,4.9
1,2022-09-13,2022-09-13,1990-02-01,7.6
2,2022-09-13,2022-09-13,1990-03-01,7.2
3,2022-09-13,2022-09-13,1990-04-01,5.4
4,2022-09-13,2022-09-13,1990-05-01,4.1
5,2022-09-13,2022-09-13,1990-06-01,4.3
6,2022-09-13,2022-09-13,1990-07-01,3.4
7,2022-09-13,2022-09-13,1990-08-01,3.3
8,2022-09-13,2022-09-13,1990-09-01,3.2
9,2022-09-13,2022-09-13,1990-10-01,2.7
10,2022-09-13,2022-09-13,1990-11-01,3.3
11,2022-09-13,2022-09-13,1990-12-01,3.1
12,2022-09-13,2022-09-13,1991-01-01,4.1
13,2022-09-13,2022-09-13,1991-02-01,3.7
14,2022-09-13,2022-09-13,1991-03-01,6.6
15,2022-09-13,2022-09-13,1991-04-01,4.2
16,2022-09-13,2022-09-13,1991-05-01,4.2
17,2022-09-13,2022-09-13,1991-06-01,4.0
18,2022-09-13,2022-09-13,1991-07-01,3.6
19,2022-09-13,2022-09-13,1991-08-01,2.7
20,2022-09-13,2022-09-13,1991-09-01,2.5
21,2022-09-13,2022-09-13,1991-10-01,2.2
22,2022-09-13,2022-09-13,1991-11-01,3.1
23,2022-09-13,2022-09-13,1991-12-01,3.4
24,2022-09-13,2022-09-13,1992-01-01,4.4
25,2022-09-13,2022-09-13,1992-02-01,5.7
26,2022-09-13,2022-09-13,1992-03-01,7.0
27,2022-09-13,2022-09-13,1992-04-01,4.7
28,2022-09-13,2022-09-13,1992-05-01,4.5
29,2022-09-13,2022-09-13,1992-06-01,4.7
30,2022-09-13,2022-09-13,1992-07-01,4.3
31,2022-09-13,2022-09-13,1992-08-01,3.7
32,2022-09-13,2022-09-13,1992-09-01,4.0
33,2022-09-13,2022-09-13,1992-10-01,3.2
34,2022-09-13,2022-09-13,1992-11-01,3.7
35,2022-09-13,2022-09-13,1992-12-01,3.7
36,2022-09-13,2022-09-13,1993-01-01,4.3
37,2022-09-13,2022-09-13,1993-02-01,6.9
38,2022-09-13,2022-09-13,1993-03-01,5.3
39,2022-09-13,2022-09-13,1993-04-01,3.7
40,2022-09-13,2022-09-13,1993-05-01,4.5
41,2022-09-13,2022-09-13,1993-06-01,4.8
42,2022-09-13,2022-09-13,1993-07-01,4.7
43,2022-09-13,2022-09-13,1993-08-01,4.4
44,2022-09-13,2022-09-13,1993-09-01,4.0
45,2022-09-13,2022-09-13,1993-10-01,3.2
46,2022-09-13,2022-09-13,1993-11-01,3.3
47,2022-09-13,2022-09-13,1993-12-01,3.6
48,2022-09-13,2022-09-13,1994-01-01,4.4
49,2022-09-13,2022-09-13,1994-02-01,6.5
50,2022-09-13,2022-09-13,1994-03-01,6.4
51,2022-09-13,2022-09-13,1994-04-01,5.1
52,2022-09-13,2022-09-13,1994-05-01,4.6
53,2022-09-13,2022-09-13,1994-06-01,4.5
54,2022-09-13,2022-09-13,1994-07-01,4.0
55,2022-09-13,2022-09-13,1994-08-01,4.0
56,2022-09-13,2022-09-13,1994-09-01,3.4
57,2022-09-13,2022-09-13,1994-10-01,2.9
58,2022-09-13,2022-09-13,1994-11-01,2.9
59,2022-09-13,2022-09-13,1994-12-01,3.2
60,2022-09-13,2022-09-13,1995-01-01,4.6
61,2022-09-13,2022-09-13,1995-02-01,5.5
62,2022-09-13,2022-09-13,1995-03-01,5.4
63,2022-09-13,2022-09-13,1995-04-01,4.7
64,2022-09-13,2022-09-13,1995-05-01,4.3
65,2022-09-13,2022-09-13,1995-06-01,4.5
66,2022-09-13,2022-09-13,1995-07-01,4.7
67,2022-09-13,2022-09-13,1995-08-01,4.4
68,2022-09-13,2022-09-13,1995-09-01,4.0
69,2022-09-13,2022-09-13,1995-10-01,3.3
70,2022-09-13,2022-09-13,1995-11-01,3.7
71,2022-09-13,2022-09-13,1995-12-01,3.6
72,2022-09-13,2022-09-13,1996-01-01,6.7
73,2022-09-13,2022-09-13,1996-02-01,6.3
74,2022-09-13,2022-09-13,1996-03-01,6.5
75,2022-09-13,2022-09-13,1996-04-01,5.0
76,2022-09-13,2022-09-13,1996-05-01,4.7
77,2022-09-13,2022-09-13,1996-06-01,4.6
78,2022-09-13,2022-09-13,1996-07-01,5.3
79,2022-09-13,2022-09-13,1996-08-01,4.7
80,2022-09-13,2022-09-13,1996-09-01,4.2
81,2022-09-13,2022-09-13,1996-10-01,3.9
82,2022-09-13,2022-09-13,1996-11-01,3.6
83,2022-09-13,2022-09-13,1996-12-01,4.7
84,2022-09-13,2022-09-13,1997-01-01,7.0
85,2022-09-13,2022-09-13,1997-02-01,6.7
86,2022-09-13,2022-09-13,1997-03-01,5.7
87,2022-09-13,2022-09-13,1997-04-01,5.3
88,2022-09-13,2022-09-13,1997-05-01,4.1
89,2022-09-13,2022-09-13,1997-06-01,4.1
90,2022-09-13,2022-09-13,1997-07-01,4.0
91,2022-09-13,2022-09-13,1997-08-01,4.1
92,2022-09-13,2022-09-13,1997-09-01,4.1
93,2022-09-13,2022-09-13,1997-10-01,3.5
94,2022-09-13,2022-09-13,1997-11-01,3.7
95,2022-09-13,2022-09-13,1997-12-01,4.3
96,2022-09-13,2022-09-13,1998-01-01,7.2
97,2022-09-13,2022-09-13,1998-02-01,6.3
98,2022-09-13,2022-09-13,1998-03-01,6.1
99,2022-09-13,2022-09-13,1998-04-01,4.2
100,2022-09-13,2022-09-13,1998-05-01,4.0
101,2022-09-13,2022-09-13,1998-06-01,4.3
102,2022-09-13,2022-09-13,1998-07-01,4.5
103,2022-09-13,2022-09-13,1998-08-01,4.4
104,2022-09-13,2022-09-13,1998-09-01,3.7
105,2022-09-13,2022-09-13,1998-10-01,3.4
106,2022-09-13,2022-09-13,1998-11-01,3.8
107,2022-09-13,2022-09-13,1998-12-01,4.2
108,2022-09-13,2022-09-13,1999-01-01,6.2
109,2022-09-13,2022-09-13,1999-02-01,5.4
110,2022-09-13,2022-09-13,1999-03-01,4.8
111,2022-09-13,2022-09-13,1999-04-01,3.1
112,2022-09-13,2022-09-13,1999-05-01,2.9
113,2022-09-13,2022-09-13,1999-06-01,3.5
114,2022-09-13,2022-09-13,1999-07-01,3.5
115,2022-09-13,2022-09-13,1999-08-01,3.5
116,2022-09-13,2022-09-13,1999-09-01,3.0
117,2022-09-13,2022-09-13,1999-10-01,2.7
118,2022-09-13,2022-09-13,1999-11-01,2.6
119,2022-09-13,2022-09-13,1999-12-01,2.4
120,2022-09-13,2022-09-13,2000-01-01,5.2
121,2022-09-13,2022-09-13,2000-02-01,4.8
122,2022-09-13,2022-09-13,2000-03-01,4.2
123,2022-09-13,2022-09-13,2000-04-01,3.2
124,2022-09-13,2022-09-13,2000-05-01,3.2
125,2022-09-13,2022-09-13,2000-06-01,3.3
126,2022-09-13,2022-09-13,2000-07-01,3.3
127,2022-09-13,2022-09-13,2000-08-01,3.4
128,2022-09-13,2022-09-13,2000-09-01,3.1
129,2022-09-13,2022-09-13,2000-10-01,2.7
130,2022-09-13,2022-09-13,2000-11-01,3.2
131,2022-09-13,2022-09-13,2000-12-01,3.3
132,2022-09-13,2022-09-13,2001-01-01,5.4
133,2022-09-13,2022-09-13,2001-02-01,4.8
134,2022-09-13,2022-09-13,2001-03-01,4.7
135,2022-09-13,2022-09-13,2001-04-01,4.0
136,2022-09-13,2022-09-13,2001-05-01,3.6
137,2022-09-13,2022-09-13,2001-06-01,4.1
138,2022-09-13,2022-09-13,2001-07-01,3.7
139,2022-09-13,2022-09-13,2001-08-01,3.8
140,2022-09-13,2022-09-13,2001-09-01,3.5
141,2022-09-13,2022-09-13,2001-10-01,3.3
142,2022-09-13,2022-09-13,2001-11-01,3.3
143,2022-09-13,2022-09-13,2001-12-01,3.5
144,2022-09-13,2022-09-13,2002-01-01,5.5
145,2022-09-13,2022-09-13,2002-02-01,4.9
146,2022-09-13,2022-09-13,2002-03-01,4.6
147,2022-09-13,2022-09-13,2002-04-01,4.3
148,2022-09-13,2022-09-13,2002-05-01,3.7
149,2022-09-13,2022-09-13,2002-06-01,4.4
150,2022-09-13,2022-09-13,2002-07-01,4.0
151,2022-09-13,2022-09-13,2002-08-01,3.8
152,2022-09-13,2022-09-13,2002-09-01,3.6
153,2022-09-13,2022-09-13,2002-10-01,3.3
154,2022-09-13,2022-09-13,2002-11-01,3.8
155,2022-09-13,2022-09-13,2002-12-01,4.0
156,2022-09-13,2022-09-13,2003-01-01,6.1
157,2022-09-13,2022-09-13,2003-02-01,5.5
158,2022-09-13,2022-09-13,2003-03-01,5.1
159,2022-09-13,2022-09-13,2003-04-01,4.2
160,2022-09-13,2022-09-13,2003-05-01,4.1
161,2022-09-13,2022-09-13,2003-06-01,4.8
162,2022-09-13,2022-09-13,2003-07-01,4.3
163,2022-09-13,2022-09-13,2003-08-01,4.3
164,2022-09-13,2022-09-13,2003-09-01,4.1
165,2022-09-13,2022-09-13,2003-10-01,3.6
166,2022-09-13,2022-09-13,2003-11-01,3.9
167,2022-09-13,2022-09-13,2003-12-01,3.8
168,2022-09-13,2022-09-13,2004-01-01,5.6
169,2022-09-13,2022-09-13,2004-02-01,5.2
170,2022-09-13,2022-09-13,2004-03-01,5.1
171,2022-09-13,2022-09-13,2004-04-01,4.1
172,2022-09-13,2022-09-13,2004-05-01,3.8
173,2022-09-13,2022-09-13,2004-06-01,4.2
174,2022-09-13,2022-09-13,2004-07-01,4.1
175,2022-09-13,2022-09-13,2004-08-01,3.8
176,2022-09-13,2022-09-13,2004-09-01,4.0
177,2022-09-13,2022-09-13,2004-10-01,3.8
178,2022-09-13,2022-09-13,2004-11-01,4.1
179,2022-09-13,2022-09-13,2004-12-01,4.2
180,2022-09-13,2022-09-13,2005-01-01,5.1
181,2022-09-13,2022-09-13,2005-02-01,5.0
182,2022-09-13,2022-09-13,2005-03-01,5.1
183,2022-09-13,2022-09-13,2005-04-01,4.2
184,2022-09-13,2022-09-13,2005-05-01,4.0
185,2022-09-13,2022-09-13,2005-06-01,4.5
186,2022-09-13,2022-09-13,2005-07-01,4.2
187,2022-09-13,2022-09-13,2005-08-01,4.0
188,2022-09-13,2022-09-13,2005-09-01,4.3
189,2022-09-13,2022-09-13,2005-10-01,3.9
190,2022-09-13,2022-09-13,2005-11-01,4.0
191,2022-09-13,2022-09-13,2005-12-01,4.0
192,2022-09-13,2022-09-13,2006-01-01,4.2
193,2022-09-13,2022-09-13,2006-02-01,4.5
194,2022-09-13,2022-09-13,2006-03-01,4.6
195,2022-09-13,2022-09-13,2006-04-01,4.0
196,2022-09-13,2022-09-13,2006-05-01,3.8
197,2022-09-13,2022-09-13,2006-06-01,4.1
198,2022-09-13,2022-09-13,2006-07-01,3.7
199,2022-09-13,2022-09-13,2006-08-01,3.3
200,2022-09-13,2022-09-13,2006-09-01,3.1
201,2022-09-13,2022-09-13,2006-10-01,2.9
202,2022-09-13,2022-09-13,2006-11-01,3.0
203,2022-09-13,2022-09-13,2006-12-01,2.7
204,2022-09-13,2022-09-13,2007-01-01,3.7
205,2022-09-13,2022-09-13,2007-02-01,3.2
206,2022-09-13,2022-09-13,2007-03-01,2.9
207,2022-09-13,2022-09-13,2007-04-01,3.2
208,2022-09-13,2022-09-13,2007-05-01,3.0
209,2022-09-13,2022-09-13,2007-06-01,3.6
210,2022-09-13,2022-09-13,2007-07-01,3.4
211,2022-09-13,2022-09-13,2007-08-01,3.0
212,2022-09-13,2022-09-13,2007-09-01,2.7
213,2022-09-13,2022-09-13,2007-10-01,2.7
214,2022-09-13,2022-09-13,2007-11-01,2.6
215,2022-09-13,2022-09-13,2007-12-01,2.5
216,2022-09-13,2022-09-13,2008-01-01,3.7
217,2022-09-13,2022-09-13,2008-02-01,4.1
218,2022-09-13,2022-09-13,2008-03-01,3.9
219,2022-09-13,2022-09-13,2008-04-01,3.3
220,2022-09-13,2022-09-13,2008-05-01,3.0
221,2022-09-13,2022-09-13,2008-06-01,3.7
222,2022-09-13,2022-09-13,2008-07-01,3.8
223,2022-09-13,2022-09-13,2008-08-01,3.5
224,2022-09-13,2022-09-13,2008-09-01,2.9
225,2022-09-13,2022-09-13,2008-10-01,2.8
226,2022-09-13,2022-09-13,2008-11-01,2.9
227,2022-09-13,2022-09-13,2008-12-01,3.2
228,2022-09-13,2022-09-13,2009-01-01,4.7
229,2022-09-13,2022-09-13,2009-02-01,5.1
230,2022-09-13,2022-09-13,2009-03-01,5.5
231,2022-09-13,2022-09-13,2009-04-01,5.4
232,2022-09-13,2022-09-13,2009-05-01,5.2
