,realtime_start,realtime_end,date,value
0,2022-09-14,2022-09-14,1990-01-01,5.2
1,2022-09-14,2022-09-14,1990-02-01,5.6
2,2022-09-14,2022-09-14,1990-03-01,5.1
3,2022-09-14,2022-09-14,1990-04-01,5.0
4,2022-09-14,2022-09-14,1990-05-01,5.8
5,2022-09-14,2022-09-14,1990-06-01,7.0
6,2022-09-14,2022-09-14,1990-07-01,5.8
7,2022-09-14,2022-09-14,1990-08-01,6.5
8,2022-09-14,2022-09-14,1990-09-01,7.0
9,2022-09-14,2022-09-14,1990-10-01,6.4
10,2022-09-14,2022-09-14,1990-11-01,7.2
11,2022-09-14,2022-09-14,1990-12-01,6.7
12,2022-09-14,2022-09-14,1991-01-01,5.0
13,2022-09-14,2022-09-14,1991-02-01,5.1
14,2022-09-14,2022-09-14,1991-03-01,5.0
15,2022-09-14,2022-09-14,1991-04-01,4.9
16,2022-09-14,2022-09-14,1991-05-01,5.4
17,2022-09-14,2022-09-14,1991-06-01,6.2
18,2022-09-14,2022-09-14,1991-07-01,5.1
19,2022-09-14,2022-09-14,1991-08-01,5.4
20,2022-09-14,2022-09-14,1991-09-01,5.7
21,2022-09-14,2022-09-14,1991-10-01,5.1
22,2022-09-14,2022-09-14,1991-11-01,4.5
23,2022-09-14,2022-09-14,1991-12-01,4.8
24,2022-09-14,2022-09-14,1992-01-01,3.9
25,2022-09-14,2022-09-14,1992-02-01,4.1
26,2022-09-14,2022-09-14,1992-03-01,3.4
27,2022-09-14,2022-09-14,1992-04-01,3.2
28,2022-09-14,2022-09-14,1992-05-01,3.6
29,2022-09-14,2022-09-14,1992-06-01,3.8
30,2022-09-14,2022-09-14,1992-07-01,3.3
31,2022-09-14,2022-09-14,1992-08-01,3.3
32,2022-09-14,2022-09-14,1992-09-01,3.4
33,2022-09-14,2022-09-14,1992-10-01,3.5
34,2022-09-14,2022-09-14,1992-11-01,3.5
35,2022-09-14,2022-09-14,1992-12-01,3.2
36,2022-09-14,2022-09-14,1993-01-01,3.6
37,2022-09-14,2022-09-14,1993-02-01,3.1
38,2022-09-14,2022-09-14,1993-03-01,3.2
39,2022-09-14,2022-09-14,1993-04-01,3.0
40,2022-09-14,2022-09-14,1993-05-01,3.2
41,2022-09-14,2022-09-14,1993-06-01,3.5
42,2022-09-14,2022-09-14,1993-07-01,3.3
43,2022-09-14,2022-09-14,1993-08-01,3.4
44,2022-09-14,2022-09-14,1993-09-01,2.5
45,2022-09-14,2022-09-14,1993-10-01,2.8
