,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,1.4
1,2022-09-13,2022-09-13,1990-02-01,1.9
2,2022-09-13,2022-09-13,1990-03-01,2.2
3,2022-09-13,2022-09-13,1990-04-01,2.1
4,2022-09-13,2022-09-13,1990-05-01,2.6
5,2022-09-13,2022-09-13,1990-06-01,1.4
6,2022-09-13,2022-09-13,1990-07-01,1.0
7,2022-09-13,2022-09-13,1990-08-01,0.7
8,2022-09-13,2022-09-13,1990-09-01,1.4
9,2022-09-13,2022-09-13,1990-10-01,1.5
10,2022-09-13,2022-09-13,1990-11-01,0.7
11,2022-09-13,2022-09-13,1990-12-01,0.4
12,2022-09-13,2022-09-13,1991-01-01,1.4
13,2022-09-13,2022-09-13,1991-02-01,1.2
14,2022-09-13,2022-09-13,1991-03-01,1.1
15,2022-09-13,2022-09-13,1991-04-01,0.6
16,2022-09-13,2022-09-13,1991-05-01,0.6
17,2022-09-13,2022-09-13,1991-06-01,1.1
18,2022-09-13,2022-09-13,1991-07-01,1.4
19,2022-09-13,2022-09-13,1991-08-01,1.3
20,2022-09-13,2022-09-13,1991-09-01,1.4
21,2022-09-13,2022-09-13,1991-10-01,1.2
22,2022-09-13,2022-09-13,1991-11-01,1.6
23,2022-09-13,2022-09-13,1991-12-01,2.2
24,2022-09-13,2022-09-13,1992-01-01,2.7
25,2022-09-13,2022-09-13,1992-02-01,1.9
26,2022-09-13,2022-09-13,1992-03-01,1.6
27,2022-09-13,2022-09-13,1992-04-01,1.1
28,2022-09-13,2022-09-13,1992-05-01,0.7
29,2022-09-13,2022-09-13,1992-06-01,1.5
30,2022-09-13,2022-09-13,1992-07-01,1.7
31,2022-09-13,2022-09-13,1992-08-01,1.8
32,2022-09-13,2022-09-13,1992-09-01,2.1
33,2022-09-13,2022-09-13,1992-10-01,1.9
34,2022-09-13,2022-09-13,1992-11-01,2.2
35,2022-09-13,2022-09-13,1992-12-01,2.1
36,2022-09-13,2022-09-13,1993-01-01,1.9
37,2022-09-13,2022-09-13,1993-02-01,2.0
38,2022-09-13,2022-09-13,1993-03-01,2.6
39,2022-09-13,2022-09-13,1993-04-01,1.9
40,2022-09-13,2022-09-13,1993-05-01,1.8
41,2022-09-13,2022-09-13,1993-06-01,2.6
42,2022-09-13,2022-09-13,1993-07-01,1.8
43,2022-09-13,2022-09-13,1993-08-01,1.9
44,2022-09-13,2022-09-13,1993-09-01,1.9
45,2022-09-13,2022-09-13,1993-10-01,1.2
46,2022-09-13,2022-09-13,1993-11-01,1.9
47,2022-09-13,2022-09-13,1993-12-01,1.5
48,2022-09-13,2022-09-13,1994-01-01,1.9
49,2022-09-13,2022-09-13,1994-02-01,1.8
50,2022-09-13,2022-09-13,1994-03-01,1.9
51,2022-09-13,2022-09-13,1994-04-01,1.7
52,2022-09-13,2022-09-13,1994-05-01,2.4
53,2022-09-13,2022-09-13,1994-06-01,2.7
54,2022-09-13,2022-09-13,1994-07-01,3.3
55,2022-09-13,2022-09-13,1994-08-01,2.6
56,2022-09-13,2022-09-13,1994-09-01,2.8
57,2022-09-13,2022-09-13,1994-10-01,2.5
58,2022-09-13,2022-09-13,1994-11-01,2.1
59,2022-09-13,2022-09-13,1994-12-01,2.3
60,2022-09-13,2022-09-13,1995-01-01,2.3
61,2022-09-13,2022-09-13,1995-02-01,2.1
62,2022-09-13,2022-09-13,1995-03-01,2.2
63,2022-09-13,2022-09-13,1995-04-01,2.2
64,2022-09-13,2022-09-13,1995-05-01,2.6
65,2022-09-13,2022-09-13,1995-06-01,1.7
66,2022-09-13,2022-09-13,1995-07-01,2.9
67,2022-09-13,2022-09-13,1995-08-01,2.7
68,2022-09-13,2022-09-13,1995-09-01,2.7
69,2022-09-13,2022-09-13,1995-10-01,2.7
70,2022-09-13,2022-09-13,1995-11-01,1.8
71,2022-09-13,2022-09-13,1995-12-01,1.7
72,2022-09-13,2022-09-13,1996-01-01,2.2
73,2022-09-13,2022-09-13,1996-02-01,1.9
74,2022-09-13,2022-09-13,1996-03-01,2.6
75,2022-09-13,2022-09-13,1996-04-01,1.9
76,2022-09-13,2022-09-13,1996-05-01,2.4
77,2022-09-13,2022-09-13,1996-06-01,2.6
78,2022-09-13,2022-09-13,1996-07-01,2.2
79,2022-09-13,2022-09-13,1996-08-01,2.9
80,2022-09-13,2022-09-13,1996-09-01,2.3
81,2022-09-13,2022-09-13,1996-10-01,3.0
82,2022-09-13,2022-09-13,1996-11-01,1.9
83,2022-09-13,2022-09-13,1996-12-01,2.4
84,2022-09-13,2022-09-13,1997-01-01,1.6
85,2022-09-13,2022-09-13,1997-02-01,1.8
86,2022-09-13,2022-09-13,1997-03-01,2.2
87,2022-09-13,2022-09-13,1997-04-01,1.7
88,2022-09-13,2022-09-13,1997-05-01,1.5
89,2022-09-13,2022-09-13,1997-06-01,1.7
90,2022-09-13,2022-09-13,1997-07-01,1.8
91,2022-09-13,2022-09-13,1997-08-01,1.8
92,2022-09-13,2022-09-13,1997-09-01,1.8
93,2022-09-13,2022-09-13,1997-10-01,1.8
94,2022-09-13,2022-09-13,1997-11-01,3.0
95,2022-09-13,2022-09-13,1997-12-01,1.9
96,2022-09-13,2022-09-13,1998-01-01,2.7
97,2022-09-13,2022-09-13,1998-02-01,1.8
98,2022-09-13,2022-09-13,1998-03-01,2.7
99,2022-09-13,2022-09-13,1998-04-01,2.4
100,2022-09-13,2022-09-13,1998-05-01,3.0
101,2022-09-13,2022-09-13,1998-06-01,1.9
102,2022-09-13,2022-09-13,1998-07-01,2.0
103,2022-09-13,2022-09-13,1998-08-01,1.9
104,2022-09-13,2022-09-13,1998-09-01,1.6
105,2022-09-13,2022-09-13,1998-10-01,1.9
106,2022-09-13,2022-09-13,1998-11-01,2.0
107,2022-09-13,2022-09-13,1998-12-01,1.5
108,2022-09-13,2022-09-13,1999-01-01,2.1
109,2022-09-13,2022-09-13,1999-02-01,2.2
110,2022-09-13,2022-09-13,1999-03-01,2.2
111,2022-09-13,2022-09-13,1999-04-01,2.0
112,2022-09-13,2022-09-13,1999-05-01,2.0
113,2022-09-13,2022-09-13,1999-06-01,2.4
114,2022-09-13,2022-09-13,1999-07-01,2.8
115,2022-09-13,2022-09-13,1999-08-01,2.5
116,2022-09-13,2022-09-13,1999-09-01,1.7
117,2022-09-13,2022-09-13,1999-10-01,1.7
118,2022-09-13,2022-09-13,1999-11-01,2.4
119,2022-09-13,2022-09-13,1999-12-01,1.9
120,2022-09-13,2022-09-13,2000-01-01,2.8
121,2022-09-13,2022-09-13,2000-02-01,2.7
122,2022-09-13,2022-09-13,2000-03-01,3.3
123,2022-09-13,2022-09-13,2000-04-01,2.8
124,2022-09-13,2022-09-13,2000-05-01,3.1
125,2022-09-13,2022-09-13,2000-06-01,4.1
126,2022-09-13,2022-09-13,2000-07-01,5.1
127,2022-09-13,2022-09-13,2000-08-01,4.3
128,2022-09-13,2022-09-13,2000-09-01,3.5
129,2022-09-13,2022-09-13,2000-10-01,3.9
130,2022-09-13,2022-09-13,2000-11-01,3.6
131,2022-09-13,2022-09-13,2000-12-01,2.7
132,2022-09-13,2022-09-13,2001-01-01,3.3
133,2022-09-13,2022-09-13,2001-02-01,3.2
134,2022-09-13,2022-09-13,2001-03-01,3.4
