,realtime_start,realtime_end,date,value
0,2022-09-14,2022-09-14,1990-01-01,2.5
1,2022-09-14,2022-09-14,1990-02-01,2.3
2,2022-09-14,2022-09-14,1990-03-01,1.8
3,2022-09-14,2022-09-14,1990-04-01,1.9
4,2022-09-14,2022-09-14,1990-05-01,2.1
5,2022-09-14,2022-09-14,1990-06-01,2.0
6,2022-09-14,2022-09-14,1990-07-01,2.2
7,2022-09-14,2022-09-14,1990-08-01,1.6
8,2022-09-14,2022-09-14,1990-09-01,1.4
9,2022-09-14,2022-09-14,1990-10-01,1.5
10,2022-09-14,2022-09-14,1990-11-01,1.2
11,2022-09-14,2022-09-14,1990-12-01,1.5
12,2022-09-14,2022-09-14,1991-01-01,1.9
13,2022-09-14,2022-09-14,1991-02-01,1.9
14,2022-09-14,2022-09-14,1991-03-01,2.4
15,2022-09-14,2022-09-14,1991-04-01,2.0
16,2022-09-14,2022-09-14,1991-05-01,1.7
17,2022-09-14,2022-09-14,1991-06-01,2.0
18,2022-09-14,2022-09-14,1991-07-01,1.7
19,2022-09-14,2022-09-14,1991-08-01,1.7
20,2022-09-14,2022-09-14,1991-09-01,2.0
21,2022-09-14,2022-09-14,1991-10-01,1.8
22,2022-09-14,2022-09-14,1991-11-01,1.9
23,2022-09-14,2022-09-14,1991-12-01,1.5
24,2022-09-14,2022-09-14,1992-01-01,2.1
25,2022-09-14,2022-09-14,1992-02-01,1.8
26,2022-09-14,2022-09-14,1992-03-01,1.4
27,2022-09-14,2022-09-14,1992-04-01,1.6
28,2022-09-14,2022-09-14,1992-05-01,1.7
29,2022-09-14,2022-09-14,1992-06-01,2.2
30,2022-09-14,2022-09-14,1992-07-01,2.1
31,2022-09-14,2022-09-14,1992-08-01,2.1
32,2022-09-14,2022-09-14,1992-09-01,2.0
33,2022-09-14,2022-09-14,1992-10-01,1.8
34,2022-09-14,2022-09-14,1992-11-01,1.2
35,2022-09-14,2022-09-14,1992-12-01,2.1
36,2022-09-14,2022-09-14,1993-01-01,2.3
37,2022-09-14,2022-09-14,1993-02-01,2.3
38,2022-09-14,2022-09-14,1993-03-01,2.2
39,2022-09-14,2022-09-14,1993-04-01,1.8
40,2022-09-14,2022-09-14,1993-05-01,1.6
41,2022-09-14,2022-09-14,1993-06-01,1.7
42,2022-09-14,2022-09-14,1993-07-01,1.5
43,2022-09-14,2022-09-14,1993-08-01,1.2
44,2022-09-14,2022-09-14,1993-09-01,1.4
45,2022-09-14,2022-09-14,1993-10-01,1.6
46,2022-09-14,2022-09-14,1993-11-01,1.3
47,2022-09-14,2022-09-14,1993-12-01,1.6
48,2022-09-14,2022-09-14,1994-01-01,2.4
49,2022-09-14,2022-09-14,1994-02-01,2.2
50,2022-09-14,2022-09-14,1994-03-01,2.1
51,2022-09-14,2022-09-14,1994-04-01,1.8
52,2022-09-14,2022-09-14,1994-05-01,1.6
53,2022-09-14,2022-09-14,1994-06-01,1.9
54,2022-09-14,2022-09-14,1994-07-01,1.8
55,2022-09-14,2022-09-14,1994-08-01,1.8
56,2022-09-14,2022-09-14,1994-09-01,1.5
57,2022-09-14,2022-09-14,1994-10-01,1.5
58,2022-09-14,2022-09-14,1994-11-01,1.6
59,2022-09-14,2022-09-14,1994-12-01,1.2
60,2022-09-14,2022-09-14,1995-01-01,2.2
61,2022-09-14,2022-09-14,1995-02-01,1.3
62,2022-09-14,2022-09-14,1995-03-01,1.5
63,2022-09-14,2022-09-14,1995-04-01,1.6
64,2022-09-14,2022-09-14,1995-05-01,1.6
65,2022-09-14,2022-09-14,1995-06-01,2.0
66,2022-09-14,2022-09-14,1995-07-01,1.9
67,2022-09-14,2022-09-14,1995-08-01,1.7
68,2022-09-14,2022-09-14,1995-09-01,2.1
69,2022-09-14,2022-09-14,1995-10-01,2.0
70,2022-09-14,2022-09-14,1995-11-01,1.5
71,2022-09-14,2022-09-14,1995-12-01,1.9
72,2022-09-14,2022-09-14,1996-01-01,2.4
73,2022-09-14,2022-09-14,1996-02-01,2.1
74,2022-09-14,2022-09-14,1996-03-01,1.9
75,2022-09-14,2022-09-14,1996-04-01,1.7
76,2022-09-14,2022-09-14,1996-05-01,1.8
77,2022-09-14,2022-09-14,1996-06-01,2.2
78,2022-09-14,2022-09-14,1996-07-01,2.0
79,2022-09-14,2022-09-14,1996-08-01,1.5
80,2022-09-14,2022-09-14,1996-09-01,1.6
81,2022-09-14,2022-09-14,1996-10-01,1.5
82,2022-09-14,2022-09-14,1996-11-01,1.7
83,2022-09-14,2022-09-14,1996-12-01,1.5
84,2022-09-14,2022-09-14,1997-01-01,2.5
85,2022-09-14,2022-09-14,1997-02-01,2.0
86,2022-09-14,2022-09-14,1997-03-01,1.8
87,2022-09-14,2022-09-14,1997-04-01,1.6
88,2022-09-14,2022-09-14,1997-05-01,1.5
89,2022-09-14,2022-09-14,1997-06-01,1.7
90,2022-09-14,2022-09-14,1997-07-01,1.6
91,2022-09-14,2022-09-14,1997-08-01,1.3
92,2022-09-14,2022-09-14,1997-09-01,1.3
93,2022-09-14,2022-09-14,1997-10-01,1.1
94,2022-09-14,2022-09-14,1997-11-01,1.1
95,2022-09-14,2022-09-14,1997-12-01,1.3
96,2022-09-14,2022-09-14,1998-01-01,2.4
97,2022-09-14,2022-09-14,1998-02-01,2.3
98,2022-09-14,2022-09-14,1998-03-01,2.3
99,2022-09-14,2022-09-14,1998-04-01,1.4
100,2022-09-14,2022-09-14,1998-05-01,1.6
101,2022-09-14,2022-09-14,1998-06-01,1.9
102,2022-09-14,2022-09-14,1998-07-01,1.9
103,2022-09-14,2022-09-14,1998-08-01,1.7
104,2022-09-14,2022-09-14,1998-09-01,1.4
105,2022-09-14,2022-09-14,1998-10-01,1.7
106,2022-09-14,2022-09-14,1998-11-01,1.4
107,2022-09-14,2022-09-14,1998-12-01,1.5
108,2022-09-14,2022-09-14,1999-01-01,2.0
109,2022-09-14,2022-09-14,1999-02-01,1.9
110,2022-09-14,2022-09-14,1999-03-01,1.9
111,2022-09-14,2022-09-14,1999-04-01,2.1
112,2022-09-14,2022-09-14,1999-05-01,2.1
113,2022-09-14,2022-09-14,1999-06-01,2.6
114,2022-09-14,2022-09-14,1999-07-01,2.5
115,2022-09-14,2022-09-14,1999-08-01,2.2
116,2022-09-14,2022-09-14,1999-09-01,2.1
117,2022-09-14,2022-09-14,1999-10-01,2.3
118,2022-09-14,2022-09-14,1999-11-01,2.4
119,2022-09-14,2022-09-14,1999-12-01,2.0
120,2022-09-14,2022-09-14,2000-01-01,2.3
121,2022-09-14,2022-09-14,2000-02-01,2.4
122,2022-09-14,2022-09-14,2000-03-01,2.1
123,2022-09-14,2022-09-14,2000-04-01,1.9
124,2022-09-14,2022-09-14,2000-05-01,2.0
125,2022-09-14,2022-09-14,2000-06-01,2.2
126,2022-09-14,2022-09-14,2000-07-01,2.1
127,2022-09-14,2022-09-14,2000-08-01,1.7
128,2022-09-14,2022-09-14,2000-09-01,1.6
129,2022-09-14,2022-09-14,2000-10-01,2.2
130,2022-09-14,2022-09-14,2000-11-01,1.8
131,2022-09-14,2022-09-14,2000-12-01,2.1
132,2022-09-14,2022-09-14,2001-01-01,2.8
133,2022-09-14,2022-09-14,2001-02-01,2.6
134,2022-09-14,2022-09-14,2001-03-01,2.4
135,2022-09-14,2022-09-14,2001-04-01,2.0
136,2022-09-14,2022-09-14,2001-05-01,2.2
137,2022-09-14,2022-09-14,2001-06-01,2.5
138,2022-09-14,2022-09-14,2001-07-01,2.5
139,2022-09-14,2022-09-14,2001-08-01,2.2
140,2022-09-14,2022-09-14,2001-09-01,2.0
141,2022-09-14,2022-09-14,2001-10-01,2.1
142,2022-09-14,2022-09-14,2001-11-01,2.4
143,2022-09-14,2022-09-14,2001-12-01,2.6
144,2022-09-14,2022-09-14,2002-01-01,3.0
145,2022-09-14,2022-09-14,2002-02-01,3.0
146,2022-09-14,2022-09-14,2002-03-01,3.0
147,2022-09-14,2022-09-14,2002-04-01,2.9
148,2022-09-14,2022-09-14,2002-05-01,2.1
149,2022-09-14,2022-09-14,2002-06-01,2.9
150,2022-09-14,2022-09-14,2002-07-01,2.6
151,2022-09-14,2022-09-14,2002-08-01,2.7
152,2022-09-14,2022-09-14,2002-09-01,2.8
153,2022-09-14,2022-09-14,2002-10-01,2.5
154,2022-09-14,2022-09-14,2002-11-01,2.8
155,2022-09-14,2022-09-14,2002-12-01,2.9
156,2022-09-14,2022-09-14,2003-01-01,3.3
157,2022-09-14,2022-09-14,2003-02-01,2.7
158,2022-09-14,2022-09-14,2003-03-01,2.8
159,2022-09-14,2022-09-14,2003-04-01,2.8
160,2022-09-14,2022-09-14,2003-05-01,2.8
161,2022-09-14,2022-09-14,2003-06-01,3.1
162,2022-09-14,2022-09-14,2003-07-01,2.8
163,2022-09-14,2022-09-14,2003-08-01,2.5
164,2022-09-14,2022-09-14,2003-09-01,2.6
165,2022-09-14,2022-09-14,2003-10-01,2.5
166,2022-09-14,2022-09-14,2003-11-01,2.5
167,2022-09-14,2022-09-14,2003-12-01,2.3
168,2022-09-14,2022-09-14,2004-01-01,2.8
169,2022-09-14,2022-09-14,2004-02-01,2.8
170,2022-09-14,2022-09-14,2004-03-01,3.0
171,2022-09-14,2022-09-14,2004-04-01,2.8
172,2022-09-14,2022-09-14,2004-05-01,3.1
173,2022-09-14,2022-09-14,2004-06-01,3.3
174,2022-09-14,2022-09-14,2004-07-01,3.2
175,2022-09-14,2022-09-14,2004-08-01,3.2
176,2022-09-14,2022-09-14,2004-09-01,2.9
177,2022-09-14,2022-09-14,2004-10-01,2.5
178,2022-09-14,2022-09-14,2004-11-01,2.5
179,2022-09-14,2022-09-14,2004-12-01,2.6
180,2022-09-14,2022-09-14,2005-01-01,3.3
181,2022-09-14,2022-09-14,2005-02-01,2.9
182,2022-09-14,2022-09-14,2005-03-01,3.0
183,2022-09-14,2022-09-14,2005-04-01,3.0
184,2022-09-14,2022-09-14,2005-05-01,3.1
185,2022-09-14,2022-09-14,2005-06-01,2.8
186,2022-09-14,2022-09-14,2005-07-01,2.9
187,2022-09-14,2022-09-14,2005-08-01,2.7
188,2022-09-14,2022-09-14,2005-09-01,2.7
189,2022-09-14,2022-09-14,2005-10-01,2.5
190,2022-09-14,2022-09-14,2005-11-01,2.6
191,2022-09-14,2022-09-14,2005-12-01,2.3
192,2022-09-14,2022-09-14,2006-01-01,2.8
193,2022-09-14,2022-09-14,2006-02-01,2.8
194,2022-09-14,2022-09-14,2006-03-01,2.7
195,2022-09-14,2022-09-14,2006-04-01,3.0
196,2022-09-14,2022-09-14,2006-05-01,2.2
197,2022-09-14,2022-09-14,2006-06-01,2.4
198,2022-09-14,2022-09-14,2006-07-01,2.3
199,2022-09-14,2022-09-14,2006-08-01,2.0
200,2022-09-14,2022-09-14,2006-09-01,2.0
201,2022-09-14,2022-09-14,2006-10-01,1.6
202,2022-09-14,2022-09-14,2006-11-01,1.9
203,2022-09-14,2022-09-14,2006-12-01,1.7
204,2022-09-14,2022-09-14,2007-01-01,2.4
205,2022-09-14,2022-09-14,2007-02-01,1.8
206,2022-09-14,2022-09-14,2007-03-01,1.9
207,2022-09-14,2022-09-14,2007-04-01,2.0
208,2022-09-14,2022-09-14,2007-05-01,2.2
209,2022-09-14,2022-09-14,2007-06-01,2.4
210,2022-09-14,2022-09-14,2007-07-01,2.4
211,2022-09-14,2022-09-14,2007-08-01,2.3
212,2022-09-14,2022-09-14,2007-09-01,2.0
213,2022-09-14,2022-09-14,2007-10-01,2.3
214,2022-09-14,2022-09-14,2007-11-01,2.4
215,2022-09-14,2022-09-14,2007-12-01,1.9
216,2022-09-14,2022-09-14,2008-01-01,2.7
217,2022-09-14,2022-09-14,2008-02-01,2.8
218,2022-09-14,2022-09-14,2008-03-01,2.5
219,2022-09-14,2022-09-14,2008-04-01,2.2
220,2022-09-14,2022-09-14,2008-05-01,2.8
221,2022-09-14,2022-09-14,2008-06-01,3.2
222,2022-09-14,2022-09-14,2008-07-01,3.1
223,2022-09-14,2022-09-14,2008-08-01,2.8
224,2022-09-14,2022-09-14,2008-09-01,2.7
225,2022-09-14,2022-09-14,2008-10-01,2.3
226,2022-09-14,2022-09-14,2008-11-01,2.3
227,2022-09-14,2022-09-14,2008-12-01,2.5
228,2022-09-14,2022-09-14,2009-01-01,3.8
229,2022-09-14,2022-09-14,2009-02-01,3.5
230,2022-09-14,2022-09-14,2009-03-01,4.0
231,2022-09-14,2022-09-14,2009-04-01,3.4
232,2022-09-14,2022-09-14,2009-05-01,4.0
233,2022-09-14,2022-09-14,2009-06-01,4.4
234,2022-09-14,2022-09-14,2009-07-01,4.2
235,2022-09-14,2022-09-14,2009-08-01,4.1
236,2022-09-14,2022-09-14,2009-09-01,4.0
237,2022-09-14,2022-09-14,2009-10-01,3.9
238,2022-09-14,2022-09-14,2009-11-01,3.6
239,2022-09-14,2022-09-14,2009-12-01,3.8
240,2022-09-14,2022-09-14,2010-01-01,4.5
241,2022-09-14,2022-09-14,2010-02-01,4.1
242,2022-09-14,2022-09-14,2010-03-01,4.1
243,2022-09-14,2022-09-14,2010-04-01,3.4
244,2022-09-14,2022-09-14,2010-05-01,3.2
245,2022-09-14,2022-09-14,2010-06-01,3.7
246,2022-09-14,2022-09-14,2010-07-01,3.5
247,2022-09-14,2022-09-14,2010-08-01,3.3
248,2022-09-14,2022-09-14,2010-09-01,3.4
249,2022-09-14,2022-09-14,2010-10-01,3.2
