,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,3.0
1,2022-09-13,2022-09-13,1990-02-01,4.1
2,2022-09-13,2022-09-13,1990-03-01,2.4
3,2022-09-13,2022-09-13,1990-04-01,1.3
4,2022-09-13,2022-09-13,1990-05-01,4.1
5,2022-09-13,2022-09-13,1990-06-01,1.1
6,2022-09-13,2022-09-13,1990-07-01,2.0
7,2022-09-13,2022-09-13,1990-08-01,2.2
8,2022-09-13,2022-09-13,1990-09-01,2.6
9,2022-09-13,2022-09-13,1990-10-01,2.3
10,2022-09-13,2022-09-13,1990-11-01,2.5
11,2022-09-13,2022-09-13,1990-12-01,2.7
12,2022-09-13,2022-09-13,1991-01-01,3.3
13,2022-09-13,2022-09-13,1991-02-01,2.9
14,2022-09-13,2022-09-13,1991-03-01,3.2
15,2022-09-13,2022-09-13,1991-04-01,2.3
16,2022-09-13,2022-09-13,1991-05-01,1.9
17,2022-09-13,2022-09-13,1991-06-01,1.2
18,2022-09-13,2022-09-13,1991-07-01,1.2
19,2022-09-13,2022-09-13,1991-08-01,1.7
20,2022-09-13,2022-09-13,1991-09-01,2.0
21,2022-09-13,2022-09-13,1991-10-01,1.6
22,2022-09-13,2022-09-13,1991-11-01,2.7
23,2022-09-13,2022-09-13,1991-12-01,3.0
24,2022-09-13,2022-09-13,1992-01-01,3.3
25,2022-09-13,2022-09-13,1992-02-01,3.0
26,2022-09-13,2022-09-13,1992-03-01,3.0
27,2022-09-13,2022-09-13,1992-04-01,16.8
28,2022-09-13,2022-09-13,1992-05-01,13.2
29,2022-09-13,2022-09-13,1992-06-01,2.1
30,2022-09-13,2022-09-13,1992-07-01,1.5
31,2022-09-13,2022-09-13,1992-08-01,1.9
32,2022-09-13,2022-09-13,1992-09-01,2.2
33,2022-09-13,2022-09-13,1992-10-01,2.1
34,2022-09-13,2022-09-13,1992-11-01,4.4
35,2022-09-13,2022-09-13,1992-12-01,3.4
36,2022-09-13,2022-09-13,1993-01-01,4.0
