,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,7.6
1,2022-09-13,2022-09-13,1990-02-01,7.7
2,2022-09-13,2022-09-13,1990-03-01,8.8
3,2022-09-13,2022-09-13,1990-04-01,10.4
4,2022-09-13,2022-09-13,1990-05-01,10.8
5,2022-09-13,2022-09-13,1990-06-01,11.7
6,2022-09-13,2022-09-13,1990-07-01,12.6
7,2022-09-13,2022-09-13,1990-08-01,12.8
8,2022-09-13,2022-09-13,1990-09-01,12.2
9,2022-09-13,2022-09-13,1990-10-01,10.4
10,2022-09-13,2022-09-13,1990-11-01,9.9
11,2022-09-13,2022-09-13,1990-12-01,9.1
12,2022-09-13,2022-09-13,1991-01-01,9.3
13,2022-09-13,2022-09-13,1991-02-01,8.6
14,2022-09-13,2022-09-13,1991-03-01,8.1
15,2022-09-13,2022-09-13,1991-04-01,8.1
16,2022-09-13,2022-09-13,1991-05-01,10.1
17,2022-09-13,2022-09-13,1991-06-01,11.9
18,2022-09-13,2022-09-13,1991-07-01,12.4
19,2022-09-13,2022-09-13,1991-08-01,12.4
20,2022-09-13,2022-09-13,1991-09-01,12.2
21,2022-09-13,2022-09-13,1991-10-01,10.8
22,2022-09-13,2022-09-13,1991-11-01,10.3
23,2022-09-13,2022-09-13,1991-12-01,9.6
24,2022-09-13,2022-09-13,1992-01-01,10.3
25,2022-09-13,2022-09-13,1992-02-01,10.1
26,2022-09-13,2022-09-13,1992-03-01,10.0
27,2022-09-13,2022-09-13,1992-04-01,9.6
28,2022-09-13,2022-09-13,1992-05-01,10.6
29,2022-09-13,2022-09-13,1992-06-01,13.1
30,2022-09-13,2022-09-13,1992-07-01,13.9
31,2022-09-13,2022-09-13,1992-08-01,13.6
32,2022-09-13,2022-09-13,1992-09-01,13.4
33,2022-09-13,2022-09-13,1992-10-01,11.4
34,2022-09-13,2022-09-13,1992-11-01,11.1
35,2022-09-13,2022-09-13,1992-12-01,10.1
36,2022-09-13,2022-09-13,1993-01-01,10.5
37,2022-09-13,2022-09-13,1993-02-01,9.8
38,2022-09-13,2022-09-13,1993-03-01,9.0
39,2022-09-13,2022-09-13,1993-04-01,8.6
40,2022-09-13,2022-09-13,1993-05-01,9.2
41,2022-09-13,2022-09-13,1993-06-01,11.4
42,2022-09-13,2022-09-13,1993-07-01,11.9
43,2022-09-13,2022-09-13,1993-08-01,11.7
44,2022-09-13,2022-09-13,1993-09-01,11.4
45,2022-09-13,2022-09-13,1993-10-01,10.5
46,2022-09-13,2022-09-13,1993-11-01,9.6
47,2022-09-13,2022-09-13,1993-12-01,8.2
48,2022-09-13,2022-09-13,1994-01-01,9.2
49,2022-09-13,2022-09-13,1994-02-01,8.5
50,2022-09-13,2022-09-13,1994-03-01,8.3
51,2022-09-13,2022-09-13,1994-04-01,8.0
52,2022-09-13,2022-09-13,1994-05-01,7.6
53,2022-09-13,2022-09-13,1994-06-01,8.9
54,2022-09-13,2022-09-13,1994-07-01,10.7
55,2022-09-13,2022-09-13,1994-08-01,10.6
56,2022-09-13,2022-09-13,1994-09-01,9.7
57,2022-09-13,2022-09-13,1994-10-01,8.3
58,2022-09-13,2022-09-13,1994-11-01,7.2
59,2022-09-13,2022-09-13,1994-12-01,6.1
60,2022-09-13,2022-09-13,1995-01-01,6.8
61,2022-09-13,2022-09-13,1995-02-01,5.8
62,2022-09-13,2022-09-13,1995-03-01,5.7
63,2022-09-13,2022-09-13,1995-04-01,6.0
64,2022-09-13,2022-09-13,1995-05-01,6.3
65,2022-09-13,2022-09-13,1995-06-01,8.9
66,2022-09-13,2022-09-13,1995-07-01,9.8
67,2022-09-13,2022-09-13,1995-08-01,9.6
68,2022-09-13,2022-09-13,1995-09-01,9.3
69,2022-09-13,2022-09-13,1995-10-01,7.7
70,2022-09-13,2022-09-13,1995-11-01,6.8
71,2022-09-13,2022-09-13,1995-12-01,6.0
72,2022-09-13,2022-09-13,1996-01-01,6.2
73,2022-09-13,2022-09-13,1996-02-01,5.8
74,2022-09-13,2022-09-13,1996-03-01,5.6
75,2022-09-13,2022-09-13,1996-04-01,5.4
76,2022-09-13,2022-09-13,1996-05-01,6.0
77,2022-09-13,2022-09-13,1996-06-01,7.3
78,2022-09-13,2022-09-13,1996-07-01,9.3
79,2022-09-13,2022-09-13,1996-08-01,8.9
80,2022-09-13,2022-09-13,1996-09-01,8.7
81,2022-09-13,2022-09-13,1996-10-01,7.3
82,2022-09-13,2022-09-13,1996-11-01,6.8
83,2022-09-13,2022-09-13,1996-12-01,5.9
84,2022-09-13,2022-09-13,1997-01-01,6.5
85,2022-09-13,2022-09-13,1997-02-01,5.8
86,2022-09-13,2022-09-13,1997-03-01,5.9
87,2022-09-13,2022-09-13,1997-04-01,5.6
88,2022-09-13,2022-09-13,1997-05-01,5.8
89,2022-09-13,2022-09-13,1997-06-01,7.8
90,2022-09-13,2022-09-13,1997-07-01,8.9
91,2022-09-13,2022-09-13,1997-08-01,9.0
92,2022-09-13,2022-09-13,1997-09-01,8.1
93,2022-09-13,2022-09-13,1997-10-01,6.6
94,2022-09-13,2022-09-13,1997-11-01,5.9
95,2022-09-13,2022-09-13,1997-12-01,5.3
96,2022-09-13,2022-09-13,1998-01-01,5.6
97,2022-09-13,2022-09-13,1998-02-01,5.0
98,2022-09-13,2022-09-13,1998-03-01,4.9
99,2022-09-13,2022-09-13,1998-04-01,4.4
100,2022-09-13,2022-09-13,1998-05-01,4.8
101,2022-09-13,2022-09-13,1998-06-01,6.6
102,2022-09-13,2022-09-13,1998-07-01,8.1
103,2022-09-13,2022-09-13,1998-08-01,7.9
104,2022-09-13,2022-09-13,1998-09-01,7.5
105,2022-09-13,2022-09-13,1998-10-01,5.9
106,2022-09-13,2022-09-13,1998-11-01,5.2
107,2022-09-13,2022-09-13,1998-12-01,4.1
108,2022-09-13,2022-09-13,1999-01-01,4.8
109,2022-09-13,2022-09-13,1999-02-01,4.5
110,2022-09-13,2022-09-13,1999-03-01,4.1
111,2022-09-13,2022-09-13,1999-04-01,4.0
112,2022-09-13,2022-09-13,1999-05-01,4.0
113,2022-09-13,2022-09-13,1999-06-01,6.0
114,2022-09-13,2022-09-13,1999-07-01,7.2
115,2022-09-13,2022-09-13,1999-08-01,7.0
116,2022-09-13,2022-09-13,1999-09-01,6.6
117,2022-09-13,2022-09-13,1999-10-01,5.1
118,2022-09-13,2022-09-13,1999-11-01,4.8
119,2022-09-13,2022-09-13,1999-12-01,3.9
120,2022-09-13,2022-09-13,2000-01-01,4.0
121,2022-09-13,2022-09-13,2000-02-01,3.6
122,2022-09-13,2022-09-13,2000-03-01,3.5
123,2022-09-13,2022-09-13,2000-04-01,3.3
124,2022-09-13,2022-09-13,2000-05-01,3.6
125,2022-09-13,2022-09-13,2000-06-01,4.4
126,2022-09-13,2022-09-13,2000-07-01,5.2
127,2022-09-13,2022-09-13,2000-08-01,5.2
128,2022-09-13,2022-09-13,2000-09-01,4.9
129,2022-09-13,2022-09-13,2000-10-01,4.2
130,2022-09-13,2022-09-13,2000-11-01,4.2
131,2022-09-13,2022-09-13,2000-12-01,3.8
132,2022-09-13,2022-09-13,2001-01-01,4.5
133,2022-09-13,2022-09-13,2001-02-01,4.1
134,2022-09-13,2022-09-13,2001-03-01,4.1
135,2022-09-13,2022-09-13,2001-04-01,4.2
136,2022-09-13,2022-09-13,2001-05-01,4.1
137,2022-09-13,2022-09-13,2001-06-01,5.2
138,2022-09-13,2022-09-13,2001-07-01,6.0
139,2022-09-13,2022-09-13,2001-08-01,6.0
140,2022-09-13,2022-09-13,2001-09-01,5.7
141,2022-09-13,2022-09-13,2001-10-01,5.6
142,2022-09-13,2022-09-13,2001-11-01,5.4
143,2022-09-13,2022-09-13,2001-12-01,5.3
144,2022-09-13,2022-09-13,2002-01-01,5.4
145,2022-09-13,2022-09-13,2002-02-01,4.9
146,2022-09-13,2022-09-13,2002-03-01,4.8
147,2022-09-13,2022-09-13,2002-04-01,4.8
148,2022-09-13,2022-09-13,2002-05-01,4.7
149,2022-09-13,2022-09-13,2002-06-01,5.6
150,2022-09-13,2022-09-13,2002-07-01,6.1
151,2022-09-13,2022-09-13,2002-08-01,6.1
152,2022-09-13,2022-09-13,2002-09-01,5.6
153,2022-09-13,2022-09-13,2002-10-01,5.2
154,2022-09-13,2022-09-13,2002-11-01,5.0
155,2022-09-13,2022-09-13,2002-12-01,4.6
156,2022-09-13,2022-09-13,2003-01-01,5.1
157,2022-09-13,2022-09-13,2003-02-01,4.7
158,2022-09-13,2022-09-13,2003-03-01,4.5
