,realtime_start,realtime_end,date,value
0,2022-09-14,2022-09-14,1990-01-01,11.6
1,2022-09-14,2022-09-14,1990-02-01,9.1
2,2022-09-14,2022-09-14,1990-03-01,7.1
3,2022-09-14,2022-09-14,1990-04-01,6.1
4,2022-09-14,2022-09-14,1990-05-01,5.6
5,2022-09-14,2022-09-14,1990-06-01,5.4
6,2022-09-14,2022-09-14,1990-07-01,5.2
7,2022-09-14,2022-09-14,1990-08-01,4.8
8,2022-09-14,2022-09-14,1990-09-01,5.4
9,2022-09-14,2022-09-14,1990-10-01,6.8
10,2022-09-14,2022-09-14,1990-11-01,8.3
11,2022-09-14,2022-09-14,1990-12-01,8.9
12,2022-09-14,2022-09-14,1991-01-01,9.6
13,2022-09-14,2022-09-14,1991-02-01,10.8
14,2022-09-14,2022-09-14,1991-03-01,10.4
15,2022-09-14,2022-09-14,1991-04-01,8.0
16,2022-09-14,2022-09-14,1991-05-01,6.8
17,2022-09-14,2022-09-14,1991-06-01,6.6
18,2022-09-14,2022-09-14,1991-07-01,6.9
19,2022-09-14,2022-09-14,1991-08-01,5.8
20,2022-09-14,2022-09-14,1991-09-01,5.4
21,2022-09-14,2022-09-14,1991-10-01,6.1
22,2022-09-14,2022-09-14,1991-11-01,6.6
23,2022-09-14,2022-09-14,1991-12-01,7.9
24,2022-09-14,2022-09-14,1992-01-01,9.5
25,2022-09-14,2022-09-14,1992-02-01,9.8
26,2022-09-14,2022-09-14,1992-03-01,8.3
27,2022-09-14,2022-09-14,1992-04-01,6.4
28,2022-09-14,2022-09-14,1992-05-01,6.6
29,2022-09-14,2022-09-14,1992-06-01,7.0
30,2022-09-14,2022-09-14,1992-07-01,8.6
31,2022-09-14,2022-09-14,1992-08-01,6.9
32,2022-09-14,2022-09-14,1992-09-01,5.7
33,2022-09-14,2022-09-14,1992-10-01,6.0
34,2022-09-14,2022-09-14,1992-11-01,6.7
35,2022-09-14,2022-09-14,1992-12-01,7.8
36,2022-09-14,2022-09-14,1993-01-01,9.4
37,2022-09-14,2022-09-14,1993-02-01,8.6
38,2022-09-14,2022-09-14,1993-03-01,8.9
39,2022-09-14,2022-09-14,1993-04-01,8.2
40,2022-09-14,2022-09-14,1993-05-01,6.5
41,2022-09-14,2022-09-14,1993-06-01,6.7
42,2022-09-14,2022-09-14,1993-07-01,7.1
43,2022-09-14,2022-09-14,1993-08-01,4.7
44,2022-09-14,2022-09-14,1993-09-01,4.9
45,2022-09-14,2022-09-14,1993-10-01,4.9
46,2022-09-14,2022-09-14,1993-11-01,5.0
47,2022-09-14,2022-09-14,1993-12-01,5.6
48,2022-09-14,2022-09-14,1994-01-01,7.3
49,2022-09-14,2022-09-14,1994-02-01,7.5
50,2022-09-14,2022-09-14,1994-03-01,6.7
51,2022-09-14,2022-09-14,1994-04-01,5.9
52,2022-09-14,2022-09-14,1994-05-01,4.8
53,2022-09-14,2022-09-14,1994-06-01,4.4
54,2022-09-14,2022-09-14,1994-07-01,5.8
55,2022-09-14,2022-09-14,1994-08-01,3.6
56,2022-09-14,2022-09-14,1994-09-01,3.6
57,2022-09-14,2022-09-14,1994-10-01,4.0
58,2022-09-14,2022-09-14,1994-11-01,5.7
59,2022-09-14,2022-09-14,1994-12-01,5.2
60,2022-09-14,2022-09-14,1995-01-01,5.8
61,2022-09-14,2022-09-14,1995-02-01,5.6
62,2022-09-14,2022-09-14,1995-03-01,4.9
63,2022-09-14,2022-09-14,1995-04-01,4.4
64,2022-09-14,2022-09-14,1995-05-01,4.1
65,2022-09-14,2022-09-14,1995-06-01,4.5
66,2022-09-14,2022-09-14,1995-07-01,4.8
67,2022-09-14,2022-09-14,1995-08-01,3.9
68,2022-09-14,2022-09-14,1995-09-01,3.8
69,2022-09-14,2022-09-14,1995-10-01,3.8
70,2022-09-14,2022-09-14,1995-11-01,5.2
71,2022-09-14,2022-09-14,1995-12-01,5.1
72,2022-09-14,2022-09-14,1996-01-01,6.5
73,2022-09-14,2022-09-14,1996-02-01,6.6
74,2022-09-14,2022-09-14,1996-03-01,4.8
75,2022-09-14,2022-09-14,1996-04-01,4.0
76,2022-09-14,2022-09-14,1996-05-01,3.9
77,2022-09-14,2022-09-14,1996-06-01,5.2
78,2022-09-14,2022-09-14,1996-07-01,5.5
79,2022-09-14,2022-09-14,1996-08-01,5.5
80,2022-09-14,2022-09-14,1996-09-01,4.9
81,2022-09-14,2022-09-14,1996-10-01,4.6
82,2022-09-14,2022-09-14,1996-11-01,5.0
83,2022-09-14,2022-09-14,1996-12-01,5.2
