,realtime_start,realtime_end,date,value
0,2022-09-14,2022-09-14,1990-01-01,6.7
1,2022-09-14,2022-09-14,1990-02-01,6.8
2,2022-09-14,2022-09-14,1990-03-01,6.5
3,2022-09-14,2022-09-14,1990-04-01,10.0
4,2022-09-14,2022-09-14,1990-05-01,9.8
5,2022-09-14,2022-09-14,1990-06-01,7.9
6,2022-09-14,2022-09-14,1990-07-01,7.3
7,2022-09-14,2022-09-14,1990-08-01,7.6
8,2022-09-14,2022-09-14,1990-09-01,6.8
9,2022-09-14,2022-09-14,1990-10-01,6.0
10,2022-09-14,2022-09-14,1990-11-01,7.1
11,2022-09-14,2022-09-14,1990-12-01,7.9
12,2022-09-14,2022-09-14,1991-01-01,11.7
13,2022-09-14,2022-09-14,1991-02-01,9.9
14,2022-09-14,2022-09-14,1991-03-01,18.9
15,2022-09-14,2022-09-14,1991-04-01,8.6
16,2022-09-14,2022-09-14,1991-05-01,8.3
17,2022-09-14,2022-09-14,1991-06-01,8.6
18,2022-09-14,2022-09-14,1991-07-01,8.5
19,2022-09-14,2022-09-14,1991-08-01,7.4
20,2022-09-14,2022-09-14,1991-09-01,7.5
21,2022-09-14,2022-09-14,1991-10-01,6.8
22,2022-09-14,2022-09-14,1991-11-01,7.2
23,2022-09-14,2022-09-14,1991-12-01,7.9
24,2022-09-14,2022-09-14,1992-01-01,9.4
25,2022-09-14,2022-09-14,1992-02-01,10.1
26,2022-09-14,2022-09-14,1992-03-01,9.9
27,2022-09-14,2022-09-14,1992-04-01,9.0
28,2022-09-14,2022-09-14,1992-05-01,9.4
29,2022-09-14,2022-09-14,1992-06-01,10.6
30,2022-09-14,2022-09-14,1992-07-01,9.3
31,2022-09-14,2022-09-14,1992-08-01,8.6
32,2022-09-14,2022-09-14,1992-09-01,8.0
33,2022-09-14,2022-09-14,1992-10-01,7.3
34,2022-09-14,2022-09-14,1992-11-01,7.7
35,2022-09-14,2022-09-14,1992-12-01,8.2
36,2022-09-14,2022-09-14,1993-01-01,9.1
37,2022-09-14,2022-09-14,1993-02-01,8.4
38,2022-09-14,2022-09-14,1993-03-01,8.5
39,2022-09-14,2022-09-14,1993-04-01,7.7
40,2022-09-14,2022-09-14,1993-05-01,7.3
41,2022-09-14,2022-09-14,1993-06-01,8.3
42,2022-09-14,2022-09-14,1993-07-01,8.4
43,2022-09-14,2022-09-14,1993-08-01,7.5
44,2022-09-14,2022-09-14,1993-09-01,7.5
45,2022-09-14,2022-09-14,1993-10-01,7.1
46,2022-09-14,2022-09-14,1993-11-01,7.2
47,2022-09-14,2022-09-14,1993-12-01,7.4
48,2022-09-14,2022-09-14,1994-01-01,9.5
49,2022-09-14,2022-09-14,1994-02-01,9.7
50,2022-09-14,2022-09-14,1994-03-01,9.3
51,2022-09-14,2022-09-14,1994-04-01,8.8
52,2022-09-14,2022-09-14,1994-05-01,8.1
53,2022-09-14,2022-09-14,1994-06-01,8.6
54,2022-09-14,2022-09-14,1994-07-01,8.4
55,2022-09-14,2022-09-14,1994-08-01,7.5
56,2022-09-14,2022-09-14,1994-09-01,7.1
57,2022-09-14,2022-09-14,1994-10-01,6.3
58,2022-09-14,2022-09-14,1994-11-01,6.6
59,2022-09-14,2022-09-14,1994-12-01,6.3
60,2022-09-14,2022-09-14,1995-01-01,7.5
61,2022-09-14,2022-09-14,1995-02-01,7.2
62,2022-09-14,2022-09-14,1995-03-01,7.1
63,2022-09-14,2022-09-14,1995-04-01,7.3
64,2022-09-14,2022-09-14,1995-05-01,7.1
65,2022-09-14,2022-09-14,1995-06-01,8.0
66,2022-09-14,2022-09-14,1995-07-01,7.4
67,2022-09-14,2022-09-14,1995-08-01,7.1
68,2022-09-14,2022-09-14,1995-09-01,7.2
69,2022-09-14,2022-09-14,1995-10-01,6.5
70,2022-09-14,2022-09-14,1995-11-01,7.1
71,2022-09-14,2022-09-14,1995-12-01,7.3
72,2022-09-14,2022-09-14,1996-01-01,8.7
73,2022-09-14,2022-09-14,1996-02-01,7.8
74,2022-09-14,2022-09-14,1996-03-01,7.5
75,2022-09-14,2022-09-14,1996-04-01,7.3
76,2022-09-14,2022-09-14,1996-05-01,6.9
77,2022-09-14,2022-09-14,1996-06-01,7.2
78,2022-09-14,2022-09-14,1996-07-01,7.5
79,2022-09-14,2022-09-14,1996-08-01,7.1
80,2022-09-14,2022-09-14,1996-09-01,6.8
81,2022-09-14,2022-09-14,1996-10-01,6.2
82,2022-09-14,2022-09-14,1996-11-01,7.2
83,2022-09-14,2022-09-14,1996-12-01,7.2
84,2022-09-14,2022-09-14,1997-01-01,8.8
85,2022-09-14,2022-09-14,1997-02-01,9.2
86,2022-09-14,2022-09-14,1997-03-01,8.3
87,2022-09-14,2022-09-14,1997-04-01,7.4
88,2022-09-14,2022-09-14,1997-05-01,7.2
89,2022-09-14,2022-09-14,1997-06-01,8.2
90,2022-09-14,2022-09-14,1997-07-01,7.4
91,2022-09-14,2022-09-14,1997-08-01,7.3
92,2022-09-14,2022-09-14,1997-09-01,6.7
93,2022-09-14,2022-09-14,1997-10-01,5.9
94,2022-09-14,2022-09-14,1997-11-01,6.4
95,2022-09-14,2022-09-14,1997-12-01,6.2
96,2022-09-14,2022-09-14,1998-01-01,6.9
97,2022-09-14,2022-09-14,1998-02-01,6.0
98,2022-09-14,2022-09-14,1998-03-01,7.0
99,2022-09-14,2022-09-14,1998-04-01,5.8
100,2022-09-14,2022-09-14,1998-05-01,6.0
101,2022-09-14,2022-09-14,1998-06-01,7.4
102,2022-09-14,2022-09-14,1998-07-01,7.7
103,2022-09-14,2022-09-14,1998-08-01,7.6
104,2022-09-14,2022-09-14,1998-09-01,7.8
105,2022-09-14,2022-09-14,1998-10-01,6.5
106,2022-09-14,2022-09-14,1998-11-01,5.8
107,2022-09-14,2022-09-14,1998-12-01,6.3
108,2022-09-14,2022-09-14,1999-01-01,7.0
109,2022-09-14,2022-09-14,1999-02-01,6.7
110,2022-09-14,2022-09-14,1999-03-01,6.0
111,2022-09-14,2022-09-14,1999-04-01,4.9
112,2022-09-14,2022-09-14,1999-05-01,4.9
113,2022-09-14,2022-09-14,1999-06-01,5.3
114,2022-09-14,2022-09-14,1999-07-01,4.9
115,2022-09-14,2022-09-14,1999-08-01,4.5
116,2022-09-14,2022-09-14,1999-09-01,4.1
117,2022-09-14,2022-09-14,1999-10-01,4.1
118,2022-09-14,2022-09-14,1999-11-01,3.8
119,2022-09-14,2022-09-14,1999-12-01,3.8
120,2022-09-14,2022-09-14,2000-01-01,5.1
121,2022-09-14,2022-09-14,2000-02-01,5.2
122,2022-09-14,2022-09-14,2000-03-01,5.3
123,2022-09-14,2022-09-14,2000-04-01,4.7
124,2022-09-14,2022-09-14,2000-05-01,4.9
125,2022-09-14,2022-09-14,2000-06-01,5.3
126,2022-09-14,2022-09-14,2000-07-01,4.8
127,2022-09-14,2022-09-14,2000-08-01,5.1
128,2022-09-14,2022-09-14,2000-09-01,4.9
129,2022-09-14,2022-09-14,2000-10-01,4.4
130,2022-09-14,2022-09-14,2000-11-01,5.1
131,2022-09-14,2022-09-14,2000-12-01,4.5
132,2022-09-14,2022-09-14,2001-01-01,5.3
133,2022-09-14,2022-09-14,2001-02-01,6.1
134,2022-09-14,2022-09-14,2001-03-01,6.5
135,2022-09-14,2022-09-14,2001-04-01,6.0
136,2022-09-14,2022-09-14,2001-05-01,6.8
137,2022-09-14,2022-09-14,2001-06-01,9.8
138,2022-09-14,2022-09-14,2001-07-01,9.2
139,2022-09-14,2022-09-14,2001-08-01,9.3
140,2022-09-14,2022-09-14,2001-09-01,8.9
141,2022-09-14,2022-09-14,2001-10-01,9.8
142,2022-09-14,2022-09-14,2001-11-01,10.3
143,2022-09-14,2022-09-14,2001-12-01,10.3
144,2022-09-14,2022-09-14,2002-01-01,10.0
