,realtime_start,realtime_end,date,value
0,2022-09-14,2022-09-14,1990-01-01,6.7
1,2022-09-14,2022-09-14,1990-02-01,6.1
2,2022-09-14,2022-09-14,1990-03-01,5.7
3,2022-09-14,2022-09-14,1990-04-01,4.4
4,2022-09-14,2022-09-14,1990-05-01,3.3
5,2022-09-14,2022-09-14,1990-06-01,3.3
6,2022-09-14,2022-09-14,1990-07-01,3.3
7,2022-09-14,2022-09-14,1990-08-01,2.8
8,2022-09-14,2022-09-14,1990-09-01,3.1
9,2022-09-14,2022-09-14,1990-10-01,2.6
10,2022-09-14,2022-09-14,1990-11-01,3.3
11,2022-09-14,2022-09-14,1990-12-01,4.4
12,2022-09-14,2022-09-14,1991-01-01,6.5
13,2022-09-14,2022-09-14,1991-02-01,6.2
14,2022-09-14,2022-09-14,1991-03-01,5.5
15,2022-09-14,2022-09-14,1991-04-01,3.4
16,2022-09-14,2022-09-14,1991-05-01,3.0
17,2022-09-14,2022-09-14,1991-06-01,3.2
18,2022-09-14,2022-09-14,1991-07-01,2.8
19,2022-09-14,2022-09-14,1991-08-01,3.1
20,2022-09-14,2022-09-14,1991-09-01,2.8
21,2022-09-14,2022-09-14,1991-10-01,2.5
22,2022-09-14,2022-09-14,1991-11-01,2.9
23,2022-09-14,2022-09-14,1991-12-01,4.2
24,2022-09-14,2022-09-14,1992-01-01,4.4
25,2022-09-14,2022-09-14,1992-02-01,4.4
26,2022-09-14,2022-09-14,1992-03-01,3.7
27,2022-09-14,2022-09-14,1992-04-01,2.5
28,2022-09-14,2022-09-14,1992-05-01,2.1
29,2022-09-14,2022-09-14,1992-06-01,2.3
30,2022-09-14,2022-09-14,1992-07-01,2.4
31,2022-09-14,2022-09-14,1992-08-01,2.7
32,2022-09-14,2022-09-14,1992-09-01,2.9
33,2022-09-14,2022-09-14,1992-10-01,2.3
34,2022-09-14,2022-09-14,1992-11-01,2.7
35,2022-09-14,2022-09-14,1992-12-01,3.1
36,2022-09-14,2022-09-14,1993-01-01,5.6
37,2022-09-14,2022-09-14,1993-02-01,5.2
38,2022-09-14,2022-09-14,1993-03-01,4.9
39,2022-09-14,2022-09-14,1993-04-01,3.7
40,2022-09-14,2022-09-14,1993-05-01,2.8
41,2022-09-14,2022-09-14,1993-06-01,2.8
42,2022-09-14,2022-09-14,1993-07-01,3.0
43,2022-09-14,2022-09-14,1993-08-01,2.6
44,2022-09-14,2022-09-14,1993-09-01,2.2
45,2022-09-14,2022-09-14,1993-10-01,2.1
46,2022-09-14,2022-09-14,1993-11-01,2.3
47,2022-09-14,2022-09-14,1993-12-01,3.2
48,2022-09-14,2022-09-14,1994-01-01,5.5
49,2022-09-14,2022-09-14,1994-02-01,5.1
50,2022-09-14,2022-09-14,1994-03-01,4.7
51,2022-09-14,2022-09-14,1994-04-01,3.2
52,2022-09-14,2022-09-14,1994-05-01,2.6
53,2022-09-14,2022-09-14,1994-06-01,2.8
54,2022-09-14,2022-09-14,1994-07-01,2.9
55,2022-09-14,2022-09-14,1994-08-01,3.2
56,2022-09-14,2022-09-14,1994-09-01,3.1
57,2022-09-14,2022-09-14,1994-10-01,3.3
58,2022-09-14,2022-09-14,1994-11-01,3.2
59,2022-09-14,2022-09-14,1994-12-01,4.1
60,2022-09-14,2022-09-14,1995-01-01,5.8
61,2022-09-14,2022-09-14,1995-02-01,5.3
62,2022-09-14,2022-09-14,1995-03-01,4.7
63,2022-09-14,2022-09-14,1995-04-01,3.9
64,2022-09-14,2022-09-14,1995-05-01,3.4
65,2022-09-14,2022-09-14,1995-06-01,3.3
66,2022-09-14,2022-09-14,1995-07-01,3.3
67,2022-09-14,2022-09-14,1995-08-01,3.3
68,2022-09-14,2022-09-14,1995-09-01,3.2
69,2022-09-14,2022-09-14,1995-10-01,3.2
70,2022-09-14,2022-09-14,1995-11-01,3.2
71,2022-09-14,2022-09-14,1995-12-01,4.2
72,2022-09-14,2022-09-14,1996-01-01,6.1
73,2022-09-14,2022-09-14,1996-02-01,5.5
74,2022-09-14,2022-09-14,1996-03-01,4.8
75,2022-09-14,2022-09-14,1996-04-01,3.8
76,2022-09-14,2022-09-14,1996-05-01,3.4
77,2022-09-14,2022-09-14,1996-06-01,3.1
78,2022-09-14,2022-09-14,1996-07-01,2.9
79,2022-09-14,2022-09-14,1996-08-01,3.0
80,2022-09-14,2022-09-14,1996-09-01,3.1
81,2022-09-14,2022-09-14,1996-10-01,2.8
82,2022-09-14,2022-09-14,1996-11-01,3.3
83,2022-09-14,2022-09-14,1996-12-01,3.9
84,2022-09-14,2022-09-14,1997-01-01,5.7
85,2022-09-14,2022-09-14,1997-02-01,4.9
86,2022-09-14,2022-09-14,1997-03-01,4.2
87,2022-09-14,2022-09-14,1997-04-01,3.2
88,2022-09-14,2022-09-14,1997-05-01,2.3
89,2022-09-14,2022-09-14,1997-06-01,2.7
90,2022-09-14,2022-09-14,1997-07-01,2.4
91,2022-09-14,2022-09-14,1997-08-01,2.4
92,2022-09-14,2022-09-14,1997-09-01,2.6
93,2022-09-14,2022-09-14,1997-10-01,2.4
94,2022-09-14,2022-09-14,1997-11-01,2.4
95,2022-09-14,2022-09-14,1997-12-01,3.5
96,2022-09-14,2022-09-14,1998-01-01,5.0
97,2022-09-14,2022-09-14,1998-02-01,4.4
98,2022-09-14,2022-09-14,1998-03-01,4.8
99,2022-09-14,2022-09-14,1998-04-01,3.4
100,2022-09-14,2022-09-14,1998-05-01,2.6
101,2022-09-14,2022-09-14,1998-06-01,2.9
102,2022-09-14,2022-09-14,1998-07-01,2.4
103,2022-09-14,2022-09-14,1998-08-01,2.7
104,2022-09-14,2022-09-14,1998-09-01,2.7
105,2022-09-14,2022-09-14,1998-10-01,2.4
106,2022-09-14,2022-09-14,1998-11-01,2.3
107,2022-09-14,2022-09-14,1998-12-01,3.0
108,2022-09-14,2022-09-14,1999-01-01,4.2
109,2022-09-14,2022-09-14,1999-02-01,4.0
110,2022-09-14,2022-09-14,1999-03-01,3.4
111,2022-09-14,2022-09-14,1999-04-01,2.6
112,2022-09-14,2022-09-14,1999-05-01,1.9
113,2022-09-14,2022-09-14,1999-06-01,2.5
114,2022-09-14,2022-09-14,1999-07-01,2.3
115,2022-09-14,2022-09-14,1999-08-01,2.3
116,2022-09-14,2022-09-14,1999-09-01,2.0
117,2022-09-14,2022-09-14,1999-10-01,1.9
118,2022-09-14,2022-09-14,1999-11-01,2.4
119,2022-09-14,2022-09-14,1999-12-01,2.5
120,2022-09-14,2022-09-14,2000-01-01,4.0
121,2022-09-14,2022-09-14,2000-02-01,3.7
122,2022-09-14,2022-09-14,2000-03-01,3.3
123,2022-09-14,2022-09-14,2000-04-01,2.4
124,2022-09-14,2022-09-14,2000-05-01,2.2
125,2022-09-14,2022-09-14,2000-06-01,2.1
126,2022-09-14,2022-09-14,2000-07-01,1.8
127,2022-09-14,2022-09-14,2000-08-01,2.2
128,2022-09-14,2022-09-14,2000-09-01,2.2
129,2022-09-14,2022-09-14,2000-10-01,2.2
130,2022-09-14,2022-09-14,2000-11-01,2.6
131,2022-09-14,2022-09-14,2000-12-01,3.0
132,2022-09-14,2022-09-14,2001-01-01,4.1
133,2022-09-14,2022-09-14,2001-02-01,3.7
134,2022-09-14,2022-09-14,2001-03-01,3.9
135,2022-09-14,2022-09-14,2001-04-01,2.9
136,2022-09-14,2022-09-14,2001-05-01,2.3
137,2022-09-14,2022-09-14,2001-06-01,2.5
138,2022-09-14,2022-09-14,2001-07-01,2.2
139,2022-09-14,2022-09-14,2001-08-01,2.8
140,2022-09-14,2022-09-14,2001-09-01,2.6
141,2022-09-14,2022-09-14,2001-10-01,2.3
142,2022-09-14,2022-09-14,2001-11-01,2.7
143,2022-09-14,2022-09-14,2001-12-01,3.2
144,2022-09-14,2022-09-14,2002-01-01,4.3
145,2022-09-14,2022-09-14,2002-02-01,4.4
146,2022-09-14,2022-09-14,2002-03-01,4.3
147,2022-09-14,2022-09-14,2002-04-01,3.6
148,2022-09-14,2022-09-14,2002-05-01,2.9
149,2022-09-14,2022-09-14,2002-06-01,3.4
150,2022-09-14,2022-09-14,2002-07-01,3.1
151,2022-09-14,2022-09-14,2002-08-01,2.9
152,2022-09-14,2022-09-14,2002-09-01,2.8
153,2022-09-14,2022-09-14,2002-10-01,2.6
154,2022-09-14,2022-09-14,2002-11-01,3.3
155,2022-09-14,2022-09-14,2002-12-01,3.7
156,2022-09-14,2022-09-14,2003-01-01,5.2
157,2022-09-14,2022-09-14,2003-02-01,4.8
158,2022-09-14,2022-09-14,2003-03-01,5.0
159,2022-09-14,2022-09-14,2003-04-01,3.9
160,2022-09-14,2022-09-14,2003-05-01,3.3
161,2022-09-14,2022-09-14,2003-06-01,4.0
162,2022-09-14,2022-09-14,2003-07-01,3.7
163,2022-09-14,2022-09-14,2003-08-01,3.7
164,2022-09-14,2022-09-14,2003-09-01,3.5
165,2022-09-14,2022-09-14,2003-10-01,3.1
166,2022-09-14,2022-09-14,2003-11-01,3.5
167,2022-09-14,2022-09-14,2003-12-01,4.8
168,2022-09-14,2022-09-14,2004-01-01,5.2
169,2022-09-14,2022-09-14,2004-02-01,5.3
170,2022-09-14,2022-09-14,2004-03-01,4.7
171,2022-09-14,2022-09-14,2004-04-01,3.6
172,2022-09-14,2022-09-14,2004-05-01,3.4
173,2022-09-14,2022-09-14,2004-06-01,4.0
174,2022-09-14,2022-09-14,2004-07-01,3.6
175,2022-09-14,2022-09-14,2004-08-01,3.6
176,2022-09-14,2022-09-14,2004-09-01,3.7
177,2022-09-14,2022-09-14,2004-10-01,3.3
178,2022-09-14,2022-09-14,2004-11-01,3.5
179,2022-09-14,2022-09-14,2004-12-01,3.9
180,2022-09-14,2022-09-14,2005-01-01,5.3
181,2022-09-14,2022-09-14,2005-02-01,5.0
182,2022-09-14,2022-09-14,2005-03-01,4.7
183,2022-09-14,2022-09-14,2005-04-01,3.3
184,2022-09-14,2022-09-14,2005-05-01,3.4
185,2022-09-14,2022-09-14,2005-06-01,3.6
186,2022-09-14,2022-09-14,2005-07-01,3.4
187,2022-09-14,2022-09-14,2005-08-01,3.6
188,2022-09-14,2022-09-14,2005-09-01,3.7
189,2022-09-14,2022-09-14,2005-10-01,3.4
190,2022-09-14,2022-09-14,2005-11-01,4.0
191,2022-09-14,2022-09-14,2005-12-01,4.3
192,2022-09-14,2022-09-14,2006-01-01,4.7
193,2022-09-14,2022-09-14,2006-02-01,4.7
194,2022-09-14,2022-09-14,2006-03-01,4.0
195,2022-09-14,2022-09-14,2006-04-01,2.9
196,2022-09-14,2022-09-14,2006-05-01,2.7
197,2022-09-14,2022-09-14,2006-06-01,3.0
198,2022-09-14,2022-09-14,2006-07-01,3.1
199,2022-09-14,2022-09-14,2006-08-01,3.2
200,2022-09-14,2022-09-14,2006-09-01,2.9
201,2022-09-14,2022-09-14,2006-10-01,2.6
202,2022-09-14,2022-09-14,2006-11-01,2.5
203,2022-09-14,2022-09-14,2006-12-01,3.4
204,2022-09-14,2022-09-14,2007-01-01,4.3
205,2022-09-14,2022-09-14,2007-02-01,4.4
206,2022-09-14,2022-09-14,2007-03-01,3.8
207,2022-09-14,2022-09-14,2007-04-01,3.4
208,2022-09-14,2022-09-14,2007-05-01,3.1
209,2022-09-14,2022-09-14,2007-06-01,3.3
210,2022-09-14,2022-09-14,2007-07-01,3.2
211,2022-09-14,2022-09-14,2007-08-01,3.1
212,2022-09-14,2022-09-14,2007-09-01,3.4
213,2022-09-14,2022-09-14,2007-10-01,2.9
214,2022-09-14,2022-09-14,2007-11-01,2.8
215,2022-09-14,2022-09-14,2007-12-01,3.8
216,2022-09-14,2022-09-14,2008-01-01,4.7
217,2022-09-14,2022-09-14,2008-02-01,4.8
218,2022-09-14,2022-09-14,2008-03-01,4.3
219,2022-09-14,2022-09-14,2008-04-01,3.2
220,2022-09-14,2022-09-14,2008-05-01,2.9
221,2022-09-14,2022-09-14,2008-06-01,3.3
222,2022-09-14,2022-09-14,2008-07-01,3.3
223,2022-09-14,2022-09-14,2008-08-01,3.5
224,2022-09-14,2022-09-14,2008-09-01,3.2
225,2022-09-14,2022-09-14,2008-10-01,3.0
226,2022-09-14,2022-09-14,2008-11-01,3.3
227,2022-09-14,2022-09-14,2008-12-01,4.7
228,2022-09-14,2022-09-14,2009-01-01,7.2
229,2022-09-14,2022-09-14,2009-02-01,6.7
230,2022-09-14,2022-09-14,2009-03-01,6.4
231,2022-09-14,2022-09-14,2009-04-01,4.5
232,2022-09-14,2022-09-14,2009-05-01,4.6
233,2022-09-14,2022-09-14,2009-06-01,5.1
234,2022-09-14,2022-09-14,2009-07-01,4.6
235,2022-09-14,2022-09-14,2009-08-01,4.4
236,2022-09-14,2022-09-14,2009-09-01,4.4
237,2022-09-14,2022-09-14,2009-10-01,4.0
238,2022-09-14,2022-09-14,2009-11-01,4.0
239,2022-09-14,2022-09-14,2009-12-01,5.1
240,2022-09-14,2022-09-14,2010-01-01,6.1
241,2022-09-14,2022-09-14,2010-02-01,5.6
242,2022-09-14,2022-09-14,2010-03-01,5.7
243,2022-09-14,2022-09-14,2010-04-01,4.5
244,2022-09-14,2022-09-14,2010-05-01,4.2
245,2022-09-14,2022-09-14,2010-06-01,4.6
246,2022-09-14,2022-09-14,2010-07-01,4.5
247,2022-09-14,2022-09-14,2010-08-01,4.6
