,realtime_start,realtime_end,date,value
0,2022-09-14,2022-09-14,1990-01-01,10.8
1,2022-09-14,2022-09-14,1990-02-01,11.4
2,2022-09-14,2022-09-14,1990-03-01,10.2
3,2022-09-14,2022-09-14,1990-04-01,9.6
4,2022-09-14,2022-09-14,1990-05-01,9.3
5,2022-09-14,2022-09-14,1990-06-01,9.1
6,2022-09-14,2022-09-14,1990-07-01,9.4
7,2022-09-14,2022-09-14,1990-08-01,10.1
8,2022-09-14,2022-09-14,1990-09-01,9.5
9,2022-09-14,2022-09-14,1990-10-01,9.500
10,2022-09-14,2022-09-14,1990-11-01,8.6
11,2022-09-14,2022-09-14,1990-12-01,8.6
12,2022-09-14,2022-09-14,1991-01-01,10.2
13,2022-09-14,2022-09-14,1991-02-01,9.800
14,2022-09-14,2022-09-14,1991-03-01,9.000
15,2022-09-14,2022-09-14,1991-04-01,8.5
16,2022-09-14,2022-09-14,1991-05-01,8.8
17,2022-09-14,2022-09-14,1991-06-01,10.0
18,2022-09-14,2022-09-14,1991-07-01,9.300
19,2022-09-14,2022-09-14,1991-08-01,9.9
20,2022-09-14,2022-09-14,1991-09-01,9.800
21,2022-09-14,2022-09-14,1991-10-01,10.9
22,2022-09-14,2022-09-14,1991-11-01,11.1
23,2022-09-14,2022-09-14,1991-12-01,11.600
24,2022-09-14,2022-09-14,1992-01-01,13.700
25,2022-09-14,2022-09-14,1992-02-01,13.9
26,2022-09-14,2022-09-14,1992-03-01,12.4
27,2022-09-14,2022-09-14,1992-04-01,10.7
28,2022-09-14,2022-09-14,1992-05-01,11.0
29,2022-09-14,2022-09-14,1992-06-01,12.400
30,2022-09-14,2022-09-14,1992-07-01,11.600
31,2022-09-14,2022-09-14,1992-08-01,11.8
32,2022-09-14,2022-09-14,1992-09-01,11.900
33,2022-09-14,2022-09-14,1992-10-01,10.800
34,2022-09-14,2022-09-14,1992-11-01,10.500
35,2022-09-14,2022-09-14,1992-12-01,11.4
36,2022-09-14,2022-09-14,1993-01-01,13.0
37,2022-09-14,2022-09-14,1993-02-01,14.0
38,2022-09-14,2022-09-14,1993-03-01,12.4
39,2022-09-14,2022-09-14,1993-04-01,12.1
40,2022-09-14,2022-09-14,1993-05-01,12.000
41,2022-09-14,2022-09-14,1993-06-01,15.0
42,2022-09-14,2022-09-14,1993-07-01,14.8
43,2022-09-14,2022-09-14,1993-08-01,15.7
44,2022-09-14,2022-09-14,1993-09-01,17.3
45,2022-09-14,2022-09-14,1993-10-01,17.5
46,2022-09-14,2022-09-14,1993-11-01,15.9
47,2022-09-14,2022-09-14,1993-12-01,13.2
48,2022-09-14,2022-09-14,1994-01-01,16.2
49,2022-09-14,2022-09-14,1994-02-01,15.5
50,2022-09-14,2022-09-14,1994-03-01,14.3
51,2022-09-14,2022-09-14,1994-04-01,13.7
52,2022-09-14,2022-09-14,1994-05-01,11.7
53,2022-09-14,2022-09-14,1994-06-01,12.400
54,2022-09-14,2022-09-14,1994-07-01,12.6
55,2022-09-14,2022-09-14,1994-08-01,13.100
56,2022-09-14,2022-09-14,1994-09-01,12.6
57,2022-09-14,2022-09-14,1994-10-01,12.200
58,2022-09-14,2022-09-14,1994-11-01,10.9
59,2022-09-14,2022-09-14,1994-12-01,9.5
60,2022-09-14,2022-09-14,1995-01-01,10.200
61,2022-09-14,2022-09-14,1995-02-01,10.0
62,2022-09-14,2022-09-14,1995-03-01,9.6
63,2022-09-14,2022-09-14,1995-04-01,9.700
