,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,7.500
1,2022-09-13,2022-09-13,1990-02-01,7.2
2,2022-09-13,2022-09-13,1990-03-01,7.1
3,2022-09-13,2022-09-13,1990-04-01,7.2
4,2022-09-13,2022-09-13,1990-05-01,7.600
5,2022-09-13,2022-09-13,1990-06-01,6.6
6,2022-09-13,2022-09-13,1990-07-01,6.6
7,2022-09-13,2022-09-13,1990-08-01,6.0
8,2022-09-13,2022-09-13,1990-09-01,6.4
9,2022-09-13,2022-09-13,1990-10-01,6.400
10,2022-09-13,2022-09-13,1990-11-01,7.100
11,2022-09-13,2022-09-13,1990-12-01,6.600
12,2022-09-13,2022-09-13,1991-01-01,7.1
13,2022-09-13,2022-09-13,1991-02-01,6.600
14,2022-09-13,2022-09-13,1991-03-01,6.000
15,2022-09-13,2022-09-13,1991-04-01,5.1
16,2022-09-13,2022-09-13,1991-05-01,4.500
17,2022-09-13,2022-09-13,1991-06-01,5.000
18,2022-09-13,2022-09-13,1991-07-01,4.2
19,2022-09-13,2022-09-13,1991-08-01,4.7
20,2022-09-13,2022-09-13,1991-09-01,4.5
21,2022-09-13,2022-09-13,1991-10-01,4.4
22,2022-09-13,2022-09-13,1991-11-01,4.0
23,2022-09-13,2022-09-13,1991-12-01,4.6
24,2022-09-13,2022-09-13,1992-01-01,4.8
25,2022-09-13,2022-09-13,1992-02-01,4.700
26,2022-09-13,2022-09-13,1992-03-01,4.7
27,2022-09-13,2022-09-13,1992-04-01,4.0
28,2022-09-13,2022-09-13,1992-05-01,3.7
29,2022-09-13,2022-09-13,1992-06-01,4.200
30,2022-09-13,2022-09-13,1992-07-01,4.0
31,2022-09-13,2022-09-13,1992-08-01,3.700
32,2022-09-13,2022-09-13,1992-09-01,3.400
33,2022-09-13,2022-09-13,1992-10-01,3.300
34,2022-09-13,2022-09-13,1992-11-01,3.700
35,2022-09-13,2022-09-13,1992-12-01,4.000
36,2022-09-13,2022-09-13,1993-01-01,4.2
37,2022-09-13,2022-09-13,1993-02-01,5.100
38,2022-09-13,2022-09-13,1993-03-01,4.700
39,2022-09-13,2022-09-13,1993-04-01,3.8
40,2022-09-13,2022-09-13,1993-05-01,3.7
41,2022-09-13,2022-09-13,1993-06-01,3.900
42,2022-09-13,2022-09-13,1993-07-01,3.500
43,2022-09-13,2022-09-13,1993-08-01,3.300
44,2022-09-13,2022-09-13,1993-09-01,3.100
45,2022-09-13,2022-09-13,1993-10-01,3.300
46,2022-09-13,2022-09-13,1993-11-01,3.300
47,2022-09-13,2022-09-13,1993-12-01,2.800
48,2022-09-13,2022-09-13,1994-01-01,3.7
49,2022-09-13,2022-09-13,1994-02-01,3.3
50,2022-09-13,2022-09-13,1994-03-01,3.0
51,2022-09-13,2022-09-13,1994-04-01,3.700
52,2022-09-13,2022-09-13,1994-05-01,4.000
53,2022-09-13,2022-09-13,1994-06-01,3.7
54,2022-09-13,2022-09-13,1994-07-01,3.400
55,2022-09-13,2022-09-13,1994-08-01,3.2
56,2022-09-13,2022-09-13,1994-09-01,3.2
57,2022-09-13,2022-09-13,1994-10-01,2.700
58,2022-09-13,2022-09-13,1994-11-01,2.600
59,2022-09-13,2022-09-13,1994-12-01,2.900
60,2022-09-13,2022-09-13,1995-01-01,3.6
61,2022-09-13,2022-09-13,1995-02-01,2.900
62,2022-09-13,2022-09-13,1995-03-01,3.200
63,2022-09-13,2022-09-13,1995-04-01,2.900
64,2022-09-13,2022-09-13,1995-05-01,3.200
65,2022-09-13,2022-09-13,1995-06-01,3.300
66,2022-09-13,2022-09-13,1995-07-01,3.200
67,2022-09-13,2022-09-13,1995-08-01,3.2
68,2022-09-13,2022-09-13,1995-09-01,3.200
69,2022-09-13,2022-09-13,1995-10-01,2.9
70,2022-09-13,2022-09-13,1995-11-01,3.000
71,2022-09-13,2022-09-13,1995-12-01,3.100
72,2022-09-13,2022-09-13,1996-01-01,3.900
73,2022-09-13,2022-09-13,1996-02-01,3.3
74,2022-09-13,2022-09-13,1996-03-01,3.5
75,2022-09-13,2022-09-13,1996-04-01,3.1
76,2022-09-13,2022-09-13,1996-05-01,3.600
77,2022-09-13,2022-09-13,1996-06-01,3.9
