,realtime_start,realtime_end,date,value
0,2022-09-14,2022-09-14,1990-01-01,3.3
1,2022-09-14,2022-09-14,1990-02-01,3.7
2,2022-09-14,2022-09-14,1990-03-01,3.8
3,2022-09-14,2022-09-14,1990-04-01,3.6
4,2022-09-14,2022-09-14,1990-05-01,4.4
5,2022-09-14,2022-09-14,1990-06-01,4.6
6,2022-09-14,2022-09-14,1990-07-01,4.5
7,2022-09-14,2022-09-14,1990-08-01,4.7
8,2022-09-14,2022-09-14,1990-09-01,4.4
9,2022-09-14,2022-09-14,1990-10-01,4.1
10,2022-09-14,2022-09-14,1990-11-01,3.7
11,2022-09-14,2022-09-14,1990-12-01,3.2
12,2022-09-14,2022-09-14,1991-01-01,3.4
13,2022-09-14,2022-09-14,1991-02-01,3.2
14,2022-09-14,2022-09-14,1991-03-01,3.4
15,2022-09-14,2022-09-14,1991-04-01,3.3
16,2022-09-14,2022-09-14,1991-05-01,3.6
17,2022-09-14,2022-09-14,1991-06-01,4.1
18,2022-09-14,2022-09-14,1991-07-01,3.7
19,2022-09-14,2022-09-14,1991-08-01,3.6
20,2022-09-14,2022-09-14,1991-09-01,3.7
21,2022-09-14,2022-09-14,1991-10-01,3.5
22,2022-09-14,2022-09-14,1991-11-01,3.8
23,2022-09-14,2022-09-14,1991-12-01,3.4
24,2022-09-14,2022-09-14,1992-01-01,4.3
25,2022-09-14,2022-09-14,1992-02-01,4.3
26,2022-09-14,2022-09-14,1992-03-01,4.8
27,2022-09-14,2022-09-14,1992-04-01,4.5
28,2022-09-14,2022-09-14,1992-05-01,4.7
29,2022-09-14,2022-09-14,1992-06-01,5.4
30,2022-09-14,2022-09-14,1992-07-01,4.5
31,2022-09-14,2022-09-14,1992-08-01,4.0
32,2022-09-14,2022-09-14,1992-09-01,4.2
33,2022-09-14,2022-09-14,1992-10-01,4.1
34,2022-09-14,2022-09-14,1992-11-01,4.1
35,2022-09-14,2022-09-14,1992-12-01,3.6
36,2022-09-14,2022-09-14,1993-01-01,4.6
37,2022-09-14,2022-09-14,1993-02-01,4.6
38,2022-09-14,2022-09-14,1993-03-01,4.7
39,2022-09-14,2022-09-14,1993-04-01,4.6
40,2022-09-14,2022-09-14,1993-05-01,4.8
41,2022-09-14,2022-09-14,1993-06-01,5.3
42,2022-09-14,2022-09-14,1993-07-01,4.8
43,2022-09-14,2022-09-14,1993-08-01,4.2
44,2022-09-14,2022-09-14,1993-09-01,4.2
45,2022-09-14,2022-09-14,1993-10-01,4.3
