,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,2.2
1,2022-09-13,2022-09-13,1990-02-01,2.2
2,2022-09-13,2022-09-13,1990-03-01,2.1
3,2022-09-13,2022-09-13,1990-04-01,3.0
4,2022-09-13,2022-09-13,1990-05-01,9.8
5,2022-09-13,2022-09-13,1990-06-01,5.2
6,2022-09-13,2022-09-13,1990-07-01,3.5
7,2022-09-13,2022-09-13,1990-08-01,2.6
8,2022-09-13,2022-09-13,1990-09-01,3.4
9,2022-09-13,2022-09-13,1990-10-01,5.2
10,2022-09-13,2022-09-13,1990-11-01,3.7
11,2022-09-13,2022-09-13,1990-12-01,2.5
12,2022-09-13,2022-09-13,1991-01-01,2.4
13,2022-09-13,2022-09-13,1991-02-01,2.2
14,2022-09-13,2022-09-13,1991-03-01,2.9
15,2022-09-13,2022-09-13,1991-04-01,3.6
16,2022-09-13,2022-09-13,1991-05-01,10.9
17,2022-09-13,2022-09-13,1991-06-01,6.6
18,2022-09-13,2022-09-13,1991-07-01,4.5
19,2022-09-13,2022-09-13,1991-08-01,4.1
20,2022-09-13,2022-09-13,1991-09-01,4.3
21,2022-09-13,2022-09-13,1991-10-01,5.3
22,2022-09-13,2022-09-13,1991-11-01,5.4
23,2022-09-13,2022-09-13,1991-12-01,3.4
24,2022-09-13,2022-09-13,1992-01-01,3.1
25,2022-09-13,2022-09-13,1992-02-01,3.6
26,2022-09-13,2022-09-13,1992-03-01,3.8
27,2022-09-13,2022-09-13,1992-04-01,5.8
28,2022-09-13,2022-09-13,1992-05-01,13.8
29,2022-09-13,2022-09-13,1992-06-01,8.9
30,2022-09-13,2022-09-13,1992-07-01,5.5
31,2022-09-13,2022-09-13,1992-08-01,5.4
32,2022-09-13,2022-09-13,1992-09-01,5.6
33,2022-09-13,2022-09-13,1992-10-01,7.2
34,2022-09-13,2022-09-13,1992-11-01,6.1
35,2022-09-13,2022-09-13,1992-12-01,3.0
36,2022-09-13,2022-09-13,1993-01-01,3.1
37,2022-09-13,2022-09-13,1993-02-01,3.9
38,2022-09-13,2022-09-13,1993-03-01,2.6
39,2022-09-13,2022-09-13,1993-04-01,3.3
40,2022-09-13,2022-09-13,1993-05-01,9.9
41,2022-09-13,2022-09-13,1993-06-01,7.2
42,2022-09-13,2022-09-13,1993-07-01,5.0
43,2022-09-13,2022-09-13,1993-08-01,4.2
44,2022-09-13,2022-09-13,1993-09-01,3.8
45,2022-09-13,2022-09-13,1993-10-01,3.9
46,2022-09-13,2022-09-13,1993-11-01,3.1
47,2022-09-13,2022-09-13,1993-12-01,2.4
48,2022-09-13,2022-09-13,1994-01-01,2.4
49,2022-09-13,2022-09-13,1994-02-01,2.1
50,2022-09-13,2022-09-13,1994-03-01,2.1
51,2022-09-13,2022-09-13,1994-04-01,2.5
52,2022-09-13,2022-09-13,1994-05-01,6.5
53,2022-09-13,2022-09-13,1994-06-01,4.0
54,2022-09-13,2022-09-13,1994-07-01,2.7
55,2022-09-13,2022-09-13,1994-08-01,2.4
56,2022-09-13,2022-09-13,1994-09-01,2.6
57,2022-09-13,2022-09-13,1994-10-01,3.0
58,2022-09-13,2022-09-13,1994-11-01,2.8
59,2022-09-13,2022-09-13,1994-12-01,1.8
60,2022-09-13,2022-09-13,1995-01-01,2.1
61,2022-09-13,2022-09-13,1995-02-01,1.8
62,2022-09-13,2022-09-13,1995-03-01,2.3
63,2022-09-13,2022-09-13,1995-04-01,2.5
64,2022-09-13,2022-09-13,1995-05-01,6.0
65,2022-09-13,2022-09-13,1995-06-01,4.6
66,2022-09-13,2022-09-13,1995-07-01,2.8
67,2022-09-13,2022-09-13,1995-08-01,2.5
68,2022-09-13,2022-09-13,1995-09-01,2.3
69,2022-09-13,2022-09-13,1995-10-01,3.4
70,2022-09-13,2022-09-13,1995-11-01,2.6
71,2022-09-13,2022-09-13,1995-12-01,1.8
72,2022-09-13,2022-09-13,1996-01-01,2.0
73,2022-09-13,2022-09-13,1996-02-01,1.8
