,realtime_start,realtime_end,date,value
0,2022-09-14,2022-09-14,1990-01-01,4.3
1,2022-09-14,2022-09-14,1990-02-01,3.8
2,2022-09-14,2022-09-14,1990-03-01,3.0
3,2022-09-14,2022-09-14,1990-04-01,3.0
4,2022-09-14,2022-09-14,1990-05-01,3.1
5,2022-09-14,2022-09-14,1990-06-01,3.0
6,2022-09-14,2022-09-14,1990-07-01,3.0
7,2022-09-14,2022-09-14,1990-08-01,3.6
8,2022-09-14,2022-09-14,1990-09-01,3.1
9,2022-09-14,2022-09-14,1990-10-01,3.5
10,2022-09-14,2022-09-14,1990-11-01,4.4
11,2022-09-14,2022-09-14,1990-12-01,4.7
12,2022-09-14,2022-09-14,1991-01-01,6.1
13,2022-09-14,2022-09-14,1991-02-01,5.8
14,2022-09-14,2022-09-14,1991-03-01,5.3
15,2022-09-14,2022-09-14,1991-04-01,4.5
16,2022-09-14,2022-09-14,1991-05-01,5.3
17,2022-09-14,2022-09-14,1991-06-01,4.5
18,2022-09-14,2022-09-14,1991-07-01,5.2
19,2022-09-14,2022-09-14,1991-08-01,4.4
20,2022-09-14,2022-09-14,1991-09-01,4.2
21,2022-09-14,2022-09-14,1991-10-01,4.5
22,2022-09-14,2022-09-14,1991-11-01,5.4
23,2022-09-14,2022-09-14,1991-12-01,6.2
24,2022-09-14,2022-09-14,1992-01-01,7.2
25,2022-09-14,2022-09-14,1992-02-01,7.1
26,2022-09-14,2022-09-14,1992-03-01,6.4
27,2022-09-14,2022-09-14,1992-04-01,5.3
28,2022-09-14,2022-09-14,1992-05-01,5.1
29,2022-09-14,2022-09-14,1992-06-01,5.6
30,2022-09-14,2022-09-14,1992-07-01,5.6
31,2022-09-14,2022-09-14,1992-08-01,6.0
32,2022-09-14,2022-09-14,1992-09-01,4.6
33,2022-09-14,2022-09-14,1992-10-01,4.9
34,2022-09-14,2022-09-14,1992-11-01,5.1
35,2022-09-14,2022-09-14,1992-12-01,4.8
36,2022-09-14,2022-09-14,1993-01-01,6.3
37,2022-09-14,2022-09-14,1993-02-01,5.7
38,2022-09-14,2022-09-14,1993-03-01,4.9
39,2022-09-14,2022-09-14,1993-04-01,5.0
40,2022-09-14,2022-09-14,1993-05-01,4.7
41,2022-09-14,2022-09-14,1993-06-01,4.8
42,2022-09-14,2022-09-14,1993-07-01,5.1
43,2022-09-14,2022-09-14,1993-08-01,4.6
44,2022-09-14,2022-09-14,1993-09-01,3.9
45,2022-09-14,2022-09-14,1993-10-01,4.3
46,2022-09-14,2022-09-14,1993-11-01,5.8
47,2022-09-14,2022-09-14,1993-12-01,4.5
48,2022-09-14,2022-09-14,1994-01-01,6.0
49,2022-09-14,2022-09-14,1994-02-01,6.2
50,2022-09-14,2022-09-14,1994-03-01,5.3
51,2022-09-14,2022-09-14,1994-04-01,5.4
52,2022-09-14,2022-09-14,1994-05-01,4.4
53,2022-09-14,2022-09-14,1994-06-01,4.3
54,2022-09-14,2022-09-14,1994-07-01,4.2
55,2022-09-14,2022-09-14,1994-08-01,3.8
56,2022-09-14,2022-09-14,1994-09-01,3.6
57,2022-09-14,2022-09-14,1994-10-01,3.5
58,2022-09-14,2022-09-14,1994-11-01,4.0
59,2022-09-14,2022-09-14,1994-12-01,4.6
60,2022-09-14,2022-09-14,1995-01-01,6.0
61,2022-09-14,2022-09-14,1995-02-01,5.4
62,2022-09-14,2022-09-14,1995-03-01,4.4
63,2022-09-14,2022-09-14,1995-04-01,4.3
64,2022-09-14,2022-09-14,1995-05-01,3.9
