,realtime_start,realtime_end,date,value
0,2022-09-14,2022-09-14,1990-01-01,3.8
1,2022-09-14,2022-09-14,1990-02-01,3.7
2,2022-09-14,2022-09-14,1990-03-01,3.6
3,2022-09-14,2022-09-14,1990-04-01,4.1
4,2022-09-14,2022-09-14,1990-05-01,3.4
5,2022-09-14,2022-09-14,1990-06-01,3.6
6,2022-09-14,2022-09-14,1990-07-01,3.5
7,2022-09-14,2022-09-14,1990-08-01,4.3
8,2022-09-14,2022-09-14,1990-09-01,5.0
9,2022-09-14,2022-09-14,1990-10-01,13.7
10,2022-09-14,2022-09-14,1990-11-01,7.5
11,2022-09-14,2022-09-14,1990-12-01,9.2
12,2022-09-14,2022-09-14,1991-01-01,5.0
13,2022-09-14,2022-09-14,1991-02-01,10.5
14,2022-09-14,2022-09-14,1991-03-01,6.5
15,2022-09-14,2022-09-14,1991-04-01,4.7
16,2022-09-14,2022-09-14,1991-05-01,5.1
17,2022-09-14,2022-09-14,1991-06-01,5.1
18,2022-09-14,2022-09-14,1991-07-01,7.8
19,2022-09-14,2022-09-14,1991-08-01,3.7
20,2022-09-14,2022-09-14,1991-09-01,3.7
21,2022-09-14,2022-09-14,1991-10-01,3.9
22,2022-09-14,2022-09-14,1991-11-01,4.2
23,2022-09-14,2022-09-14,1991-12-01,4.1
24,2022-09-14,2022-09-14,1992-01-01,4.1
25,2022-09-14,2022-09-14,1992-02-01,5.5
26,2022-09-14,2022-09-14,1992-03-01,5.2
27,2022-09-14,2022-09-14,1992-04-01,4.5
28,2022-09-14,2022-09-14,1992-05-01,4.6
29,2022-09-14,2022-09-14,1992-06-01,5.6
30,2022-09-14,2022-09-14,1992-07-01,5.9
31,2022-09-14,2022-09-14,1992-08-01,6.1
32,2022-09-14,2022-09-14,1992-09-01,4.9
33,2022-09-14,2022-09-14,1992-10-01,4.7
34,2022-09-14,2022-09-14,1992-11-01,5.8
35,2022-09-14,2022-09-14,1992-12-01,6.9
36,2022-09-14,2022-09-14,1993-01-01,6.1
37,2022-09-14,2022-09-14,1993-02-01,6.6
38,2022-09-14,2022-09-14,1993-03-01,6.9
39,2022-09-14,2022-09-14,1993-04-01,4.9
40,2022-09-14,2022-09-14,1993-05-01,5.0
41,2022-09-14,2022-09-14,1993-06-01,5.2
42,2022-09-14,2022-09-14,1993-07-01,6.7
43,2022-09-14,2022-09-14,1993-08-01,4.8
44,2022-09-14,2022-09-14,1993-09-01,5.0
45,2022-09-14,2022-09-14,1993-10-01,5.5
46,2022-09-14,2022-09-14,1993-11-01,6.0
47,2022-09-14,2022-09-14,1993-12-01,4.8
48,2022-09-14,2022-09-14,1994-01-01,12.7
49,2022-09-14,2022-09-14,1994-02-01,5.6
50,2022-09-14,2022-09-14,1994-03-01,5.0
51,2022-09-14,2022-09-14,1994-04-01,4.3
52,2022-09-14,2022-09-14,1994-05-01,4.4
53,2022-09-14,2022-09-14,1994-06-01,4.6
54,2022-09-14,2022-09-14,1994-07-01,4.3
55,2022-09-14,2022-09-14,1994-08-01,4.1
56,2022-09-14,2022-09-14,1994-09-01,4.1
57,2022-09-14,2022-09-14,1994-10-01,4.0
58,2022-09-14,2022-09-14,1994-11-01,3.5
59,2022-09-14,2022-09-14,1994-12-01,3.7
60,2022-09-14,2022-09-14,1995-01-01,5.0
61,2022-09-14,2022-09-14,1995-02-01,4.1
62,2022-09-14,2022-09-14,1995-03-01,3.8
63,2022-09-14,2022-09-14,1995-04-01,4.3
64,2022-09-14,2022-09-14,1995-05-01,4.6
65,2022-09-14,2022-09-14,1995-06-01,5.1
66,2022-09-14,2022-09-14,1995-07-01,4.8
67,2022-09-14,2022-09-14,1995-08-01,5.6
68,2022-09-14,2022-09-14,1995-09-01,5.6
69,2022-09-14,2022-09-14,1995-10-01,4.5
70,2022-09-14,2022-09-14,1995-11-01,3.2
71,2022-09-14,2022-09-14,1995-12-01,3.0
72,2022-09-14,2022-09-14,1996-01-01,4.7
73,2022-09-14,2022-09-14,1996-02-01,5.9
74,2022-09-14,2022-09-14,1996-03-01,11.6
75,2022-09-14,2022-09-14,1996-04-01,6.4
76,2022-09-14,2022-09-14,1996-05-01,4.9
77,2022-09-14,2022-09-14,1996-06-01,6.2
78,2022-09-14,2022-09-14,1996-07-01,5.1
79,2022-09-14,2022-09-14,1996-08-01,4.2
80,2022-09-14,2022-09-14,1996-09-01,4.8
81,2022-09-14,2022-09-14,1996-10-01,4.1
82,2022-09-14,2022-09-14,1996-11-01,4.5
83,2022-09-14,2022-09-14,1996-12-01,8.2
84,2022-09-14,2022-09-14,1997-01-01,6.8
85,2022-09-14,2022-09-14,1997-02-01,4.8
86,2022-09-14,2022-09-14,1997-03-01,5.2
87,2022-09-14,2022-09-14,1997-04-01,3.6
88,2022-09-14,2022-09-14,1997-05-01,3.9
89,2022-09-14,2022-09-14,1997-06-01,4.8
90,2022-09-14,2022-09-14,1997-07-01,4.0
91,2022-09-14,2022-09-14,1997-08-01,4.1
92,2022-09-14,2022-09-14,1997-09-01,3.9
93,2022-09-14,2022-09-14,1997-10-01,3.4
94,2022-09-14,2022-09-14,1997-11-01,3.2
95,2022-09-14,2022-09-14,1997-12-01,3.7
96,2022-09-14,2022-09-14,1998-01-01,3.4
97,2022-09-14,2022-09-14,1998-02-01,3.3
98,2022-09-14,2022-09-14,1998-03-01,3.0
99,2022-09-14,2022-09-14,1998-04-01,3.1
100,2022-09-14,2022-09-14,1998-05-01,3.9
101,2022-09-14,2022-09-14,1998-06-01,5.3
102,2022-09-14,2022-09-14,1998-07-01,3.9
103,2022-09-14,2022-09-14,1998-08-01,3.0
104,2022-09-14,2022-09-14,1998-09-01,2.8
105,2022-09-14,2022-09-14,1998-10-01,3.8
106,2022-09-14,2022-09-14,1998-11-01,3.4
107,2022-09-14,2022-09-14,1998-12-01,3.5
108,2022-09-14,2022-09-14,1999-01-01,5.0
109,2022-09-14,2022-09-14,1999-02-01,4.8
110,2022-09-14,2022-09-14,1999-03-01,4.7
111,2022-09-14,2022-09-14,1999-04-01,8.0
112,2022-09-14,2022-09-14,1999-05-01,7.7
113,2022-09-14,2022-09-14,1999-06-01,6.7
114,2022-09-14,2022-09-14,1999-07-01,7.2
115,2022-09-14,2022-09-14,1999-08-01,7.1
116,2022-09-14,2022-09-14,1999-09-01,10.1
117,2022-09-14,2022-09-14,1999-10-01,8.7
118,2022-09-14,2022-09-14,1999-11-01,7.9
119,2022-09-14,2022-09-14,1999-12-01,7.2
120,2022-09-14,2022-09-14,2000-01-01,5.6
121,2022-09-14,2022-09-14,2000-02-01,5.3
122,2022-09-14,2022-09-14,2000-03-01,5.1
123,2022-09-14,2022-09-14,2000-04-01,4.7
124,2022-09-14,2022-09-14,2000-05-01,4.9
125,2022-09-14,2022-09-14,2000-06-01,5.4
126,2022-09-14,2022-09-14,2000-07-01,4.7
127,2022-09-14,2022-09-14,2000-08-01,4.9
128,2022-09-14,2022-09-14,2000-09-01,5.0
129,2022-09-14,2022-09-14,2000-10-01,5.4
130,2022-09-14,2022-09-14,2000-11-01,4.8
131,2022-09-14,2022-09-14,2000-12-01,4.5
132,2022-09-14,2022-09-14,2001-01-01,4.8
133,2022-09-14,2022-09-14,2001-02-01,4.2
134,2022-09-14,2022-09-14,2001-03-01,4.8
135,2022-09-14,2022-09-14,2001-04-01,6.0
136,2022-09-14,2022-09-14,2001-05-01,5.2
137,2022-09-14,2022-09-14,2001-06-01,8.4
138,2022-09-14,2022-09-14,2001-07-01,10.3
139,2022-09-14,2022-09-14,2001-08-01,11.5
140,2022-09-14,2022-09-14,2001-09-01,11.4
141,2022-09-14,2022-09-14,2001-10-01,12.9
142,2022-09-14,2022-09-14,2001-11-01,12.2
143,2022-09-14,2022-09-14,2001-12-01,13.2
144,2022-09-14,2022-09-14,2002-01-01,12.9
145,2022-09-14,2022-09-14,2002-02-01,13.2
146,2022-09-14,2022-09-14,2002-03-01,11.7
147,2022-09-14,2022-09-14,2002-04-01,10.5
148,2022-09-14,2022-09-14,2002-05-01,9.8
149,2022-09-14,2022-09-14,2002-06-01,9.9
150,2022-09-14,2022-09-14,2002-07-01,8.9
151,2022-09-14,2022-09-14,2002-08-01,8.1
152,2022-09-14,2022-09-14,2002-09-01,7.8
153,2022-09-14,2022-09-14,2002-10-01,7.6
154,2022-09-14,2022-09-14,2002-11-01,7.1
155,2022-09-14,2022-09-14,2002-12-01,7.0
156,2022-09-14,2022-09-14,2003-01-01,7.0
157,2022-09-14,2022-09-14,2003-02-01,7.4
158,2022-09-14,2022-09-14,2003-03-01,7.0
159,2022-09-14,2022-09-14,2003-04-01,7.1
160,2022-09-14,2022-09-14,2003-05-01,7.2
161,2022-09-14,2022-09-14,2003-06-01,7.8
162,2022-09-14,2022-09-14,2003-07-01,6.9
