,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,5.2
1,2022-09-13,2022-09-13,1990-02-01,5.3
2,2022-09-13,2022-09-13,1990-03-01,4.8
3,2022-09-13,2022-09-13,1990-04-01,4.3
4,2022-09-13,2022-09-13,1990-05-01,4.0
5,2022-09-13,2022-09-13,1990-06-01,4.9
6,2022-09-13,2022-09-13,1990-07-01,4.4
7,2022-09-13,2022-09-13,1990-08-01,4.5
8,2022-09-13,2022-09-13,1990-09-01,4.0
9,2022-09-13,2022-09-13,1990-10-01,3.7
10,2022-09-13,2022-09-13,1990-11-01,3.9
11,2022-09-13,2022-09-13,1990-12-01,4.1
12,2022-09-13,2022-09-13,1991-01-01,4.7
13,2022-09-13,2022-09-13,1991-02-01,4.9
14,2022-09-13,2022-09-13,1991-03-01,4.8
15,2022-09-13,2022-09-13,1991-04-01,4.1
16,2022-09-13,2022-09-13,1991-05-01,4.3
17,2022-09-13,2022-09-13,1991-06-01,5.0
18,2022-09-13,2022-09-13,1991-07-01,4.4
19,2022-09-13,2022-09-13,1991-08-01,4.5
20,2022-09-13,2022-09-13,1991-09-01,4.0
21,2022-09-13,2022-09-13,1991-10-01,4.1
22,2022-09-13,2022-09-13,1991-11-01,4.3
23,2022-09-13,2022-09-13,1991-12-01,4.3
24,2022-09-13,2022-09-13,1992-01-01,4.8
25,2022-09-13,2022-09-13,1992-02-01,5.3
26,2022-09-13,2022-09-13,1992-03-01,4.8
27,2022-09-13,2022-09-13,1992-04-01,4.1
28,2022-09-13,2022-09-13,1992-05-01,4.1
29,2022-09-13,2022-09-13,1992-06-01,4.8
30,2022-09-13,2022-09-13,1992-07-01,4.2
31,2022-09-13,2022-09-13,1992-08-01,4.3
32,2022-09-13,2022-09-13,1992-09-01,3.7
33,2022-09-13,2022-09-13,1992-10-01,3.4
34,2022-09-13,2022-09-13,1992-11-01,3.5
35,2022-09-13,2022-09-13,1992-12-01,3.4
36,2022-09-13,2022-09-13,1993-01-01,4.3
37,2022-09-13,2022-09-13,1993-02-01,4.3
38,2022-09-13,2022-09-13,1993-03-01,3.9
39,2022-09-13,2022-09-13,1993-04-01,3.5
40,2022-09-13,2022-09-13,1993-05-01,3.5
41,2022-09-13,2022-09-13,1993-06-01,4.2
42,2022-09-13,2022-09-13,1993-07-01,3.8
43,2022-09-13,2022-09-13,1993-08-01,3.8
44,2022-09-13,2022-09-13,1993-09-01,3.2
45,2022-09-13,2022-09-13,1993-10-01,3.0
46,2022-09-13,2022-09-13,1993-11-01,2.8
47,2022-09-13,2022-09-13,1993-12-01,2.7
48,2022-09-13,2022-09-13,1994-01-01,3.4
49,2022-09-13,2022-09-13,1994-02-01,3.5
50,2022-09-13,2022-09-13,1994-03-01,3.3
51,2022-09-13,2022-09-13,1994-04-01,3.0
52,2022-09-13,2022-09-13,1994-05-01,2.9
53,2022-09-13,2022-09-13,1994-06-01,3.6
54,2022-09-13,2022-09-13,1994-07-01,3.3
55,2022-09-13,2022-09-13,1994-08-01,3.4
56,2022-09-13,2022-09-13,1994-09-01,2.9
57,2022-09-13,2022-09-13,1994-10-01,2.8
58,2022-09-13,2022-09-13,1994-11-01,2.7
59,2022-09-13,2022-09-13,1994-12-01,2.5
60,2022-09-13,2022-09-13,1995-01-01,3.3
61,2022-09-13,2022-09-13,1995-02-01,3.3
62,2022-09-13,2022-09-13,1995-03-01,2.9
63,2022-09-13,2022-09-13,1995-04-01,2.9
64,2022-09-13,2022-09-13,1995-05-01,2.8
65,2022-09-13,2022-09-13,1995-06-01,3.3
66,2022-09-13,2022-09-13,1995-07-01,3.0
67,2022-09-13,2022-09-13,1995-08-01,3.0
68,2022-09-13,2022-09-13,1995-09-01,2.5
69,2022-09-13,2022-09-13,1995-10-01,2.4
70,2022-09-13,2022-09-13,1995-11-01,2.2
71,2022-09-13,2022-09-13,1995-12-01,2.1
72,2022-09-13,2022-09-13,1996-01-01,3.0
73,2022-09-13,2022-09-13,1996-02-01,3.1
74,2022-09-13,2022-09-13,1996-03-01,3.0
75,2022-09-13,2022-09-13,1996-04-01,2.8
76,2022-09-13,2022-09-13,1996-05-01,2.8
77,2022-09-13,2022-09-13,1996-06-01,3.2
78,2022-09-13,2022-09-13,1996-07-01,3.1
79,2022-09-13,2022-09-13,1996-08-01,3.0
80,2022-09-13,2022-09-13,1996-09-01,2.7
81,2022-09-13,2022-09-13,1996-10-01,2.6
82,2022-09-13,2022-09-13,1996-11-01,2.5
83,2022-09-13,2022-09-13,1996-12-01,2.5
84,2022-09-13,2022-09-13,1997-01-01,3.1
85,2022-09-13,2022-09-13,1997-02-01,3.2
86,2022-09-13,2022-09-13,1997-03-01,3.0
87,2022-09-13,2022-09-13,1997-04-01,2.5
88,2022-09-13,2022-09-13,1997-05-01,2.5
89,2022-09-13,2022-09-13,1997-06-01,3.0
90,2022-09-13,2022-09-13,1997-07-01,2.6
91,2022-09-13,2022-09-13,1997-08-01,2.7
92,2022-09-13,2022-09-13,1997-09-01,2.3
93,2022-09-13,2022-09-13,1997-10-01,2.3
94,2022-09-13,2022-09-13,1997-11-01,2.2
95,2022-09-13,2022-09-13,1997-12-01,2.2
96,2022-09-13,2022-09-13,1998-01-01,3.0
97,2022-09-13,2022-09-13,1998-02-01,3.2
98,2022-09-13,2022-09-13,1998-03-01,3.3
99,2022-09-13,2022-09-13,1998-04-01,2.8
100,2022-09-13,2022-09-13,1998-05-01,2.8
101,2022-09-13,2022-09-13,1998-06-01,3.4
102,2022-09-13,2022-09-13,1998-07-01,3.0
103,2022-09-13,2022-09-13,1998-08-01,3.1
104,2022-09-13,2022-09-13,1998-09-01,2.7
105,2022-09-13,2022-09-13,1998-10-01,2.9
106,2022-09-13,2022-09-13,1998-11-01,2.8
107,2022-09-13,2022-09-13,1998-12-01,2.7
108,2022-09-13,2022-09-13,1999-01-01,3.4
109,2022-09-13,2022-09-13,1999-02-01,3.7
110,2022-09-13,2022-09-13,1999-03-01,3.5
111,2022-09-13,2022-09-13,1999-04-01,3.1
