,realtime_start,realtime_end,date,value
0,2022-09-14,2022-09-14,1990-01-01,1.7
1,2022-09-14,2022-09-14,1990-02-01,1.7
2,2022-09-14,2022-09-14,1990-03-01,1.4
3,2022-09-14,2022-09-14,1990-04-01,1.4
4,2022-09-14,2022-09-14,1990-05-01,1.3
5,2022-09-14,2022-09-14,1990-06-01,2.0
6,2022-09-14,2022-09-14,1990-07-01,1.6
7,2022-09-14,2022-09-14,1990-08-01,1.5
8,2022-09-14,2022-09-14,1990-09-01,2.2
9,2022-09-14,2022-09-14,1990-10-01,1.3
10,2022-09-14,2022-09-14,1990-11-01,1.7
11,2022-09-14,2022-09-14,1990-12-01,2.2
12,2022-09-14,2022-09-14,1991-01-01,2.6
13,2022-09-14,2022-09-14,1991-02-01,2.2
14,2022-09-14,2022-09-14,1991-03-01,2.0
15,2022-09-14,2022-09-14,1991-04-01,1.4
16,2022-09-14,2022-09-14,1991-05-01,1.8
17,2022-09-14,2022-09-14,1991-06-01,2.1
18,2022-09-14,2022-09-14,1991-07-01,1.8
19,2022-09-14,2022-09-14,1991-08-01,1.3
20,2022-09-14,2022-09-14,1991-09-01,0.9
21,2022-09-14,2022-09-14,1991-10-01,1.6
22,2022-09-14,2022-09-14,1991-11-01,2.0
23,2022-09-14,2022-09-14,1991-12-01,1.8
24,2022-09-14,2022-09-14,1992-01-01,2.2
25,2022-09-14,2022-09-14,1992-02-01,2.1
26,2022-09-14,2022-09-14,1992-03-01,2.0
27,2022-09-14,2022-09-14,1992-04-01,1.6
28,2022-09-14,2022-09-14,1992-05-01,1.2
29,2022-09-14,2022-09-14,1992-06-01,2.5
30,2022-09-14,2022-09-14,1992-07-01,2.2
31,2022-09-14,2022-09-14,1992-08-01,1.8
32,2022-09-14,2022-09-14,1992-09-01,2.2
33,2022-09-14,2022-09-14,1992-10-01,2.2
34,2022-09-14,2022-09-14,1992-11-01,2.9
35,2022-09-14,2022-09-14,1992-12-01,2.3
36,2022-09-14,2022-09-14,1993-01-01,2.3
37,2022-09-14,2022-09-14,1993-02-01,3.0
38,2022-09-14,2022-09-14,1993-03-01,2.3
39,2022-09-14,2022-09-14,1993-04-01,2.5
40,2022-09-14,2022-09-14,1993-05-01,2.6
41,2022-09-14,2022-09-14,1993-06-01,2.7
42,2022-09-14,2022-09-14,1993-07-01,2.6
43,2022-09-14,2022-09-14,1993-08-01,2.5
44,2022-09-14,2022-09-14,1993-09-01,3.0
45,2022-09-14,2022-09-14,1993-10-01,3.1
46,2022-09-14,2022-09-14,1993-11-01,3.5
47,2022-09-14,2022-09-14,1993-12-01,3.0
48,2022-09-14,2022-09-14,1994-01-01,2.8
49,2022-09-14,2022-09-14,1994-02-01,2.6
50,2022-09-14,2022-09-14,1994-03-01,3.3
51,2022-09-14,2022-09-14,1994-04-01,2.8
52,2022-09-14,2022-09-14,1994-05-01,2.1
53,2022-09-14,2022-09-14,1994-06-01,2.4
54,2022-09-14,2022-09-14,1994-07-01,2.3
55,2022-09-14,2022-09-14,1994-08-01,2.1
56,2022-09-14,2022-09-14,1994-09-01,2.4
57,2022-09-14,2022-09-14,1994-10-01,2.4
58,2022-09-14,2022-09-14,1994-11-01,2.2
59,2022-09-14,2022-09-14,1994-12-01,2.3
60,2022-09-14,2022-09-14,1995-01-01,3.3
61,2022-09-14,2022-09-14,1995-02-01,3.0
62,2022-09-14,2022-09-14,1995-03-01,2.9
63,2022-09-14,2022-09-14,1995-04-01,3.0
64,2022-09-14,2022-09-14,1995-05-01,2.9
65,2022-09-14,2022-09-14,1995-06-01,3.2
66,2022-09-14,2022-09-14,1995-07-01,3.1
67,2022-09-14,2022-09-14,1995-08-01,3.1
68,2022-09-14,2022-09-14,1995-09-01,2.7
69,2022-09-14,2022-09-14,1995-10-01,2.5
70,2022-09-14,2022-09-14,1995-11-01,2.1
