,realtime_start,realtime_end,date,value
0,2022-09-13,2022-09-13,1990-01-01,10.5
1,2022-09-13,2022-09-13,1990-02-01,10.2
2,2022-09-13,2022-09-13,1990-03-01,9.7
3,2022-09-13,2022-09-13,1990-04-01,7.9
4,2022-09-13,2022-09-13,1990-05-01,7.0
5,2022-09-13,2022-09-13,1990-06-01,7.9
6,2022-09-13,2022-09-13,1990-07-01,11.5
7,2022-09-13,2022-09-13,1990-08-01,9.2
8,2022-09-13,2022-09-13,1990-09-01,11.9
9,2022-09-13,2022-09-13,1990-10-01,9.4
10,2022-09-13,2022-09-13,1990-11-01,10.2
11,2022-09-13,2022-09-13,1990-12-01,10.0
12,2022-09-13,2022-09-13,1991-01-01,12.1
13,2022-09-13,2022-09-13,1991-02-01,11.8
14,2022-09-13,2022-09-13,1991-03-01,9.4
15,2022-09-13,2022-09-13,1991-04-01,8.9
16,2022-09-13,2022-09-13,1991-05-01,9.4
17,2022-09-13,2022-09-13,1991-06-01,10.5
18,2022-09-13,2022-09-13,1991-07-01,9.5
19,2022-09-13,2022-09-13,1991-08-01,9.8
20,2022-09-13,2022-09-13,1991-09-01,8.8
21,2022-09-13,2022-09-13,1991-10-01,9.0
22,2022-09-13,2022-09-13,1991-11-01,9.7
23,2022-09-13,2022-09-13,1991-12-01,10.3
24,2022-09-13,2022-09-13,1992-01-01,10.0
25,2022-09-13,2022-09-13,1992-02-01,10.1
26,2022-09-13,2022-09-13,1992-03-01,8.8
27,2022-09-13,2022-09-13,1992-04-01,8.0
28,2022-09-13,2022-09-13,1992-05-01,8.3
29,2022-09-13,2022-09-13,1992-06-01,10.1
30,2022-09-13,2022-09-13,1992-07-01,10.5
31,2022-09-13,2022-09-13,1992-08-01,10.1
32,2022-09-13,2022-09-13,1992-09-01,10.0
33,2022-09-13,2022-09-13,1992-10-01,9.9
34,2022-09-13,2022-09-13,1992-11-01,10.9
35,2022-09-13,2022-09-13,1992-12-01,12.0
36,2022-09-13,2022-09-13,1993-01-01,13.5
37,2022-09-13,2022-09-13,1993-02-01,13.2
38,2022-09-13,2022-09-13,1993-03-01,12.0
39,2022-09-13,2022-09-13,1993-04-01,12.3
40,2022-09-13,2022-09-13,1993-05-01,11.7
41,2022-09-13,2022-09-13,1993-06-01,13.7
42,2022-09-13,2022-09-13,1993-07-01,16.0
43,2022-09-13,2022-09-13,1993-08-01,19.8
44,2022-09-13,2022-09-13,1993-09-01,17.2
45,2022-09-13,2022-09-13,1993-10-01,15.5
46,2022-09-13,2022-09-13,1993-11-01,16.9
47,2022-09-13,2022-09-13,1993-12-01,15.9
48,2022-09-13,2022-09-13,1994-01-01,15.9
49,2022-09-13,2022-09-13,1994-02-01,15.8
50,2022-09-13,2022-09-13,1994-03-01,13.8
51,2022-09-13,2022-09-13,1994-04-01,11.9
52,2022-09-13,2022-09-13,1994-05-01,10.9
53,2022-09-13,2022-09-13,1994-06-01,12.9
54,2022-09-13,2022-09-13,1994-07-01,15.9
55,2022-09-13,2022-09-13,1994-08-01,14.6
56,2022-09-13,2022-09-13,1994-09-01,13.3
57,2022-09-13,2022-09-13,1994-10-01,13.9
58,2022-09-13,2022-09-13,1994-11-01,13.7
59,2022-09-13,2022-09-13,1994-12-01,13.6
60,2022-09-13,2022-09-13,1995-01-01,16.0
61,2022-09-13,2022-09-13,1995-02-01,14.4
62,2022-09-13,2022-09-13,1995-03-01,12.7
63,2022-09-13,2022-09-13,1995-04-01,13.1
64,2022-09-13,2022-09-13,1995-05-01,12.5
65,2022-09-13,2022-09-13,1995-06-01,12.9
66,2022-09-13,2022-09-13,1995-07-01,14.2
67,2022-09-13,2022-09-13,1995-08-01,16.4
68,2022-09-13,2022-09-13,1995-09-01,14.2
69,2022-09-13,2022-09-13,1995-10-01,15.1
70,2022-09-13,2022-09-13,1995-11-01,16.4
71,2022-09-13,2022-09-13,1995-12-01,16.4
72,2022-09-13,2022-09-13,1996-01-01,19.3
73,2022-09-13,2022-09-13,1996-02-01,17.8
74,2022-09-13,2022-09-13,1996-03-01,16.4
75,2022-09-13,2022-09-13,1996-04-01,18.1
76,2022-09-13,2022-09-13,1996-05-01,13.4
77,2022-09-13,2022-09-13,1996-06-01,17.6
78,2022-09-13,2022-09-13,1996-07-01,16.5
79,2022-09-13,2022-09-13,1996-08-01,16.0
80,2022-09-13,2022-09-13,1996-09-01,20.4
81,2022-09-13,2022-09-13,1996-10-01,19.5
82,2022-09-13,2022-09-13,1996-11-01,20.9
83,2022-09-13,2022-09-13,1996-12-01,20.0
84,2022-09-13,2022-09-13,1997-01-01,22.1
85,2022-09-13,2022-09-13,1997-02-01,20.6
86,2022-09-13,2022-09-13,1997-03-01,17.3
87,2022-09-13,2022-09-13,1997-04-01,14.2
88,2022-09-13,2022-09-13,1997-05-01,13.4
89,2022-09-13,2022-09-13,1997-06-01,16.5
90,2022-09-13,2022-09-13,1997-07-01,17.2
91,2022-09-13,2022-09-13,1997-08-01,16.6
92,2022-09-13,2022-09-13,1997-09-01,13.2
93,2022-09-13,2022-09-13,1997-10-01,11.7
94,2022-09-13,2022-09-13,1997-11-01,11.4
95,2022-09-13,2022-09-13,1997-12-01,12.3
96,2022-09-13,2022-09-13,1998-01-01,15.4
97,2022-09-13,2022-09-13,1998-02-01,13.4
98,2022-09-13,2022-09-13,1998-03-01,9.0
99,2022-09-13,2022-09-13,1998-04-01,7.5
100,2022-09-13,2022-09-13,1998-05-01,8.5
101,2022-09-13,2022-09-13,1998-06-01,10.8
102,2022-09-13,2022-09-13,1998-07-01,10.9
103,2022-09-13,2022-09-13,1998-08-01,10.7
104,2022-09-13,2022-09-13,1998-09-01,11.0
105,2022-09-13,2022-09-13,1998-10-01,10.2
106,2022-09-13,2022-09-13,1998-11-01,10.1
107,2022-09-13,2022-09-13,1998-12-01,12.3
108,2022-09-13,2022-09-13,1999-01-01,14.1
109,2022-09-13,2022-09-13,1999-02-01,13.9
110,2022-09-13,2022-09-13,1999-03-01,11.6
111,2022-09-13,2022-09-13,1999-04-01,12.3
112,2022-09-13,2022-09-13,1999-05-01,10.4
113,2022-09-13,2022-09-13,1999-06-01,11.5
114,2022-09-13,2022-09-13,1999-07-01,10.9
115,2022-09-13,2022-09-13,1999-08-01,11.0
116,2022-09-13,2022-09-13,1999-09-01,10.9
117,2022-09-13,2022-09-13,1999-10-01,12.0
118,2022-09-13,2022-09-13,1999-11-01,12.7
119,2022-09-13,2022-09-13,1999-12-01,12.3
120,2022-09-13,2022-09-13,2000-01-01,9.8
121,2022-09-13,2022-09-13,2000-02-01,9.0
122,2022-09-13,2022-09-13,2000-03-01,7.5
123,2022-09-13,2022-09-13,2000-04-01,6.5
124,2022-09-13,2022-09-13,2000-05-01,6.6
125,2022-09-13,2022-09-13,2000-06-01,7.5
126,2022-09-13,2022-09-13,2000-07-01,7.5
127,2022-09-13,2022-09-13,2000-08-01,7.7
128,2022-09-13,2022-09-13,2000-09-01,6.4
129,2022-09-13,2022-09-13,2000-10-01,6.5
130,2022-09-13,2022-09-13,2000-11-01,8.6
131,2022-09-13,2022-09-13,2000-12-01,8.9
132,2022-09-13,2022-09-13,2001-01-01,11.7
133,2022-09-13,2022-09-13,2001-02-01,10.7
134,2022-09-13,2022-09-13,2001-03-01,10.0
135,2022-09-13,2022-09-13,2001-04-01,9.3
136,2022-09-13,2022-09-13,2001-05-01,8.4
137,2022-09-13,2022-09-13,2001-06-01,9.4
138,2022-09-13,2022-09-13,2001-07-01,9.2
139,2022-09-13,2022-09-13,2001-08-01,10.2
140,2022-09-13,2022-09-13,2001-09-01,9.7
141,2022-09-13,2022-09-13,2001-10-01,11.0
