,realtime_start,realtime_end,date,value
0,2022-09-14,2022-09-14,1990-01-01,4.2
1,2022-09-14,2022-09-14,1990-02-01,4.3
2,2022-09-14,2022-09-14,1990-03-01,4.4
3,2022-09-14,2022-09-14,1990-04-01,4.5
4,2022-09-14,2022-09-14,1990-05-01,3.6
5,2022-09-14,2022-09-14,1990-06-01,3.7
6,2022-09-14,2022-09-14,1990-07-01,4.0
7,2022-09-14,2022-09-14,1990-08-01,4.5
8,2022-09-14,2022-09-14,1990-09-01,4.6
9,2022-09-14,2022-09-14,1990-10-01,4.8
10,2022-09-14,2022-09-14,1990-11-01,5.0
11,2022-09-14,2022-09-14,1990-12-01,4.6
12,2022-09-14,2022-09-14,1991-01-01,8.8
13,2022-09-14,2022-09-14,1991-02-01,9.2
14,2022-09-14,2022-09-14,1991-03-01,7.2
15,2022-09-14,2022-09-14,1991-04-01,6.5
16,2022-09-14,2022-09-14,1991-05-01,7.2
17,2022-09-14,2022-09-14,1991-06-01,6.9
18,2022-09-14,2022-09-14,1991-07-01,7.1
19,2022-09-14,2022-09-14,1991-08-01,6.3
20,2022-09-14,2022-09-14,1991-09-01,5.9
21,2022-09-14,2022-09-14,1991-10-01,5.6
22,2022-09-14,2022-09-14,1991-11-01,5.5
23,2022-09-14,2022-09-14,1991-12-01,5.5
24,2022-09-14,2022-09-14,1992-01-01,8.4
25,2022-09-14,2022-09-14,1992-02-01,6.3
26,2022-09-14,2022-09-14,1992-03-01,6.0
27,2022-09-14,2022-09-14,1992-04-01,6.3
28,2022-09-14,2022-09-14,1992-05-01,5.8
29,2022-09-14,2022-09-14,1992-06-01,6.2
30,2022-09-14,2022-09-14,1992-07-01,5.7
31,2022-09-14,2022-09-14,1992-08-01,5.9
32,2022-09-14,2022-09-14,1992-09-01,5.3
33,2022-09-14,2022-09-14,1992-10-01,5.4
34,2022-09-14,2022-09-14,1992-11-01,5.3
35,2022-09-14,2022-09-14,1992-12-01,5.0
36,2022-09-14,2022-09-14,1993-01-01,6.6
37,2022-09-14,2022-09-14,1993-02-01,6.3
38,2022-09-14,2022-09-14,1993-03-01,6.4
39,2022-09-14,2022-09-14,1993-04-01,5.3
40,2022-09-14,2022-09-14,1993-05-01,5.5
41,2022-09-14,2022-09-14,1993-06-01,6.3
42,2022-09-14,2022-09-14,1993-07-01,5.6
43,2022-09-14,2022-09-14,1993-08-01,5.0
44,2022-09-14,2022-09-14,1993-09-01,5.7
45,2022-09-14,2022-09-14,1993-10-01,5.0
46,2022-09-14,2022-09-14,1993-11-01,4.6
47,2022-09-14,2022-09-14,1993-12-01,4.7
48,2022-09-14,2022-09-14,1994-01-01,5.6
49,2022-09-14,2022-09-14,1994-02-01,5.2
50,2022-09-14,2022-09-14,1994-03-01,5.5
51,2022-09-14,2022-09-14,1994-04-01,4.7
